regime,equation,term,estimate,std_error,t_value,p_value
pre_1973,m.d,ect1,-0.1779370833786298,0.05330871724234811,-3.3378609087460407,0.0016791627993741852
pre_1973,m.d,m.dl1,0.404864156934168,0.12588288160712527,3.216197085460202,0.002379293406835071
pre_1973,m.d,k_ME.dl1,-0.8718968864651329,0.6961295727914716,-1.2524922378585877,0.2167209519834523
pre_1973,m.d,nrs.dl1,0.28945907977608754,0.19320882230291297,1.4981669901298467,0.14092136998260896
pre_1973,m.d,omega.dl1,1.5781619589510811,0.9246538182403974,1.7067597924965043,0.09460980017120144
pre_1973,k_ME.d,ect1,-0.00622065274345969,0.004093590340683791,-1.519608027612405,0.1354536835579409
pre_1973,k_ME.d,m.dl1,0.027566181315759476,0.009666579405047246,2.8516996716921654,0.0064920460308951515
pre_1973,k_ME.d,k_ME.dl1,0.8588971675047706,0.05345597197712615,16.067375369627428,1.7150354997237838e-20
pre_1973,k_ME.d,nrs.dl1,0.013915138157178167,0.014836556001122374,0.9378954358494989,0.35319671303268974
pre_1973,k_ME.d,omega.dl1,0.07563389655335549,0.07100440855887588,1.0652000078367092,0.29234484241505915
pre_1973,nrs.d,ect1,0.21314183820168123,0.09119274327369863,2.337267534127955,0.02383277743212058
pre_1973,nrs.d,m.dl1,-0.3178908236267042,0.21534199093113135,-1.4762138227298596,0.14669975999735985
pre_1973,nrs.d,k_ME.dl1,1.8636140508443717,1.1908364841758468,1.5649621720602056,0.12444601564126381
pre_1973,nrs.d,nrs.dl1,0.26849889783585834,0.3305133464454587,0.8123693058796523,0.4207641475933378
pre_1973,nrs.d,omega.dl1,1.7987028833322467,1.5817622825269766,1.13715120356688,0.26136403814311276
pre_1973,omega.d,ect1,-0.06557988805050693,0.017770873709321462,-3.6903018457729475,5.914660369199709e-4
pre_1973,omega.d,m.dl1,0.0886249574548874,0.041964033406314855,2.1119265776189877,0.040153867555673704
pre_1973,omega.d,k_ME.dl1,-0.3624776347621697,0.23206018383751004,-1.5619983952782643,0.1251426352236289
pre_1973,omega.d,nrs.dl1,-0.13718303956690053,0.06440765710160919,-2.1299181765062696,0.038559931426724835
pre_1973,omega.d,omega.dl1,-0.6026221349163154,0.30824051072342407,-1.9550387244752268,0.05667049809525036
post_1973,m.d,ect1,-0.17964749628819837,0.055716366528301683,-3.2243218192798815,0.002382018206773143
post_1973,m.d,D1975,-0.6274743483942352,0.1590670935268716,-3.944714990899324,2.8343391882202176e-4
post_1973,m.d,m.dl1,-0.07365924989469856,0.12259318730127862,-0.6008429303145324,0.5510273974811828
post_1973,m.d,k_ME.dl1,0.3744528306528287,0.24235886671806273,1.5450345833166135,0.12950068233389012
post_1973,m.d,nrs.dl1,1.0527083304478768,0.4003746594055328,2.6293080886060927,0.011741929893469078
post_1973,m.d,omega.dl1,1.9639176560926612,1.287201069126439,1.5257271790688278,0.13423451601944622
post_1973,k_ME.d,ect1,-0.016227080079241646,0.009204262831709855,-1.7629961655742048,0.08484555338998322
post_1973,k_ME.d,D1975,-0.028547491100469363,0.026277652832113484,-1.0863790340354122,0.2832272926462393
post_1973,k_ME.d,m.dl1,0.0283473203179295,0.020252216495934488,1.3997144620501196,0.16861020886928008
post_1973,k_ME.d,k_ME.dl1,0.9140283100410966,0.04003733279583592,22.82940061721994,5.039366164290525e-26
post_1973,k_ME.d,nrs.dl1,0.1208854395017577,0.06614131225612008,1.8276843228276307,0.07438305188932777
post_1973,k_ME.d,omega.dl1,0.1945740028499506,0.21264374717399234,0.9150233921091672,0.36516692891502
post_1973,nrs.d,ect1,-0.018638995075531514,0.04511445752379716,-0.41314904575101535,0.6815040077621848
post_1973,nrs.d,D1975,-0.36279553689090327,0.12879923946057545,-2.8167521672513636,0.007236514125998822
post_1973,nrs.d,m.dl1,-0.07400490162628241,0.0992657182409958,-0.7455232575521636,0.4599197394455363
post_1973,nrs.d,k_ME.dl1,0.2597865449776784,0.19624195688557117,1.3238073503779832,0.19240386594691722
post_1973,nrs.d,nrs.dl1,0.3421521001392922,0.32418994078123425,1.055406282239272,0.29700039475218576
post_1973,nrs.d,omega.dl1,0.7401088089684527,1.0422678572945545,0.7100946304624369,0.4813921608080486
post_1973,omega.d,ect1,-0.0193406932851325,0.013610191183963356,-1.4210449378493148,0.16235248746793696
post_1973,omega.d,D1975,0.0866174836935684,0.03885633053401648,2.2291730202814644,0.030956422440673995
post_1973,omega.d,m.dl1,0.0016867270787584295,0.029946617501955927,0.05632446063894405,0.9553383317842113
post_1973,omega.d,k_ME.dl1,0.054821378543208406,0.059202541671233996,0.9259970432966333,0.359498880930637
post_1973,omega.d,nrs.dl1,-0.15639561595653187,0.0978020642633893,-1.5991034252134508,0.11695477542124384
post_1973,omega.d,omega.dl1,-0.28448309607398553,0.31443279119994105,-0.904750089799282,0.37052526791291573
