"year","ECT","series","window_tag","window_start","window_end"
1947,3.07444747759436,"p=3","shaikh_window",1947,2011
1948,3.11496521941324,"p=3","shaikh_window",1947,2011
1949,3.06153912206249,"p=3","shaikh_window",1947,2011
1950,3.09854914736593,"p=3","shaikh_window",1947,2011
1951,3.13895359146636,"p=3","shaikh_window",1947,2011
1952,3.12389484509105,"p=3","shaikh_window",1947,2011
1953,3.13860723212373,"p=3","shaikh_window",1947,2011
1954,3.08673491119045,"p=3","shaikh_window",1947,2011
1955,3.13031472350565,"p=3","shaikh_window",1947,2011
1956,3.1096320869695,"p=3","shaikh_window",1947,2011
1957,3.08477951878973,"p=3","shaikh_window",1947,2011
1958,3.02600345310397,"p=3","shaikh_window",1947,2011
1959,3.0931292762358,"p=3","shaikh_window",1947,2011
1960,3.10239444385575,"p=3","shaikh_window",1947,2011
1961,3.09483411981981,"p=3","shaikh_window",1947,2011
1962,3.14164364258024,"p=3","shaikh_window",1947,2011
1963,3.16529095676304,"p=3","shaikh_window",1947,2011
1964,3.19114654249576,"p=3","shaikh_window",1947,2011
1965,3.22597555799539,"p=3","shaikh_window",1947,2011
1966,3.24598022798272,"p=3","shaikh_window",1947,2011
1967,3.22875133713752,"p=3","shaikh_window",1947,2011
1968,3.24514643520981,"p=3","shaikh_window",1947,2011
1969,3.24167381644062,"p=3","shaikh_window",1947,2011
1970,3.18815869239957,"p=3","shaikh_window",1947,2011
1971,3.17710751597779,"p=3","shaikh_window",1947,2011
1972,3.20260932281411,"p=3","shaikh_window",1947,2011
1973,3.21393025363969,"p=3","shaikh_window",1947,2011
1974,3.13075836894346,"p=3","shaikh_window",1947,2011
1975,3.09551285597702,"p=3","shaikh_window",1947,2011
1976,3.12388908592255,"p=3","shaikh_window",1947,2011
1977,3.14677604191074,"p=3","shaikh_window",1947,2011
1978,3.16656696599627,"p=3","shaikh_window",1947,2011
1979,3.14800770410691,"p=3","shaikh_window",1947,2011
1980,3.09959768371407,"p=3","shaikh_window",1947,2011
1981,3.10212462182785,"p=3","shaikh_window",1947,2011
1982,3.06664566297708,"p=3","shaikh_window",1947,2011
1983,3.08950576027293,"p=3","shaikh_window",1947,2011
1984,3.14344290902116,"p=3","shaikh_window",1947,2011
1985,3.15334185345163,"p=3","shaikh_window",1947,2011
1986,3.15028158469814,"p=3","shaikh_window",1947,2011
1987,3.16860897689257,"p=3","shaikh_window",1947,2011
1988,3.18964317889365,"p=3","shaikh_window",1947,2011
1989,3.18107071276381,"p=3","shaikh_window",1947,2011
1990,3.16739184637959,"p=3","shaikh_window",1947,2011
1991,3.15385790973418,"p=3","shaikh_window",1947,2011
1992,3.15727608529339,"p=3","shaikh_window",1947,2011
1993,3.15502089903778,"p=3","shaikh_window",1947,2011
1994,3.17547079423385,"p=3","shaikh_window",1947,2011
1995,3.18786401842328,"p=3","shaikh_window",1947,2011
1996,3.19816540729116,"p=3","shaikh_window",1947,2011
1997,3.22015277426593,"p=3","shaikh_window",1947,2011
1998,3.23182250874896,"p=3","shaikh_window",1947,2011
1999,3.24665332685337,"p=3","shaikh_window",1947,2011
2000,3.25668305877784,"p=3","shaikh_window",1947,2011
2001,3.21062706704352,"p=3","shaikh_window",1947,2011
2002,3.18365664183602,"p=3","shaikh_window",1947,2011
2003,3.18069560935795,"p=3","shaikh_window",1947,2011
2004,3.1814099635968,"p=3","shaikh_window",1947,2011
2005,3.18335207921342,"p=3","shaikh_window",1947,2011
2006,3.17804206276253,"p=3","shaikh_window",1947,2011
2007,3.14678678880796,"p=3","shaikh_window",1947,2011
2008,3.07778215359817,"p=3","shaikh_window",1947,2011
2009,3.05016411152519,"p=3","shaikh_window",1947,2011
2010,3.07262532654409,"p=3","shaikh_window",1947,2011
2011,3.08115962555948,"p=3","shaikh_window",1947,2011
