"window_id","window_start","window_end","spec_id","is_orthogonalized","estimator","coefficient_name","regressor","coefficient_value","std_error","t_stat","p_value","intercept","r_squared","max_vif","condition_number","eg_adf_stat","eg_p_value","eg_classification"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_raw",FALSE,"FM_OLS","beta_scale","k_Kcap_centered",1.07481,0.03935,27.31539,0,14.69268,,1.30735,1.72802,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_raw",FALSE,"FM_OLS","beta_dist","omega_NFC_centered",-5.05429,1.52924,-3.3051,0.00136,14.69268,,1.30735,1.72802,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_raw",FALSE,"FM_OLS","beta_inter","inter_kKcap_omega",-5.79809,1.4309,-4.05204,0.00011,14.69268,,1.30735,1.72802,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_raw",FALSE,"IM_OLS","beta_scale","k_Kcap_centered",1.03073,0.04757,21.66624,0,14.77508,,1.30735,1.72802,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_raw",FALSE,"IM_OLS","beta_dist","omega_NFC_centered",-11.41247,2.98202,-3.8271,0.00024,14.77508,,1.30735,1.72802,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_raw",FALSE,"IM_OLS","beta_inter","inter_kKcap_omega",3.02507,3.52858,0.85731,0.39355,14.77508,,1.30735,1.72802,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_raw",FALSE,"DOLS","beta_scale","k_Kcap_centered",1.06556,0.08295,12.846,0,14.71884,,1.30735,1.72802,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_raw",FALSE,"DOLS","beta_dist","omega_NFC_centered",-5.21258,3.23132,-1.61314,0.11022,14.71884,,1.30735,1.72802,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_raw",FALSE,"DOLS","beta_inter","inter_kKcap_omega",-4.37415,3.67543,-1.19011,0.23713,14.71884,,1.30735,1.72802,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_orth",TRUE,"FM_OLS","beta_scale","k_Kcap_centered",1.02154,0.03863,26.44616,0,14.74813,,1.1592,1.47566,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_orth",TRUE,"FM_OLS","beta_dist","omega_NFC_centered",-7.28959,1.41146,-5.16458,0,14.74813,,1.1592,1.47566,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_orth",TRUE,"FM_OLS","beta_inter","inter_kKcap_omega_orth",-5.79767,1.43149,-4.0501,0.00011,14.74813,,1.1592,1.47566,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_orth",TRUE,"IM_OLS","beta_scale","k_Kcap_centered",1.05941,0.04349,24.35961,0,14.74522,,1.1592,1.47566,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_orth",TRUE,"IM_OLS","beta_dist","omega_NFC_centered",-10.26605,2.0539,-4.99832,0,14.74522,,1.1592,1.47566,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_orth",TRUE,"IM_OLS","beta_inter","inter_kKcap_omega_orth",3.03727,3.53453,0.85932,0.39245,14.74522,,1.1592,1.47566,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_orth",TRUE,"DOLS","beta_scale","k_Kcap_centered",1.02539,0.08361,12.26332,0,14.76069,,1.1592,1.47566,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_orth",TRUE,"DOLS","beta_dist","omega_NFC_centered",-6.89788,2.2955,-3.00496,0.00344,14.76069,,1.1592,1.47566,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_Kcap_orth",TRUE,"DOLS","beta_inter","inter_kKcap_omega_orth",-4.37415,3.67543,-1.19011,0.23713,14.76069,,1.1592,1.47566,-2.35334,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_NRC_raw",FALSE,"FM_OLS","beta_scale","k_NRC_centered",1.107,0.06085,18.19126,0,14.72262,,1.2835,1.6734,-2.10433,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_NRC_raw",FALSE,"FM_OLS","beta_dist","omega_NFC_centered",-10.78799,2.03581,-5.29912,0,14.72262,,1.2835,1.6734,-2.10433,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_NRC_raw",FALSE,"FM_OLS","beta_inter","inter_kNRC_omega",-7.34435,2.31166,-3.17709,0.00204,14.72262,,1.2835,1.6734,-2.10433,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_NRC_raw",FALSE,"IM_OLS","beta_scale","k_NRC_centered",1.04029,0.07556,13.76776,0,14.77176,,1.2835,1.6734,-2.10433,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_NRC_raw",FALSE,"IM_OLS","beta_dist","omega_NFC_centered",-16.99793,3.3482,-5.07674,0,14.77176,,1.2835,1.6734,-2.10433,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_NRC_raw",FALSE,"IM_OLS","beta_inter","inter_kNRC_omega",6.0398,5.58421,1.08158,0.28233,14.77176,,1.2835,1.6734,-2.10433,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_NRC_raw",FALSE,"DOLS","beta_scale","k_NRC_centered",0.97324,0.10937,8.89857,0,14.8357,,1.2835,1.6734,-2.10433,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_NRC_raw",FALSE,"DOLS","beta_dist","omega_NFC_centered",-9.14181,3.73157,-2.44986,0.01623,14.8357,,1.2835,1.6734,-2.10433,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_NRC_raw",FALSE,"DOLS","beta_inter","inter_kNRC_omega",-2.60785,4.8242,-0.54058,0.59014,14.8357,,1.2835,1.6734,-2.10433,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_NRC_orth",TRUE,"FM_OLS","beta_scale","k_NRC_centered",1.02279,0.05811,17.60206,0,14.76936,,1.07703,1.31535,-2.10433,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_NRC_orth",TRUE,"FM_OLS","beta_dist","omega_NFC_centered",-12.40114,1.95174,-6.3539,0,14.76936,,1.07703,1.31535,-2.10433,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_NRC_orth",TRUE,"FM_OLS","beta_inter","inter_kNRC_omega_orth",-7.34451,2.31203,-3.17665,0.00204,14.76936,,1.07703,1.31535,-2.10433,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_NRC_orth",TRUE,"IM_OLS","beta_scale","k_NRC_centered",1.11056,0.06534,16.99786,0,14.73238,,1.07703,1.31535,-2.10433,0.1,"EG_PASS_WEAK"
"full_sample_1929_2024",1929,2024,"SPEC_A_NRC_orth",TRUE,"IM_OLS","beta_dist","omega_NFC_centered",-15.70278,2.66278,-5.89715,0,14.73238,,1.07703,1.31535,-2.10433,0.1,"EG_PASS_WEAK"
