year,r_diag_t,ln_r_diag_t,r_struct_t,ln_r_struct_t,dln_r_diag,dln_r_diag_ma3,ln_pi_t,ln_mu_t,ln_p_t,ln_B_t,ln_nu_t,d_dist,d_util,d_price,d_capacity,d_wedge,d_r_struct,swing_id,swing_start,swing_end,swing_direction,swing_duration,gross_reinforcing_pct_t,gross_offsetting_pct_t,net_imbalance_idx_t,compensation_intensity_t,reinforcing_concentration_t,reversal_risk_raw_t,gross_reinforcing_pct_swing,gross_offsetting_pct_swing,net_imbalance_idx_swing,compensation_intensity_swing,reinforcing_concentration_swing,reversal_risk_raw_swing,momentum_contradiction_swing,reinforcing_main_component_swing,offsetting_main_component_swing,dist_share_t,util_share_t,price_share_t,capacity_share_t,wedge_share_t,share_sum_t,stagnation_transmission_t
1940,0.14959173321929048,-1.8998454741979494,0.19958825226013754,-1.6114987732490167,NA,NA,-0.9342273695079696,-0.13077449034786934,0.31799456845206286,-0.5264463756922617,-0.3380451061529788,NA,NA,NA,NA,NA,NA,1,1940,1944,trough_to_peak,4,NA,NA,NA,NA,NA,NA,87.64559217101268,12.354407828987314,0.7529118434202537,0.1640883715265379,0.5635283200681269,6.962058689305737,0.6563534861061516,utilization,distribution,NA,NA,NA,NA,NA,NA,NA
1941,0.18753829350808493,-1.6737722223810765,0.240088086168164,-1.426749397276919,0.22607325181687288,NA,-0.9026617739403798,0.020649558713054933,0.28670129563921354,-0.5342563430663868,-0.29718213462242093,0.031565595567589755,0.15142404906092427,-0.031293272812849326,-0.007809967374125093,0.040862971530557846,0.18474937597209773,1,1940,1944,trough_to_peak,4,85.12935185002493,14.870648149975064,0.7025870370004987,0.21165560089837646,0.5107845756635562,7.59569770512706,87.64559217101268,12.354407828987314,0.7529118434202537,0.1640883715265379,0.5635283200681269,6.962058689305737,0.6563534861061516,utilization,distribution,17.085630412281898,81.96187308572749,-16.938229235250827,-4.2273308545868185,22.118056591828104,99.99999999999984,0.027473429660085223
1942,0.2244417255528644,-1.494139179869856,0.2766860595770174,-1.2848717744594433,0.17963304251122048,0.17974191746795198,-0.9273653602157108,0.14751271433624188,0.29730273852059,-0.5386877611457839,-0.2636341059547805,-0.02470358627533098,0.12686315562318695,0.010601442881376488,-0.004431418079397065,0.03354802866764045,0.14187762281747562,1,1940,1944,trough_to_peak,4,85.44324300394851,14.5567569960515,0.70886486007897,0.20535306256300886,0.5926459984712302,8.627003784428007,87.64559217101268,12.354407828987314,0.7529118434202537,0.1640883715265379,0.5635283200681269,6.962058689305737,0.6563534861061516,utilization,distribution,-17.411897510512944,89.41731127423479,7.472244509632894,-3.123408745787944,23.64575047243335,100.00000000000014,0.020652780785314444
1943,0.25650176795214963,-1.3606197217940934,0.31136611480122883,-1.1667858411703096,0.1335194580757626,0.10063961266073629,-0.9725967803487529,0.2560965766625078,0.32662832719900536,-0.5415329390723197,-0.2353810256107501,-0.045231420133042044,0.1085838623262659,0.029325588678415337,-0.0028451779265358246,0.028253080344030373,0.11808593328913375,1,1940,1944,trough_to_peak,4,77.55937573478691,22.44062426521308,0.5511875146957383,0.40713230374241255,0.4870948307066187,10.930712077414805,87.64559217101268,12.354407828987314,0.7529118434202537,0.1640883715265379,0.5635283200681269,6.962058689305737,0.6563534861061516,utilization,distribution,-38.30381729066135,91.95325751493026,24.834108400203394,-2.409413083579903,23.92586445910761,100.00000000000001,0.02649922059948468
1944,0.25363643784180884,-1.3718533843988676,0.31353358909476897,-1.1598487824004156,-0.011233662604774208,-0.03819171001220519,-0.9887512418668052,0.2401150398062412,0.3396570351227336,-0.5460330148317488,-0.20483660063083628,-0.016154461518052332,-0.015981536856266604,0.013028707923728233,-0.004500075759429123,0.03054442497991383,0.006937058769894033,2,1944,1958,peak_to_trough,14,54.3243531672494,45.67564683275061,0.08648706334498786,5.281211439745045,0.5807957046566957,26.528219487877763,68.86075201338599,31.139247986614027,0.3772150402677196,0.825503881407106,0.35045842938016697,10.913011941468278,11.557054339699484,utilization,wedge,-232.87191378802603,-230.37914750880404,187.81314035093942,-64.87008267767442,440.3080036235647,99.9999999999996,0.0031685464643171524
1945,0.20014477287821913,-1.6087143099064716,0.2605762557554678,-1.344859732197423,-0.23686092550760396,-0.1769731996570958,-1.0173278075828018,0.10838308331643978,0.2910903307816172,-0.5525501521169632,-0.17445518659571513,-0.02857656571599665,-0.1317319564898014,-0.048566704341116373,-0.006517137285214414,0.03038141403512115,-0.18501094979700738,2,1944,1958,peak_to_trough,14,87.63846399776176,12.361536002238243,0.7527692799552351,0.16421414012768115,0.4434018145411802,5.481127493908564,68.86075201338599,31.139247986614027,0.3772150402677196,0.825503881407106,0.35045842938016697,10.913011941468278,11.557054339699484,utilization,wedge,15.445878066866118,71.20224864222183,26.250718886856912,3.522568416823419,-16.421414012768114,100.00000000000017,0.02287019516723999
1946,0.15083943975512476,-1.8915393207653808,0.20973935627492823,-1.5618896797379815,-0.2828250108589092,-0.1385741371992341,-1.0889047689102322,-0.020965468022980806,0.2529514585171744,-0.5611513627294487,-0.14381953859249422,-0.07157696132743041,-0.12934855133942058,-0.03813887226444285,-0.008601210612485422,0.03063564800322091,-0.2170299475405586,2,1944,1958,peak_to_trough,14,88.99191120644524,11.008088793554778,0.7798382241289046,0.1411586205055674,0.38121179833711827,4.196413325245696,68.86075201338599,31.139247986614027,0.3772150402677196,0.825503881407106,0.35045842938016697,10.913011941468278,11.557054339699484,utilization,wedge,32.98022330031393,59.599402204733934,17.573091961106172,3.963144584402586,-14.11586205055674,99.99999999999987,0.023890849333870045
1947,0.1673654061682786,-1.78757579599657,0.22543688514382895,-1.4897150477129322,0.10396352476881088,-0.01652196362527351,-1.0341842383203337,0.011519227407904583,0.22258716908876883,-0.5705187559314352,-0.11911844995783671,0.054720530589898564,0.03248469543088539,-0.03036428942840555,-0.00936739320198654,0.024701088634657503,0.07217463202504937,2,1944,1958,peak_to_trough,14,73.79833330593324,26.20166669406675,0.475966666118665,0.5504937332635457,0.37209351035757204,9.749470137414376,68.86075201338599,31.139247986614027,0.3772150402677196,0.825503881407106,0.35045842938016697,10.913011941468278,11.557054339699484,utilization,wedge,75.81684735283018,45.008466991021244,-42.070584326453,-12.978788999901566,34.224058982503145,100,0.018910956520872595
1948,0.19046626231993935,-1.658280200782292,0.24911865049279805,-1.3898259880081105,0.1292955952142778,0.055577447870575426,-0.9797135359169874,0.03663580830915667,0.22463982975942326,-0.5797089768461275,-0.09167911331357564,0.05447070240334628,0.025116580901252086,0.0020526606706544326,-0.009190220914692349,0.02743933664426107,0.09988905970482165,2,1944,1958,peak_to_trough,14,92.22942449619242,7.770575503807572,0.8445884899238486,0.09200427896558462,0.366021576652475,2.8441982974007476,68.86075201338599,31.139247986614027,0.3772150402677196,0.825503881407106,0.35045842938016697,10.913011941468278,11.557054339699484,utilization,wedge,54.531199477010375,25.144476257433134,2.0549404276305854,-9.200427896558462,27.469811734484246,99.99999999999986,0.0077619548044065905
1949,0.17820744656187695,-1.7248069771536545,0.23827606992163852,-1.434325319887809,-0.0665267763713624,0.04337208788644912,-0.9753681639318926,-0.03296619733919521,0.22541501259324057,-0.5868867666326767,-0.06451920457728498,0.00434537198509477,-0.06960200564835188,7.751828338173061e-4,-0.007177789786549149,0.027159908736290664,-0.044499331879698456,2,1944,1958,peak_to_trough,14,70.40125903411626,29.59874096588373,0.40802518068232535,0.7254145667281305,0.8305082421780416,24.58199833025929,68.86075201338599,31.139247986614027,0.3772150402677196,0.825503881407106,0.35045842938016697,10.913011941468278,11.557054339699484,utilization,wedge,-9.765027476911898,156.41134980749183,-1.7420100506519314,16.130106865320847,-61.034419145249224,99.9999999999996,0.013171241974620865
