"TableName","SeriesCode","LineNumber","LineDescription","TimePeriod","METRIC_NAME","CL_UNIT","UNIT_MULT","DataValue","NoteRef"
"T11400","A451RC","1","Gross value added of corporate business","1929","Current Dollars","Level","6","54,806","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1930","Current Dollars","Level","6","48,178","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1931","Current Dollars","Level","6","37,846","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1932","Current Dollars","Level","6","27,861","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1933","Current Dollars","Level","6","26,876","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1934","Current Dollars","Level","6","33,500","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1935","Current Dollars","Level","6","37,147","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1936","Current Dollars","Level","6","42,724","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1937","Current Dollars","Level","6","48,339","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1938","Current Dollars","Level","6","43,000","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1939","Current Dollars","Level","6","47,323","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1940","Current Dollars","Level","6","54,105","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1941","Current Dollars","Level","6","69,955","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1942","Current Dollars","Level","6","87,478","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1943","Current Dollars","Level","6","103,482","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1944","Current Dollars","Level","6","107,266","T11400,T11400.1"
"T11400","A451RC","1","Gross value added of corporate business","1945","Current Dollars","Level","6","100,821","T11400,T11400.1"
