"year","u_with_dummy","u_no_dummy","u_shaikh"
1947,0.781151672110265,0.781151672110265,0.885106384754181
1948,0.81263717938155,0.81263717938155,0.923893213272095
1949,0.771632442322966,0.771632442322966,0.869800388813019
1950,0.790648381216356,0.790648381216356,0.879007756710052
1951,0.825536886035916,0.825536886035916,0.925842940807343
1952,0.813035865110778,0.813035865110778,0.910232961177826
1953,0.824996915052941,0.824996915052941,0.924771666526794
1954,0.785714575189254,0.785714575189254,0.8767209649086
1955,0.814697491576822,0.814697491576822,0.903114199638367
1956,1.10407601511445,0.793912898095152,0.86929577589035
1957,0.775134268319762,0.775134268319762,0.843951225280762
1958,0.736313138112977,0.736313138112977,0.798105180263519
1959,0.78887629677111,0.78887629677111,0.861047804355621
1960,0.80134945454403,0.80134945454403,0.880931198596954
1961,0.799417283889532,0.799417283889532,0.882777214050293
1962,0.841381142500745,0.841381142500745,0.939095973968506
1963,0.865210970799794,0.865210970799794,0.97143566608429
1964,0.889029296788432,0.889029296788432,1.00164115428925
1965,0.920462105826121,0.920462105826121,1.0422728061676
1966,0.93784908058422,0.93784908058422,1.06474781036377
1967,0.921113583316899,0.921113583316899,1.04273521900177
1968,0.935269490546981,0.935269490546981,1.05709373950958
1969,0.93183157247327,0.93183157247327,1.04945170879364
1970,0.883413497500007,0.883413497500007,0.984412431716919
1971,0.873866088000913,0.873866088000913,0.973544180393219
1972,0.897395796313642,0.897395796313642,1.00391101837158
1973,0.904410141685087,0.904410141685087,1.00486552715302
1974,1.14474651783195,0.822287491201959,0.884328484535217
1975,0.797634294242887,0.797634294242887,0.853546917438507
1976,0.821071056498538,0.821071056498538,0.879995822906494
1977,0.839983044378267,0.839983044378267,0.901091992855072
1978,0.855084811493063,0.855084811493063,0.911491215229034
1979,0.837699612565174,0.837699612565174,0.88534152507782
1980,1.74176811829052,0.797625052365797,0.834066033363342
1981,0.801916929298502,0.801916929298502,0.843342185020447
1982,0.780276467956759,0.780276467956759,0.820055425167084
1983,0.806126709871703,0.806126709871703,0.858657002449036
1984,0.85502217931069,0.85502217931069,0.924870848655701
1985,0.867737514680396,0.867737514680396,0.935598075389862
1986,0.868776205400329,0.868776205400329,0.929214417934418
1987,0.888042274224381,0.888042274224381,0.948412120342255
1988,0.910263137986749,0.910263137986749,0.971393048763275
1989,0.907207877561895,0.907207877561895,0.967775762081146
1990,0.899643010740173,0.899643010740173,0.960640132427216
1991,0.896216092260405,0.896216092260405,0.958979725837708
1992,0.904790898906606,0.904790898906606,0.975646138191223
1993,0.906788937016603,0.906788937016603,0.979155540466309
1994,0.928307941023276,0.928307941023276,1.01144421100616
1995,0.942669961057972,0.942669961057972,1.01938092708588
1996,0.955866840217565,0.955866840217565,1.04219925403595
1997,0.979826988164872,0.979826988164872,1.07182896137238
1998,0.992981108436678,0.992981108436678,1.09457731246948
1999,1.00957476164109,1.00957476164109,1.10842335224152
2000,1.02118449615839,1.02118449615839,1.11509871482849
2001,0.978586598352893,0.978586598352893,1.06325256824493
2002,0.956461362963215,0.956461362963215,1.03907012939453
2003,0.959306309071821,0.959306309071821,1.04768621921539
2004,0.959654143330059,0.959654143330059,1.03787088394165
2005,0.960946543129202,0.960946543129202,1.03080022335052
2006,0.956363496539377,0.956363496539377,1.0236576795578
2007,0.931440967745072,0.931440967745072,0.986203849315643
2008,0.870379802716344,0.870379802716344,0.925367593765259
2009,0.859394013194717,0.859394013194717,0.899437546730042
2010,0.884489836957479,0.884489836957479,0.929295063018799
2011,0.896774771211125,0.896774771211125,0.941526174545288
