provider_file,provider_relative_path,provider_release_commit,expected_row_count,observed_row_count,row_count_status,s21_import_action,notes
README.md,C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/releases/v1_provider_dataset/README.md,af67374e28232d02d65765d3836dc2ab3e3da8eb,,,present,read_and_validated,Provider file consumed read-only; provider repo not modified.
V1_RELEASE_MANIFEST.csv,C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/releases/v1_provider_dataset/V1_RELEASE_MANIFEST.csv,af67374e28232d02d65765d3836dc2ab3e3da8eb,10,10,PASS,read_and_validated,Provider file consumed read-only; provider repo not modified.
V1_SOURCE_PANEL_LONG.csv,C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/releases/v1_provider_dataset/V1_SOURCE_PANEL_LONG.csv,af67374e28232d02d65765d3836dc2ab3e3da8eb,9447,9447,PASS,read_and_validated,Provider file consumed read-only; provider repo not modified.
V1_VARIABLE_MENU.csv,C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/releases/v1_provider_dataset/V1_VARIABLE_MENU.csv,af67374e28232d02d65765d3836dc2ab3e3da8eb,184,184,PASS,read_and_validated,Provider file consumed read-only; provider repo not modified.
V1_CONCEPT_REGISTRY.csv,C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/releases/v1_provider_dataset/V1_CONCEPT_REGISTRY.csv,af67374e28232d02d65765d3836dc2ab3e3da8eb,30,30,PASS,read_and_validated,Provider file consumed read-only; provider repo not modified.
V1_SOURCE_METADATA_LEDGER.csv,C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/releases/v1_provider_dataset/V1_SOURCE_METADATA_LEDGER.csv,af67374e28232d02d65765d3836dc2ab3e3da8eb,182,182,PASS,read_and_validated,Provider file consumed read-only; provider repo not modified.
V1_CANDIDATE_STATUS_LEDGER.csv,C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/releases/v1_provider_dataset/V1_CANDIDATE_STATUS_LEDGER.csv,af67374e28232d02d65765d3836dc2ab3e3da8eb,10,10,PASS,read_and_validated,Provider file consumed read-only; provider repo not modified.
V1_BLOCKED_PARKED_LEDGER.csv,C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/releases/v1_provider_dataset/V1_BLOCKED_PARKED_LEDGER.csv,af67374e28232d02d65765d3836dc2ab3e3da8eb,14,14,PASS,read_and_validated,Provider file consumed read-only; provider repo not modified.
V1_DOWNSTREAM_CONSUMPTION_CONTRACT.md,C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/releases/v1_provider_dataset/V1_DOWNSTREAM_CONSUMPTION_CONTRACT.md,af67374e28232d02d65765d3836dc2ab3e3da8eb,,,present,read_and_validated,Provider file consumed read-only; provider repo not modified.
V1_VALIDATION_CHECKS.csv,C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/releases/v1_provider_dataset/V1_VALIDATION_CHECKS.csv,af67374e28232d02d65765d3836dc2ab3e3da8eb,18,18,PASS,read_and_validated,Provider file consumed read-only; provider repo not modified.
V1_RELEASE_NOTES.md,C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/releases/v1_provider_dataset/V1_RELEASE_NOTES.md,af67374e28232d02d65765d3836dc2ab3e3da8eb,,,present,read_and_validated,Provider file consumed read-only; provider repo not modified.
