"window","ecdet","K","p","r","T","m","logdet","PIC","BIC"
"post","const",4,3,3,46,4,-26.2030759761838,-20.7098078855691,-20.9595018896879
"post","const",5,4,0,45,4,-25.5308130284881,-20.116893043037,-20.116893043037
"post","const",5,4,1,45,4,-26.120876443139,-19.8610314599611,-20.1148089592791
"post","const",5,4,2,45,4,-26.6975720035905,-19.9301720217766,-20.2685420208673
"post","const",5,4,3,45,4,-26.8458538696089,-19.9092688882497,-20.1630463875677
"post","none",2,1,0,48,4,-23.8205107475842,-22.5301104106149,-22.5301104106149
"post","none",2,1,1,48,4,-24.5982487546749,-22.5013482070998,-22.7432982702816
"post","none",2,1,2,48,4,-24.9020329071375,-22.3212322331989,-22.6438323174412
"post","none",2,1,3,48,4,-25.1707739857981,-22.4286732697384,-22.6706233329201
"post","none",3,2,0,47,4,-24.4856296946051,-21.8642526040792,-21.8642526040792
"post","none",3,2,1,47,4,-25.1974079335221,-21.7568505022067,-22.0026046044436
"post","none",3,2,2,47,4,-25.4618743814872,-21.5298087456982,-21.857480882014
"post","none",3,2,3,47,4,-25.6212996624519,-21.525397958505,-21.7711520607418
"post","none",4,3,0,46,4,-24.7551527836184,-20.7600487177168,-20.7600487177168
"post","none",4,3,1,46,4,-25.6566428028771,-20.8292253899126,-21.0789193940315
"post","none",4,3,2,46,4,-26.1100441465253,-20.7832387253231,-21.1161640641482
"post","none",4,3,3,46,4,-26.2224077011049,-20.7291396104901,-20.9788336146089
"post","none",5,4,0,45,4,-25.4030884061117,-19.9891684206605,-19.9891684206605
"post","none",5,4,1,45,4,-26.2318117055234,-19.9719667223456,-20.2257442216636
"post","none",5,4,2,45,4,-26.8061010483339,-20.03870106652,-20.3770710656107
"post","none",5,4,3,45,4,-26.9427313574842,-20.0061463761249,-20.2599238754429
