year,y,k_nr,k_me,s_me,wsh,k_nr_sme,k_nr_wsme,s_me_c,wsh_c,k_nr_sme_c,k_nr_wsme_c,wsme,wsh_kme
1920,14.919018608891568,17.0000363163991,16.312234155005797,0.502679664633073,0.516925820551757,8.545572554277562,4.417427104704502,0.06363758373632866,0.026624469206108448,1.081841234605476,0.02880344863665184,0.25984809811513326,8.432215025608768
1921,14.839404778330278,17.034919433562706,16.358109752286552,0.5082358429938131,0.6558033235305708,8.657756638648431,5.677785577944504,0.06919376209706873,0.1655019721849223,1.1787101626286707,0.1950788565494555,0.333302754972704,10.727702742227363
1922,14.843507335284436,17.064718380506978,16.39613178552932,0.5124323406248888,0.6898369608309547,8.744513581827754,6.032288673233063,0.0733902597281445,0.1995356094853062,1.2523841141330485,0.2498952275232531,0.35349476848816586,11.310657720313362
1923,14.976602494521469,17.095298933046966,16.414169494034898,0.5060451223771637,0.6010173223079679,8.650992640647948,5.199396432188165,0.06700304148041936,0.11071597096231939,1.1454370235311147,0.12681817223643643,0.30414188441813084,9.865200197213987
1924,15.070641955375889,17.12700301288937,16.44023660626331,0.5032005872195692,0.5216991909156851,8.618317973397263,4.496169513775458,0.06415850632282483,0.031397839570036556,1.0988429310935026,0.034501294063142535,0.26251933922074683,8.576858135949996
1925,15.11185025319953,17.162221397485567,16.44614028141648,0.48866352412719366,0.47172645133057045,8.386551589946428,3.956158220426181,0.049621443230449314,-0.018574900015078055,0.8516141947837326,-0.01581864851952904,0.23051551013121166,7.758079393037345
1926,15.104418650625481,17.194876313213378,16.45051797695162,0.47503901747812516,0.5617975851274443,8.16823714948677,4.588895905329947,0.03599693658138081,0.07149623378179576,0.6189628721714291,0.04425351421102026,0.2668757728605245,9.24186127354703
1927,15.126200655904482,17.226125240500362,16.45265654397456,0.4614097987251235,0.5875910751460215,7.948302980033042,4.670351893623941,0.022367717828379152,0.09728972380037298,0.38530910865583207,0.03748661675889381,0.2711202797158047,9.667434147682238
1928,15.24250149063399,17.251821609941363,16.4491733785811,0.44814061127451,0.436008684898591,7.731241881877923,3.370888605550501,0.009098530377765646,-0.05429266644705749,0.1569662229898453,-0.00852211478824212,0.1953931985714498,7.171982452464059
1929,15.287810164196271,17.300346244504127,16.465747337820602,0.4340485404923127,0.5614619056398236,7.509190037438679,4.2161241482318985,-0.004993540404431673,0.07116055429417506,-0.08638997798258911,-0.006147558718702621,0.24370172068499799,9.244889878076608
1930,15.244406279298488,17.351918518571885,16.481970181468522,0.41897319405733574,0.6686490552422352,7.269988724748696,4.861071092424917,-0.020068886839408606,0.17834770389658666,-0.3482336891958578,-0.06210667888751884,0.2801460303782592,11.020653790369618
1931,15.09457695831914,17.39026161606471,16.484433771592037,0.4042071259228593,0.5811436847010782,7.029267666876135,4.085014512678549,-0.03483495497388506,0.09084233335542974,-0.6057889803796958,-0.05503128449869821,0.23490241854124316,9.57982458223389
1932,14.893269841048154,17.394834301334544,16.441640747589997,0.38550791525754363,0.4609216486983835,6.7058463077578905,3.0908697360897346,-0.053534165639200715,-0.029379702647265027,-0.9312179407540937,0.027358906199153734,0.17768894388678372,7.578308160685704
1933,14.944816815770924,17.399571640962986,16.39299043912171,0.36546630170465105,0.5189968270302697,6.358957098867869,3.3002785575340328,-0.0735757791920933,0.02869547568462122,-1.280187041092501,-0.03673557610943705,0.18967585097120115,8.507910023441715
1934,15.078365757402766,17.39502490687068,16.352620460724694,0.35260584011716556,0.5367886606293845,6.133587371146156,3.2924401498108526,-0.08643624077957879,0.046487309283735956,-1.5035605612170442,-0.06989648483612435,0.18927481664659218,8.777901234893076
1935,15.163060406283504,17.402145056187567,16.32613390636206,0.34095282655198644,0.5718574788836842,5.9333105449748285,3.393008009683284,-0.0980892543447579,0.0815561275380357,-1.7069634325607537,-0.13921332740868803,0.19497642381028504,9.336221775609642
1936,15.214121297302963,17.41587448832105,16.305037635859208,0.3292832842138093,0.5285386217121376,5.734756348969852,3.031040216539456,-0.10975879668293503,0.03823727036648911,-1.9115454270191454,-0.07309227931075694,0.17403893319121286,8.617842119021557
1937,15.306588664102334,17.428739608565085,16.283458892728817,0.3181345998342846,0.5328311331485793,5.5446851009868,2.9543808453108413,-0.12090748106245974,0.04252978180293082,-2.107265004165125,-0.08962152082809488,0.1695120193234717,8.676333853391005
1938,15.330013245552612,17.45095542189763,16.26864359316751,0.3065691832862821,0.5531664074120999,5.349925151256472,2.959398875844178,-0.13247289761046227,0.06286505606645137,-2.311778630809786,-0.1453300932390814,0.16958377374173422,8.999267129900348
1939,15.35284334092288,17.46281183830925,16.25168223111278,0.2978606238171748,0.5785353553129456,5.201484027760738,3.0092424101551702,-0.14118145707956953,0.08823400396729714,-2.4654252200388562,-0.21753433864598284,0.1723229018338049,9.402172754009918
1940,15.403585026344988,17.474384732665918,16.236604532361245,0.29002730643762287,0.6074707800874707,5.068048735669817,3.0786915189786632,-0.14901477445912148,0.11716942874182218,-2.6039414997501273,-0.30510233800284614,0.17618311408833068,9.863262821245247
1941,15.40519050826264,17.484944059644068,16.220565022028868,0.2824146105531332,0.6162600974278495,4.9380036671477,3.0430946210155194,-0.15662747034361113,0.12595874608220098,-2.7386225571616007,-0.344953463292506,0.17404085541452205,9.996086980810277
1942,15.43758890881989,17.48424481344372,16.19393165258882,0.2751845925524462,0.5675648436860874,4.8113947850747305,2.7307785291029956,-0.16385748834429814,0.07726349234043889,-2.8649244407277097,-0.22135406758210155,0.15618510025684879,9.191106287064756
1943,15.465807547201381,17.48192127909356,16.169988688518572,0.26929910823865433,0.6030991976573497,4.707865810758251,2.8393100931467687,-0.16974297265809002,0.11279784631170114,-2.96743328568806,-0.33472008369926814,0.1624140761085722,9.75210720417397
1944,15.484557595714834,17.482283323347605,16.140084338748856,0.261270506605798,0.6254367210587357,4.567605020517123,2.856747907123648,-0.17777157429094637,0.1351353697130872,-3.1078530285918617,-0.41998086803269896,0.16340816896088503,10.094601426438537
1945,15.567324070535784,17.494187794426118,16.12072301022605,0.25322805725685793,0.6044555633395453,4.430019188469162,2.677749744171123,-0.18581402363988642,0.1141542119938968,-3.250665424394107,-0.37107714997751545,0.1530651080025727,9.744260708586959
1946,15.649521142658346,17.511608639984978,16.131826352509357,0.2516333308243092,0.5719435501825137,4.406504410171172,2.5202717762482036,-0.18740875007243513,0.08164219883686524,-3.2818286869772404,-0.2679357102107242,0.1439200605759064,9.226494034982034
1947,15.535723871028182,17.548511801188884,16.182697771039777,0.2551728730087442,0.6818860563830722,4.47790417333722,3.053420417618218,-0.18386920788800015,0.1915847050374237,-3.226630964497823,-0.6181731415979334,0.17399882407187106,11.034755964733446
1948,15.689274583530272,17.575541151747718,16.22382051587987,0.25879458608680395,0.5947289826246759,4.54845489761814,2.705097953774661,-0.1802474948099404,0.10442763127902738,-3.167947262531541,-0.3308212286430479,0.15391264089217901,9.648776269694578
1949,15.667443486609544,17.615196390684105,16.28336274489037,0.2639927480307168,0.5904415851407467,4.650284102277461,2.7457211167035185,-0.17504933286602753,0.10014023379509823,-3.0835283764933084,-0.30878525253585964,0.15587229661291818,9.61437451051485
1950,15.715544986005515,17.64333008178963,16.331239716542903,0.26925662301188613,0.5640614965956121,4.7505834765067005,2.6796212254607554,-0.16978545788485822,0.0737601452499636,-2.9955808765503456,-0.22095448056236677,0.151877293744365,9.21182351577489
1951,15.758133041729227,17.682715842048573,16.39678068249986,0.2763919921280351,0.5267448831360416,4.887361057817771,2.5743924292438627,-0.16265008876870923,0.03644353179039311,-2.8760953013810613,-0.10481507054808098,0.1455880675932196,8.636920324410694
1952,15.820579900479899,17.723564389929642,16.461943982146895,0.28319476350477973,0.6375593229564251,5.01922062586786,3.200050903997238,-0.1558473173919646,0.14725797161077664,-2.762169964794287,-0.40675154625981697,0.1805534616849123,10.495465859804172
1953,15.893263284327064,17.758208087995182,16.510922264158364,0.2872834776108018,0.43357146819180653,5.101639775655523,2.2119254477166836,-0.15175860328594254,-0.056729883153841976,-2.694960856295277,0.15288481448180896,0.12455791917496332,7.158664807271928
1954,15.860338646771549,17.784414713873893,16.54533012978699,0.28964924614416176,0.42522651626408575,5.151242314988711,2.190444824034794,-0.14939283475258258,-0.06507483508156275,-2.656864128521161,0.17289499499763447,0.12316653987640058,7.035513091528536
1955,15.897281785343345,17.817577662104615,16.597193711950386,0.29511683501418456,0.41849944096052066,5.258267127259748,2.2005818531792873,-0.14392524588255978,-0.07180191038512784,-2.5643992460500113,0.18412876485657234,0.12350623047147445,6.945916289964705
1956,15.913928502478369,17.857326594906084,16.660367707365655,0.30211157157273943,0.5117340439004434,5.394905001674752,2.7607565529657494,-0.1369305093240049,0.021432692554794908,-2.4452128258055885,-0.05240749472653246,0.1546007762300362,8.525677339758586
1957,16.011616639182336,17.91244237514926,16.751076309408376,0.31305823052137566,0.5364323677274111,5.607637514280335,3.008118269142454,-0.1259838503753687,0.04613101638176259,-2.256678460048218,-0.10410287100885514,0.16793456783513522,8.985819526638478
1958,16.06507652300002,17.963398041123572,16.832302962668233,0.32267970328233136,0.44678003268653316,5.796423949852167,2.589726481779955,-0.11636237761441298,-0.04352131865911535,-2.0902637060992277,0.0909710328347279,0.14416684837976082,7.520336867850542
1959,16.006793843735952,17.992851146322657,16.869997780931136,0.3253501261218286,0.5750776192763191,5.853976389747365,3.3664908055156957,-0.11369195477491573,0.08477626793067056,-2.045642418799506,-0.17342192978649193,0.18710157596139135,9.701558161054663
1960,16.0864941939034,18.036453305815563,16.923918301686196,0.3287245857672446,0.6093126657451776,5.929025641664471,3.6126304189940908,-0.11031749512949973,0.11901131439952911,-1.9897363497177578,-0.23680113828843147,0.2002960536498191,10.311957775254015
1961,16.133210487830446,18.08204001278635,16.992117592626443,0.3362425783403585,0.6588962612543945,6.079951755552811,4.006057480340839,-0.10279950255638587,0.16859490990874598,-1.858824718519102,-0.3133883859548781,0.22154897774300006,11.196042752576584
1962,16.17950836250323,18.127527031421703,17.047707583326627,0.33965684579956734,0.5941905193772513,6.15713865363909,3.658513414483561,-0.099385235097177,0.10388916803160281,-1.8016085357482772,-0.18716761189752268,0.20182087761568387,10.129586223128355
1963,16.240849479811228,18.178474618583483,17.08589116125977,0.3353490137748875,0.5576814422070525,6.096133535273795,3.399700541838268,-0.10369306712185683,0.06738009086140401,-1.8849817887977478,-0.1270102442012841,0.187017921644692,9.52848442420408
1964,16.262856465148943,18.22542297827015,17.127291335267294,0.3334935870646298,0.6767742739731578,6.0780616847934406,4.113475783890149,-0.10554849383211456,0.1864729226275093,-1.9236659448096258,-0.35871161088765996,0.2256998802603689,11.59131015855228
1965,16.27090691739565,18.261982649883507,17.15317090009882,0.32995079233232943,0.6381088691725728,6.025555644888316,3.8449604986960964,-0.10909128856441491,0.1478075178269243,-1.9922232190167801,-0.29446556896003523,0.21054452697777715,10.945590485785942
1966,16.376627828568118,18.298029384448718,17.192873954565947,0.3311594061739442,0.553495656761064,6.059564545107419,3.3539426575802893,-0.10788267472280016,0.06319430541541554,-1.9740403521507204,-0.12474810891616706,0.1832952930128512,9.516181061092672
1967,16.408577693072512,18.33487953776496,17.232103856394982,0.33194842073403547,0.5791916250038267,6.08623430690986,3.525095938373161,-0.10709366016270888,0.0888902736581782,-1.9635493583416055,-0.1745404398043255,0.19226174522239997,9.980690234820118
1968,16.44375368102013,18.37385834328539,17.279615073757,0.3347928590728592,0.5394079097121091,6.151436566948225,3.3181335403041743,-0.10424922182388513,0.04910655836646055,-1.9154604341898014,-0.09406166961018735,0.1805899162990317,9.320761047565115
1969,16.480286233867023,18.411427467906176,17.320874946828166,0.33603077831774303,0.5005314522990513,6.186806301981185,3.096691143423565,-0.10301130257900132,0.010230100953402765,-1.8965851258078192,-0.019402257303736074,0.16819397348856047,8.669642692226155
1970,16.500640555722857,18.45288374265049,17.363069527596902,0.3362789634727918,0.5092767661923354,6.2053166180624375,3.1602235804463974,-0.10276311742395255,0.01897541484668691,-1.8962758588565372,-0.035982621085560315,0.17125906305593389,8.84260790018723
1971,16.586407474257214,18.48567837150951,17.39264637340163,0.3351986297944737,0.5623170054214746,6.196374060951325,3.4843265064254507,-0.10384345110227067,0.07201565407582605,-1.9196166380641504,-0.13824244776502803,0.1884878897274099,9.780180825045873
1972,16.57420161976761,18.50381745327479,17.400275916107695,0.3316942934365251,0.6903477385078481,6.1376106560424235,4.237085636240558,-0.10734778746021922,0.20004638716219963,-1.9863438631768373,-0.39736091349033287,0.2289844053498637,12.012241128097523
