true_sample,episode,regime_code,start_year,end_year,n_years,ect_mean,theta_mean,u_mean,wsh_mean
ISI1931_1973,1,high_ect_side,1932,1932,1,-7.254522904098218,1.689140838573307,0.8890892374610689,0.4609216486983835
ISI1931_1973,2,low_ect_side,1933,1938,6,-6.502856804876898,1.2274609563676606,1.1536747371111495,0.5403631881360259
ISI1931_1973,3,high_ect_side,1939,1943,5,-6.138722167032608,1.7138303792973708,1.3334261912774006,0.5945860548343406
ISI1931_1973,4,low_ect_side,1944,1944,1,-6.1553096570327765,1.245539995915857,1.4207320664917358,0.6254367210587357
ISI1931_1973,5,high_ect_side,1945,1950,6,-6.08969671908898,1.7191030474761304,1.439817544563356,0.6012528723776943
ISI1931_1973,6,low_ect_side,1951,1951,1,-6.144845071191208,1.2421345806913942,1.3485084227218578,0.5267448831360416
ISI1931_1973,7,high_ect_side,1952,1953,2,-6.22129903997492,1.712419308993141,1.3473646006950912,0.5355653955741159
ISI1931_1973,8,low_ect_side,1954,1960,7,-6.344350269937743,1.2336727102701883,1.2254128372073398,0.5032946695086415
ISI1931_1973,9,high_ect_side,1961,1962,2,-6.13217091603519,1.7026729486172876,1.1146629556802456,0.6265433903158228
ISI1931_1973,10,low_ect_side,1963,1973,11,-6.326340321373952,1.2278483401841847,1.0436810498642386,0.5774692192255912
POST1974,10,low_ect_side,1975,1978,4,-6.899819887170675,1.157326820819251,0.8622089679966881,0.4820714012229419
POST1974,11,high_ect_side,1979,1983,5,-6.623215948104445,1.252687559802707,0.9209586266444346,0.5224395387845338
POST1974,12,low_ect_side,1984,1984,1,-6.753605016467912,1.1450889450497146,0.8286684154596192,0.5647610479727213
POST1974,13,high_ect_side,1985,1985,1,-7.044597263910507,1.2548095808216806,0.8193566256280513,0.4814043627812959
POST1974,14,low_ect_side,1986,1989,4,-6.854755636505977,1.1634794766493224,0.8777550392751905,0.4389990790526248
POST1974,15,high_ect_side,1990,1999,10,-6.632367912878251,1.2474390295398428,0.8566031811271076,0.4144194173409507
POST1974,16,low_ect_side,2000,2000,1,-6.701563151028765,1.1586073462993651,0.6762724430412976,0.4261650910860889
POST1974,17,high_ect_side,2001,2010,10,-6.627662086744322,1.221836818941915,0.5039571212467754,0.3926512193260965
