year,true_sample,regime_code,wsh,ECT,theta_active,y,k_nr,dlog_k_nr,log_y_p,y_p,u
1932,ISI1931_1973,baseline_split,0.4609216486983835,-7.254522904098218,1.2582101737815787,14.893269841048154,17.394834301334544,NA,15.140207719979967,3761046.194869599,0.7811892203329154
1933,ISI1931_1973,baseline_split,0.5189968270302697,-7.171207643950497,1.2619003896178034,14.944816815770924,17.399571640962986,0.004737339628441362,15.14618577070285,3783597.258335184,0.8176107143917942
1934,ISI1931_1973,baseline_split,0.5367886606293845,-6.765832180541771,1.264283479558479,15.078365757402766,17.39502490687068,-0.004546734092304661,15.140437409904004,3761910.1685036193,0.939815544244039
1935,ISI1931_1973,baseline_split,0.5718574788836842,-6.429527672895697,1.2664314915385502,15.163060406283504,17.402145056187567,0.007120149316886426,15.149454591223366,3795985.3949614097,1.0136987953742962
1936,ISI1931_1973,baseline_split,0.5285386217121376,-6.345008175636588,1.2686323451754158,15.214121297302963,17.41587448832105,0.01372943213348421,15.166872192908794,3862681.513648412,1.0483831333999998
1937,ISI1931_1973,baseline_split,0.5328311331485793,-6.239882689937901,1.27070604629281,15.306588664102334,17.428739608565085,0.01286512024403308,15.183219978989172,3926346.7799343597,1.1313014380674777
1938,ISI1931_1973,baseline_split,0.5531664074120999,-6.065682466298934,1.2728483516911102,15.330013245552612,17.45095542189763,0.022215813332543632,15.211497340370977,4038958.1797054084,1.125824780407205
1939,ISI1931_1973,baseline_split,0.5785353553129456,-6.200618621439814,1.274456453186829,15.35284334092288,17.46281183830925,0.011856416411621495,15.226607826778439,4100452.234865189,1.1345493392374764
1940,ISI1931_1973,baseline_split,0.6074707800874707,-6.052562017806046,1.2759003252264958,15.403585026344988,17.474384732665918,0.011572894356667973,15.241373686451924,4161448.157536276,1.1761087737601432
1941,ISI1931_1973,baseline_split,0.6162600974278495,-6.0367527669421905,1.2773145448219403,15.40519050826264,17.484944059644068,0.010559326978150096,15.254861268384646,4217956.252665329,1.1622168278702951
1942,ISI1931_1973,baseline_split,0.5675648436860874,-6.163412227610993,1.278687238519902,15.43758890881989,17.48424481344372,-6.992462003481137e-4,15.253967151191677,4214186.590971433,1.2015612557541824
1943,ISI1931_1973,baseline_split,0.6030991976573497,-6.240265201363993,1.2797658571212434,15.46580754720138,17.48192127909356,-0.002323534350161083,15.250993571262493,4201673.983146317,1.2396312742721185
