sample,year,ECT_m_lag1,gamma_hat,ect_side,regime_code,theta_r1,theta_r2,theta_active
FULL,1941,-4.534230568316501,-4.641735370471549,above_gamma,high_ect_side,1.050664162622367,1.133821924480679,1.133821924480679
FULL,1942,-4.5177703831691325,-4.641735370471549,above_gamma,high_ect_side,1.0485481397113274,1.134062855339297,1.134062855339297
FULL,1943,-4.730712910895616,-4.641735370471549,below_gamma,low_ect_side,1.0506244374395628,1.1352879011039172,1.0506244374395628
FULL,1944,-4.790386990737086,-4.641735370471549,below_gamma,low_ect_side,1.052084099395767,1.136587232960783,1.052084099395767
FULL,1945,-4.689252768631532,-4.641735370471549,below_gamma,low_ect_side,1.0514718290426504,1.137326935075056,1.0514718290426504
FULL,1946,-4.700441608552156,-4.641735370471549,below_gamma,low_ect_side,1.0500525481579517,1.137122076474297,1.0500525481579517
FULL,1947,-4.706679500622162,-4.641735370471549,below_gamma,low_ect_side,1.0549921324906593,1.1380614435697058,1.0549921324906593
FULL,1948,-4.2317055377347685,-4.641735370471549,above_gamma,high_ect_side,1.0507409444253943,1.1365022110874876,1.1365022110874876
FULL,1949,-4.693113817996066,-4.641735370471549,below_gamma,low_ect_side,1.0502721505101655,1.1357899512988945,1.0502721505101655
FULL,1950,-4.60776645791053,-4.641735370471549,above_gamma,high_ect_side,1.0487034911692885,1.134772390803822,1.134772390803822
FULL,1951,-4.797692200615362,-4.641735370471549,below_gamma,low_ect_side,1.0464172451763398,1.1333497495092029,1.0464172451763398
FULL,1952,-4.711823799423425,-4.641735370471549,below_gamma,low_ect_side,1.0517314809452036,1.1340231696654117,1.0517314809452036
FULL,1953,-4.548045553871734,-4.641735370471549,above_gamma,high_ect_side,1.0408363375067688,1.130611820600101,1.130611820600101
FULL,1954,-4.9835725852382255,-4.641735370471549,below_gamma,low_ect_side,1.0402052602204073,1.1301745184278504,1.0402052602204073
FULL,1955,-5.016485160060963,-4.641735370471549,below_gamma,low_ect_side,1.0393972124704276,1.1293400346972757,1.0393972124704276
