year,ECT_m_lag1,regime_code,theta_r1,theta_r2,theta_active
1941,-4.534230568316501,high_ect_side,1.050664162622367,1.133821924480679,1.133821924480679
1942,-4.5177703831691325,high_ect_side,1.0485481397113274,1.134062855339297,1.134062855339297
1943,-4.730712910895616,low_ect_side,1.0506244374395628,1.1352879011039172,1.0506244374395628
1944,-4.790386990737086,low_ect_side,1.052084099395767,1.136587232960783,1.052084099395767
1945,-4.689252768631532,low_ect_side,1.0514718290426504,1.137326935075056,1.0514718290426504
1946,-4.700441608552156,low_ect_side,1.0500525481579517,1.137122076474297,1.0500525481579517
1947,-4.706679500622162,low_ect_side,1.0549921324906593,1.1380614435697058,1.0549921324906593
1948,-4.2317055377347685,high_ect_side,1.0507409444253943,1.1365022110874876,1.1365022110874876
1949,-4.693113817996066,low_ect_side,1.0502721505101655,1.1357899512988945,1.0502721505101655
1950,-4.60776645791053,high_ect_side,1.0487034911692885,1.134772390803822,1.134772390803822
1951,-4.797692200615362,low_ect_side,1.0464172451763398,1.1333497495092029,1.0464172451763398
1952,-4.711823799423425,low_ect_side,1.0517314809452036,1.1340231696654117,1.0517314809452036
1953,-4.548045553871734,high_ect_side,1.0408363375067688,1.130611820600101,1.130611820600101
1954,-4.9835725852382255,low_ect_side,1.0402052602204073,1.1301745184278504,1.0402052602204073
1955,-5.016485160060963,low_ect_side,1.0393972124704276,1.1293400346972757,1.0393972124704276
1956,-4.900006898128074,low_ect_side,1.0439727229629683,1.1297917546872625,1.0439727229629683
1957,-4.865816513999914,low_ect_side,1.044669928968992,1.1287480589773984,1.044669928968992
1958,-4.777503585141545,low_ect_side,1.0387903106345973,1.1260722201378515,1.0387903106345973
1959,-5.072233033623809,low_ect_side,1.046220222793881,1.1277839580533098,1.046220222793881
1960,-4.883657725103104,low_ect_side,1.048097094866688,1.1279123680029088,1.048097094866688
1961,-4.541647012507985,high_ect_side,1.0507887984177853,1.127794937512157,1.127794937512157
1962,-4.328195074828931,high_ect_side,1.0466361377852116,1.1262857487543625,1.1262857487543625
1963,-4.642786972420793,low_ect_side,1.0446135449574112,1.1262229627136249,1.0446135449574112
1964,-4.806677730845584,low_ect_side,1.0519857232657945,1.12842865000768,1.0519857232657945
1965,-4.533616977191744,high_ect_side,1.0497768996948311,1.1282292836664023,1.1282292836664023
1966,-4.681229028202961,low_ect_side,1.0445992858685305,1.1266908282906585,1.0445992858685305
