sample,episode,regime_code,start_year,end_year,n_years,ect_mean,theta_mean
FULL,1,high_ect_side,1941,1942,2,-4.526000475742817,1.133942389909988
FULL,2,low_ect_side,1943,1943,1,-4.730712910895616,1.0506244374395628
FULL,4,low_ect_side,1944,1945,2,-4.739819879684309,1.0517779642192087
FULL,6,low_ect_side,1946,1946,1,-4.700441608552156,1.0500525481579517
FULL,8,low_ect_side,1947,1947,1,-4.706679500622162,1.0549921324906593
FULL,9,high_ect_side,1948,1948,1,-4.2317055377347685,1.1365022110874876
FULL,10,low_ect_side,1949,1949,1,-4.693113817996066,1.0502721505101655
FULL,11,high_ect_side,1950,1950,1,-4.60776645791053,1.134772390803822
FULL,12,low_ect_side,1951,1952,2,-4.754758000019393,1.0490743630607717
FULL,13,high_ect_side,1953,1953,1,-4.548045553871734,1.130611820600101
FULL,14,low_ect_side,1954,1956,3,-4.966688214475754,1.0411917318846011
FULL,16,low_ect_side,1957,1960,4,-4.899802714467093,1.0444443893160396
FULL,17,high_ect_side,1961,1962,2,-4.434921043668458,1.1270403431332596
FULL,18,low_ect_side,1963,1964,2,-4.724732351633188,1.0482996341116029
FULL,19,high_ect_side,1965,1965,1,-4.533616977191744,1.1282292836664023
FULL,20,low_ect_side,1966,1967,2,-4.692437573883723,1.0453567058302944
FULL,22,low_ect_side,1968,1970,3,-4.781208592384132,1.0420565649636915
FULL,24,low_ect_side,1971,1971,1,-4.79259753680361,1.0449064104974275
FULL,26,low_ect_side,1972,1972,1,-4.825625039496437,1.0528729949050273
FULL,27,high_ect_side,1973,1973,1,-4.5411049226840206,1.1266671622453701
FULL,28,low_ect_side,1974,1980,7,-4.876586062659075,1.0389995398269576
FULL,29,high_ect_side,1981,1982,2,-4.507554166146406,1.1245028283890919
FULL,30,low_ect_side,1983,1983,1,-4.768835657691779,1.0449197799488767
FULL,32,low_ect_side,1984,1990,7,-4.90006020798514,1.0399677050646414
FULL,33,high_ect_side,1991,1991,1,-4.631152315859442,1.1255552016304038
FULL,34,low_ect_side,1992,1992,1,-4.6823727905862444,1.0360823115997964
FULL,35,high_ect_side,1993,1999,7,-4.523701420900601,1.113118374624959
FULL,36,low_ect_side,2000,2005,6,-4.769429964101295,1.019165450381434
FULL,37,high_ect_side,2006,2006,1,-4.634103620225789,1.0868866849624068
FULL,38,low_ect_side,2007,2007,1,-4.669750279955293,1.005548412726401
FULL,39,high_ect_side,2008,2009,2,-4.552477603258837,1.0804212283709234
FULL,40,low_ect_side,2010,2010,1,-4.801325051512171,1.0031619079728633
ISI1931_1973,1,high_ect_side,1941,1942,2,-4.533257544932667,2.6988469166532534
ISI1931_1973,3,high_ect_side,1943,1943,1,-4.591963814125792,2.7086666255010807
ISI1931_1973,4,low_ect_side,1944,1944,1,-4.687840473239639,1.2026277978584072
ISI1931_1973,5,high_ect_side,1945,1945,1,-4.6224743979599054,2.7146485182786386
ISI1931_1973,7,high_ect_side,1946,1946,1,-4.549814282433211,2.696982794352516
ISI1931_1973,9,high_ect_side,1947,1948,2,-4.4859534380133095,2.732595363772881
ISI1931_1973,11,high_ect_side,1949,1950,2,-4.54118147767765,2.694144460107017
ISI1931_1973,12,low_ect_side,1951,1951,1,-4.642045712139647,1.2004350896165
ISI1931_1973,13,high_ect_side,1952,1953,2,-4.536889845687364,2.660223331822907
ISI1931_1973,14,low_ect_side,1954,1955,2,-4.682266148724063,1.1999999944764195
ISI1931_1973,15,high_ect_side,1956,1956,1,-4.606021709370231,2.636677699806597
ISI1931_1973,16,low_ect_side,1957,1960,4,-4.732230405169793,1.1475495296965248
ISI1931_1973,17,high_ect_side,1961,1962,2,-4.4969728619025755,2.7038564153064346
ISI1931_1973,18,low_ect_side,1963,1964,2,-4.699045465805336,1.1206075016804302
ISI1931_1973,20,low_ect_side,1965,1966,2,-4.729728451373912,1.128906324117072
ISI1931_1973,21,high_ect_side,1967,1967,1,-4.567921234938254,2.6706884543994467
ISI1931_1973,22,low_ect_side,1968,1969,2,-4.675531217458408,1.1374936088707588
ISI1931_1973,23,high_ect_side,1970,1970,1,-4.558441110357246,2.6168099464316334
ISI1931_1973,25,high_ect_side,1971,1971,1,-4.6267815386643445,2.6568917145949125
ISI1931_1973,26,low_ect_side,1972,1972,1,-4.684570857310498,1.1102697544351754
ISI1931_1973,27,high_ect_side,1973,1973,1,-4.591546531820706,2.6462542108382254
POST1974,28,low_ect_side,1975,1980,6,-6.206398933461834,0.4952050231744983
POST1974,29,high_ect_side,1981,1982,2,-5.780751016441257,1.4575456235321211
POST1974,31,high_ect_side,1983,1983,1,-5.936847164415283,1.4592286185559604
POST1974,32,low_ect_side,1984,1990,7,-6.201541603584656,0.49502908478995217
POST1974,33,high_ect_side,1991,1991,1,-5.956746987373409,1.4635855346589064
POST1974,34,low_ect_side,1992,1992,1,-6.058044664847495,0.4982555392701806
POST1974,35,high_ect_side,1993,1999,7,-5.887217474779192,1.4427912265649874
POST1974,36,low_ect_side,2000,2005,6,-6.054506850147784,0.5088750107380908
POST1974,37,high_ect_side,2006,2006,1,-5.879614075567908,1.3992243394315713
POST1974,39,high_ect_side,2007,2009,3,-5.8116076677080715,1.389481858470972
POST1974,41,high_ect_side,2010,2010,1,-5.965824737025661,1.3824153979028158
PRE1974,1,high_ect_side,1941,1942,2,-4.533257544932667,2.6988469166532534
PRE1974,3,high_ect_side,1943,1943,1,-4.591963814125792,2.7086666255010807
PRE1974,4,low_ect_side,1944,1944,1,-4.687840473239639,1.2026277978584072
PRE1974,5,high_ect_side,1945,1945,1,-4.6224743979599054,2.7146485182786386
PRE1974,7,high_ect_side,1946,1946,1,-4.549814282433211,2.696982794352516
PRE1974,9,high_ect_side,1947,1948,2,-4.4859534380133095,2.732595363772881
PRE1974,11,high_ect_side,1949,1950,2,-4.54118147767765,2.694144460107017
PRE1974,12,low_ect_side,1951,1951,1,-4.642045712139647,1.2004350896165
PRE1974,13,high_ect_side,1952,1953,2,-4.536889845687364,2.660223331822907
PRE1974,14,low_ect_side,1954,1955,2,-4.682266148724063,1.1999999944764195
PRE1974,15,high_ect_side,1956,1956,1,-4.606021709370231,2.636677699806597
PRE1974,16,low_ect_side,1957,1960,4,-4.732230405169793,1.1475495296965248
PRE1974,17,high_ect_side,1961,1962,2,-4.4969728619025755,2.7038564153064346
PRE1974,18,low_ect_side,1963,1964,2,-4.699045465805336,1.1206075016804302
PRE1974,20,low_ect_side,1965,1966,2,-4.729728451373912,1.128906324117072
PRE1974,21,high_ect_side,1967,1967,1,-4.567921234938254,2.6706884543994467
PRE1974,22,low_ect_side,1968,1969,2,-4.675531217458408,1.1374936088707588
PRE1974,23,high_ect_side,1970,1970,1,-4.558441110357246,2.6168099464316334
PRE1974,25,high_ect_side,1971,1971,1,-4.6267815386643445,2.6568917145949125
PRE1974,26,low_ect_side,1972,1972,1,-4.684570857310498,1.1102697544351754
PRE1974,27,high_ect_side,1973,1973,1,-4.591546531820706,2.6462542108382254
