gamma,ok,ssr,n_r1,n_r2,msg
-6.2601558738608025,FALSE,NA,NA,NA,"Regime split too small: n_r1=4, n_r2=32"
-6.251010856405298,FALSE,NA,NA,NA,"Regime split too small: n_r1=4, n_r2=32"
-6.241865838949792,FALSE,NA,NA,NA,"Regime split too small: n_r1=4, n_r2=32"
-6.232720821494286,FALSE,NA,NA,NA,"Regime split too small: n_r1=4, n_r2=32"
-6.226953191243347,FALSE,NA,NA,NA,"Regime split too small: n_r1=5, n_r2=31"
-6.225373521126068,FALSE,NA,NA,NA,"Regime split too small: n_r1=5, n_r2=31"
-6.22379385100879,FALSE,NA,NA,NA,"Regime split too small: n_r1=5, n_r2=31"
-6.222214180891512,FALSE,NA,NA,NA,"Regime split too small: n_r1=5, n_r2=31"
-6.220634510774232,FALSE,NA,NA,NA,"Regime split too small: n_r1=5, n_r2=31"
-6.219054840656954,FALSE,NA,NA,NA,"Regime split too small: n_r1=5, n_r2=31"
-6.217475170539676,FALSE,NA,NA,NA,"Regime split too small: n_r1=5, n_r2=31"
-6.215819832383815,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=30"
-6.214017140679133,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=30"
-6.212214448974452,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=30"
-6.210411757269772,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=30"
-6.208609065565091,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=30"
-6.2068063738604105,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=30"
-6.20500368215573,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=30"
-6.203610609311235,FALSE,NA,NA,NA,"Regime split too small: n_r1=7, n_r2=29"
-6.203572429619661,FALSE,NA,NA,NA,"Regime split too small: n_r1=7, n_r2=29"
-6.203534249928088,FALSE,NA,NA,NA,"Regime split too small: n_r1=7, n_r2=29"
-6.203496070236515,FALSE,NA,NA,NA,"Regime split too small: n_r1=7, n_r2=29"
-6.203457890544941,FALSE,NA,NA,NA,"Regime split too small: n_r1=7, n_r2=29"
-6.203419710853368,FALSE,NA,NA,NA,"Regime split too small: n_r1=7, n_r2=29"
-6.203381531161796,FALSE,NA,NA,NA,"Regime split too small: n_r1=7, n_r2=29"
-6.203124222806124,TRUE,0.006456177866959085,8,28,NA
-6.201333013801757,TRUE,0.006456177866959085,8,28,NA
-6.199541804797391,TRUE,0.006456177866959085,8,28,NA
-6.197750595793025,TRUE,0.006456177866959085,8,28,NA
-6.19595938678866,TRUE,0.006456177866959085,8,28,NA
-6.194168177784294,TRUE,0.006456177866959085,8,28,NA
-6.192376968779929,TRUE,0.006456177866959085,8,28,NA
-6.190403719327525,TRUE,0.006398061040050016,9,27,NA
-6.178418245233056,TRUE,0.006398061040050016,9,27,NA
-6.166432771138586,TRUE,0.006398061040050016,9,27,NA
-6.154447297044117,TRUE,0.006398061040050016,9,27,NA
-6.142461822949647,TRUE,0.006398061040050016,9,27,NA
-6.130476348855178,TRUE,0.006398061040050016,9,27,NA
-6.118490874760709,TRUE,0.006398061040050016,9,27,NA
-6.106505400666239,TRUE,0.006398061040050016,9,27,NA
-6.104523886670105,TRUE,0.00412757169204205,10,26,NA
-6.103523153075768,TRUE,0.00412757169204205,10,26,NA
-6.102522419481431,TRUE,0.00412757169204205,10,26,NA
-6.101521685887095,TRUE,0.00412757169204205,10,26,NA
-6.100520952292759,TRUE,0.00412757169204205,10,26,NA
-6.099520218698422,TRUE,0.00412757169204205,10,26,NA
-6.098519485104085,TRUE,0.00412757169204205,10,26,NA
-6.095715390546793,TRUE,0.004570232167003421,11,25,NA
-6.092470474420779,TRUE,0.004570232167003421,11,25,NA
-6.089225558294764,TRUE,0.004570232167003421,11,25,NA
-6.0859806421687495,TRUE,0.004570232167003421,11,25,NA
-6.082735726042735,TRUE,0.004570232167003421,11,25,NA
-6.079490809916721,TRUE,0.004570232167003421,11,25,NA
-6.076245893790706,TRUE,0.004570232167003421,11,25,NA
-6.074816976589768,TRUE,0.0036225343749461685,12,24,NA
-6.074179648663865,TRUE,0.0036225343749461685,12,24,NA
-6.07354232073796,TRUE,0.0036225343749461685,12,24,NA
-6.072904992812056,TRUE,0.0036225343749461685,12,24,NA
-6.072267664886153,TRUE,0.0036225343749461685,12,24,NA
-6.071630336960248,TRUE,0.0036225343749461685,12,24,NA
-6.0709930090343445,TRUE,0.0036225343749461685,12,24,NA
-6.070666378594656,TRUE,0.0024313745836972525,13,23,NA
-6.070556294887784,TRUE,0.0024313745836972525,13,23,NA
-6.070446211180912,TRUE,0.0024313745836972525,13,23,NA
-6.070336127474041,TRUE,0.0024313745836972525,13,23,NA
-6.070226043767169,TRUE,0.0024313745836972525,13,23,NA
-6.070115960060297,TRUE,0.0024313745836972525,13,23,NA
-6.070005876353426,TRUE,0.0024313745836972525,13,23,NA
-6.069735217746848,TRUE,0.00129926853578081,14,22,NA
-6.069292089803547,TRUE,0.00129926853578081,14,22,NA
-6.068848961860244,TRUE,0.00129926853578081,14,22,NA
-6.068405833916943,TRUE,0.00129926853578081,14,22,NA
-6.067962705973642,TRUE,0.00129926853578081,14,22,NA
-6.067519578030341,TRUE,0.00129926853578081,14,22,NA
-6.067076450087039,TRUE,0.00129926853578081,14,22,NA
-6.0664270033334535,TRUE,0.003392037388580568,15,21,NA
-6.06543369189606,TRUE,0.003392037388580568,15,21,NA
-6.0644403804586675,TRUE,0.003392037388580568,15,21,NA
-6.063447069021274,TRUE,0.003392037388580568,15,21,NA
-6.062453757583881,TRUE,0.003392037388580568,15,21,NA
-6.061460446146487,TRUE,0.003392037388580568,15,21,NA
-6.060467134709095,TRUE,0.003392037388580568,15,21,NA
-6.059675998483989,TRUE,0.0036118851955386994,16,20,NA
-6.059437474505807,TRUE,0.0036118851955386994,16,20,NA
-6.059198950527626,TRUE,0.0036118851955386994,16,20,NA
-6.058960426549444,TRUE,0.0036118851955386994,16,20,NA
-6.0587219025712615,TRUE,0.0036118851955386994,16,20,NA
-6.058483378593079,TRUE,0.0036118851955386994,16,20,NA
-6.058244854614898,TRUE,0.0036118851955386994,16,20,NA
-6.057194586352076,TRUE,0.0038356054974343647,17,19,NA
-6.051905209047246,TRUE,0.0038356054974343647,17,19,NA
-6.046615831742415,TRUE,0.0038356054974343647,17,19,NA
-6.041326454437584,TRUE,0.0038356054974343647,17,19,NA
-6.036037077132754,TRUE,0.0038356054974343647,17,19,NA
-6.0307476998279235,TRUE,0.0038356054974343647,17,19,NA
-6.025458322523093,TRUE,0.0038356054974343647,17,19,NA
-6.0204423404781044,TRUE,0.004062842946708015,18,18,NA
-6.020256341356983,TRUE,0.004062842946708015,18,18,NA
-6.0200703422358615,TRUE,0.004062842946708015,18,18,NA
-6.0198843431147395,TRUE,0.004062842946708015,18,18,NA
-6.019698343993618,TRUE,0.004062842946708015,18,18,NA
-6.019512344872496,TRUE,0.004062842946708015,18,18,NA
-6.019326345751374,TRUE,0.004062842946708015,18,18,NA
-6.019140346630253,TRUE,0.004062842946708015,18,18,NA
-6.0168636084099445,TRUE,0.0033341618260789353,19,17,NA
-6.0144685264670406,TRUE,0.0033341618260789353,19,17,NA
-6.012073444524136,TRUE,0.0033341618260789353,19,17,NA
-6.009678362581232,TRUE,0.0033341618260789353,19,17,NA
-6.007283280638328,TRUE,0.0033341618260789353,19,17,NA
-6.004888198695424,TRUE,0.0033341618260789353,19,17,NA
-6.00249311675252,TRUE,0.0033341618260789353,19,17,NA
-5.997823463158715,TRUE,3.753002332852189e-4,20,16,NA
-5.992718253291333,TRUE,3.753002332852189e-4,20,16,NA
-5.987613043423951,TRUE,3.753002332852189e-4,20,16,NA
-5.98250783355657,TRUE,3.753002332852189e-4,20,16,NA
-5.977402623689188,TRUE,3.753002332852189e-4,20,16,NA
-5.972297413821806,TRUE,3.753002332852189e-4,20,16,NA
-5.967192203954424,TRUE,3.753002332852189e-4,20,16,NA
-5.965824358821223,TRUE,0.001067914378613,21,15,NA
-5.965823842249305,TRUE,0.001067914378613,21,15,NA
-5.965823325677389,TRUE,0.001067914378613,21,15,NA
-5.965822809105473,TRUE,0.001067914378613,21,15,NA
-5.965822292533556,TRUE,0.001067914378613,21,15,NA
-5.965821775961639,TRUE,0.001067914378613,21,15,NA
-5.965821259389722,TRUE,0.001067914378613,21,15,NA
-5.965792760042706,TRUE,0.00260205297238954,22,14,NA
-5.96574747103063,TRUE,0.00260205297238954,22,14,NA
-5.965702182018555,TRUE,0.00260205297238954,22,14,NA
-5.9656568930064795,TRUE,0.00260205297238954,22,14,NA
-5.965611603994404,TRUE,0.00260205297238954,22,14,NA
-5.965566314982327,TRUE,0.00260205297238954,22,14,NA
-5.965521025970252,TRUE,0.00260205297238954,22,14,NA
-5.964861466875286,TRUE,0.0022075878305395672,23,13,NA
-5.963630001151424,TRUE,0.0022075878305395672,23,13,NA
-5.962398535427562,TRUE,0.0022075878305395672,23,13,NA
-5.9611670697037,TRUE,0.0022075878305395672,23,13,NA
-5.959935603979838,TRUE,0.0022075878305395672,23,13,NA
-5.958704138255975,TRUE,0.0022075878305395672,23,13,NA
-5.957472672532113,TRUE,0.0022075878305395672,23,13,NA
-5.955596997604472,TRUE,0.006216429418591063,24,12,NA
-5.952797022514886,TRUE,0.006216429418591063,24,12,NA
-5.949997047425301,TRUE,0.006216429418591063,24,12,NA
-5.947197072335715,TRUE,0.006216429418591063,24,12,NA
-5.94439709724613,TRUE,0.006216429418591063,24,12,NA
-5.941597122156544,TRUE,0.006216429418591063,24,12,NA
-5.93879714706696,TRUE,0.006216429418591063,24,12,NA
