true_sample,start_year,end_year,n_years,ect_mean,theta_mean,theta_sd,u_mean,u_sd,wsh_mean
ISI1931_1973,1932,1973,42,-6.297874879713771,1.272327500646658,0.006231120398360994,1.1440293202630585,0.13998238208054176,0.5627421799992632
POST1974,1974,2010,37,-6.704958631559641,1.1703229236178896,0.01905702908212104,0.7886883397782813,0.1674653324132738,0.4387564179558804
