year,theta_hat
1920,1.0375584560958329
1921,1.038935404815052
1922,1.0391653814998418
1923,1.0383879312958537
1924,1.0375907855785433
1925,1.0376651052944987
1926,1.0392579302231515
1927,1.0401138050368282
1928,1.0391139089730077
1929,1.0410070235422069
1930,1.0426825145180125
1931,1.0424656607568832
1932,1.042192913278422
1933,1.043583352565895
1934,1.0442898096557234
1935,1.0450691595362385
1936,1.0452379327403056
1937,1.0457544234024367
1938,1.0463996662369894
1939,1.046947159004016
1940,1.0474716803582036
1941,1.0478461386866897
1942,1.0478386006996356
1943,1.0483091030742924
1944,1.0487787003255098
1945,1.048988825521568
1946,1.0488676461447077
1947,1.0493611301362589
1948,1.048698512667637
1949,1.0484542274151603
1950,1.0480695970537217
1951,1.0475281576831539
1952,1.0479522203997027
1953,1.0464393211885867
1954,1.0462757312990376
1955,1.0459792668419483
1956,1.046303792283186
1957,1.0460007045430886
1958,1.0449197015617637
1959,1.0457566572817334
1960,1.045871751599395
1961,1.045941245793106
1962,1.0452983920621692
1963,1.0451983159503453
1964,1.0461895058147985
1965,1.046038767454152
1966,1.0453460080948207
1967,1.045507924338109
1968,1.045081711117924
1969,1.0447282760225687
1970,1.0447848236106554
1971,1.0452404274583735
1972,1.046365029217471
1973,1.0453202838031688
