year,true_sample,regime_code,wsh,ECT,theta_r1,theta_r2,theta_active,y,k_nr,dlog_k_nr,log_y_p,y_p,u
1932,ISI1931_1973,high_ect_side,0.4609216486983835,-7.254522904098218,1.2154820596916387,1.689140838573307,1.689140838573307,14.893269841048154,17.394834301334544,NA,15.010827509957828,3304605.005675723,0.8890892374610689
1933,ISI1931_1973,low_ect_side,0.5189968270302697,-7.171207643950497,1.220146007488894,1.694716524392343,1.220146007488894,14.944816815770924,17.399571640962986,0.004737339628441362,15.01660775599159,3323761.7476563375,0.9307254527312525
1934,ISI1931_1973,low_ect_side,0.5367886606293845,-6.765832180541771,1.2232435223889109,1.6978553397841607,1.2232435223889109,15.078365757402766,17.39502490687068,-0.004546734092304661,15.011045992965153,3305327.084593499,1.069637455515003
1935,ISI1931_1973,low_ect_side,0.5718574788836842,-6.429527672895697,1.2259717402142205,1.7010284793228825,1.2259717402142205,15.163060406283504,17.402145056187567,0.007120149316886426,15.019775094813761,3334305.916938741,1.154059020974199
1936,ISI1931_1973,low_ect_side,0.5285386217121376,-6.345008175636588,1.2290486222819446,1.7027605238939154,1.2290486222819446,15.214121297302963,17.41587448832105,0.01372943213348421,15.036649234462134,3391046.8414081465,1.1941946950291538
1937,ISI1931_1973,low_ect_side,0.5328311331485793,-6.239882689937901,1.2317879224221908,1.7052548282175224,1.2317879224221908,15.306588664102334,17.428739608565085,0.01286512024403308,15.052496334199242,3445213.154839463,1.2892908388707027
1938,ISI1931_1973,low_ect_side,0.5531664074120999,-6.065682466298934,1.2345679234098026,1.708101023467007,1.2345679234098026,15.330013245552612,17.45095542189763,0.022215813332543632,15.079923264732061,3541012.5126343374,1.284140959546586
1939,ISI1931_1973,high_ect_side,0.5785353553129456,-6.200618621439814,1.236626473124231,1.7103898246391376,1.7103898246391376,15.35284334092288,17.46281183830925,0.011856416411621495,15.100202358719184,3613554.090936971,1.2874209868088227
1940,ISI1931_1973,high_ect_side,0.6074707800874707,-6.052562017806046,1.2384600629994973,1.7125243456137995,1.7125243456137995,15.403585026344988,17.474384732665918,0.011572894356667973,15.120021222054193,3685885.016442146,1.3278536003683332
1941,ISI1931_1973,high_ect_side,0.6162600974278495,-6.0367527669421905,1.240318271412167,1.7142790160257644,1.7142790160257644,15.40519050826264,17.484944059644068,0.010559326978150096,15.13812285471619,3753213.088625335,1.306128807587598
1942,ISI1931_1973,high_ect_side,0.5675648436860874,-6.163412227610993,1.2422877849101224,1.715087191061083,1.715087191061083,15.43758890881989,17.48424481344372,-6.992462003481137e-4,15.136923586514575,3748714.6774541494,1.350757197576023
