gamma,ok,ssr,n_r1,n_r2,msg
-4.738870499595067,FALSE,NA,NA,NA,"Regime split too small: n_r1=4, n_r2=29"
-4.734950291312629,FALSE,NA,NA,NA,"Regime split too small: n_r1=4, n_r2=29"
-4.731030083030191,FALSE,NA,NA,NA,"Regime split too small: n_r1=4, n_r2=29"
-4.727109874747752,FALSE,NA,NA,NA,"Regime split too small: n_r1=4, n_r2=29"
-4.723189666465314,FALSE,NA,NA,NA,"Regime split too small: n_r1=4, n_r2=29"
-4.719269458182875,FALSE,NA,NA,NA,"Regime split too small: n_r1=4, n_r2=29"
-4.715349249900437,FALSE,NA,NA,NA,"Regime split too small: n_r1=4, n_r2=29"
-4.7138571950702,FALSE,NA,NA,NA,"Regime split too small: n_r1=5, n_r2=28"
-4.71304502320658,FALSE,NA,NA,NA,"Regime split too small: n_r1=5, n_r2=28"
-4.712232851342959,FALSE,NA,NA,NA,"Regime split too small: n_r1=5, n_r2=28"
-4.711420679479339,FALSE,NA,NA,NA,"Regime split too small: n_r1=5, n_r2=28"
-4.710608507615719,FALSE,NA,NA,NA,"Regime split too small: n_r1=5, n_r2=28"
-4.709796335752098,FALSE,NA,NA,NA,"Regime split too small: n_r1=5, n_r2=28"
-4.708984163888478,FALSE,NA,NA,NA,"Regime split too small: n_r1=5, n_r2=28"
-4.708160619171859,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=27"
-4.705892722124348,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=27"
-4.703624825076838,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=27"
-4.701356928029329,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=27"
-4.699089030981819,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=27"
-4.696821133934309,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=27"
-4.694553236886799,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=27"
-4.692285339839289,FALSE,NA,NA,NA,"Regime split too small: n_r1=6, n_r2=27"
-4.690467317606833,FALSE,NA,NA,NA,"Regime split too small: n_r1=7, n_r2=26"
-4.690118886436884,FALSE,NA,NA,NA,"Regime split too small: n_r1=7, n_r2=26"
