gamma,ok,ssr,n_r1,n_r2,msg
-4.980392496053276,FALSE,NA,NA,NA,"Regime split too small: n_r1=7, n_r2=63"
-4.969101834996057,TRUE,0.07854857908548016,8,62,NA
-4.9519987204533535,TRUE,0.07854857908548016,8,62,NA
-4.934895605910649,TRUE,0.07854857908548016,8,62,NA
-4.918205752633157,TRUE,0.08636245241544703,9,61,NA
-4.913108965374503,TRUE,0.08636245241544703,9,61,NA
-4.90801217811585,TRUE,0.08636245241544703,9,61,NA
-4.902915390857197,TRUE,0.08636245241544703,9,61,NA
-4.898774690006577,TRUE,0.0775606777823035,10,60,NA
-4.895904736913469,TRUE,0.0775606777823035,10,60,NA
-4.893034783820362,TRUE,0.0775606777823035,10,60,NA
-4.890164830727254,TRUE,0.0775606777823035,10,60,NA
-4.888288013384781,TRUE,0.07713553142704185,11,59,NA
-4.8866229194880475,TRUE,0.07713553142704185,11,59,NA
-4.884957825591314,TRUE,0.07713553142704185,11,59,NA
-4.882572907744568,TRUE,0.08151561512793501,12,58,NA
-4.877623988885794,TRUE,0.08151561512793501,12,58,NA
-4.87267507002702,TRUE,0.08151561512793501,12,58,NA
-4.867726151168245,TRUE,0.08151561512793501,12,58,NA
-4.864884387634717,TRUE,0.08421207074363933,13,57,NA
-4.863366588951565,TRUE,0.08421207074363933,13,57,NA
-4.861848790268413,TRUE,0.08421207074363933,13,57,NA
-4.860330855563638,TRUE,0.0768575037734842,14,56,NA
-4.858798040093425,TRUE,0.0768575037734842,14,56,NA
-4.8572652246232115,TRUE,0.0768575037734842,14,56,NA
-4.855732409152998,TRUE,0.0768575037734842,14,56,NA
-4.853986656217916,TRUE,0.07121989657464974,15,55,NA
-4.851926748906412,TRUE,0.07121989657464974,15,55,NA
-4.849866841594909,TRUE,0.07121989657464974,15,55,NA
-4.847806934283405,TRUE,0.07121989657464974,15,55,NA
-4.842568822151174,TRUE,0.06701775137457597,16,54,NA
-4.836530753703521,TRUE,0.06701775137457597,16,54,NA
-4.830492685255868,TRUE,0.06701775137457597,16,54,NA
-4.8255853111455425,TRUE,0.07637091196636255,17,53,NA
-4.825380357410085,TRUE,0.07637091196636255,17,53,NA
-4.825175403674628,TRUE,0.07637091196636255,17,53,NA
-4.824970449939171,TRUE,0.07637091196636255,17,53,NA
-4.8219124269487885,TRUE,0.10452204386462534,18,52,NA
-4.816861644817276,TRUE,0.10452204386462534,18,52,NA
-4.811810862685763,TRUE,0.10452204386462534,18,52,NA
-4.806760080554249,TRUE,0.10452204386462534,18,52,NA
-4.806193198607992,TRUE,0.1031151399536245,19,51,NA
-4.805700635449335,TRUE,0.1031151399536245,19,51,NA
-4.805208072290678,TRUE,0.1031151399536245,19,51,NA
-4.804753613714093,TRUE,0.10241965262836274,20,50,NA
-4.804361690408562,TRUE,0.10241965262836274,20,50,NA
-4.803969767103033,TRUE,0.10241965262836274,20,50,NA
-4.8035778437975045,TRUE,0.10241965262836274,20,50,NA
-4.803024748457908,TRUE,0.10183007774418483,21,49,NA
-4.802424471609509,TRUE,0.10183007774418483,21,49,NA
-4.80182419476111,TRUE,0.10183007774418483,21,49,NA
-4.801155275063225,TRUE,0.1086662645694607,22,48,NA
-4.800147569688834,TRUE,0.1086662645694607,22,48,NA
-4.7991398643144425,TRUE,0.1086662645694607,22,48,NA
-4.798132158940051,TRUE,0.1086662645694607,22,48,NA
-4.79689599938649,TRUE,0.10664500467508496,23,47,NA
-4.7954828062085575,TRUE,0.10664500467508496,23,47,NA
-4.794069613030624,TRUE,0.10664500467508496,23,47,NA
-4.792656419852691,TRUE,0.10664500467508496,23,47,NA
-4.792009909231153,TRUE,0.10764983470712787,24,46,NA
-4.791396732633805,TRUE,0.10764983470712787,24,46,NA
-4.790783556036457,TRUE,0.10764983470712787,24,46,NA
-4.790231745983048,TRUE,0.1023800737896255,25,45,NA
