year,ECT_m_lag1,regime_code,theta_r1,theta_r2,theta_active
1975,-6.203619472453921,low_ect_side,0.49380511208382005,1.4635008586379454,0.49380511208382005
1976,-6.310368789395145,low_ect_side,0.4940932204471437,1.4639964586336727,0.4940932204471437
1977,-6.368612435385345,low_ect_side,0.4931895980541087,1.4635180114957838,0.4931895980541087
1978,-6.19061774565064,low_ect_side,0.49645296809481043,1.4626084111204039,0.49645296809481043
1979,-6.105435269050662,low_ect_side,0.49757877261619543,1.4611793329242846,0.49757877261619543
1980,-6.0597398888352885,low_ect_side,0.4961104677509116,1.4592290879857228,0.4961104677509116
1981,-5.927679326575872,high_ect_side,0.4920750422166413,1.4573713276159135,1.4573713276159135
1982,-5.633822706306642,high_ect_side,0.488368562109803,1.4577199194483288,1.4577199194483288
1983,-5.936847164415283,high_ect_side,0.4902345829272136,1.4592286185559604,1.4592286185559604
1984,-6.203348123931669,low_ect_side,0.4903045798480787,1.46119330005779,0.4903045798480787
1985,-6.075260829966737,low_ect_side,0.4945292673664611,1.462753212861086,0.4945292673664611
1986,-6.3749867588293725,low_ect_side,0.49443177486062595,1.4644456596289628,0.49443177486062595
1987,-6.292653346604473,low_ect_side,0.49585663891354603,1.46532408184048,0.49585663891354603
1988,-6.227658401117132,low_ect_side,0.4973944716547547,1.4655211768630716,0.4973944716547547
1989,-6.216431459926474,low_ect_side,0.497557217806086,1.4646417651829422,0.497557217806086
1990,-6.020452304716736,low_ect_side,0.49512964308011287,1.4639950639142434,0.49512964308011287
1991,-5.956746987373409,high_ect_side,0.49685229528165387,1.4635855346589064,1.4635855346589064
1992,-6.058044664847495,low_ect_side,0.4982555392701806,1.4617746690393079,0.4982555392701806
1993,-5.965499190196573,high_ect_side,0.49929835943390716,1.4592822145796907,1.4592822145796907
1994,-5.929092681893527,high_ect_side,0.4998339058734726,1.4567950723740348,1.4567950723740348
1995,-5.965821065675254,high_ect_side,0.5026506765217243,1.4498075145811224,1.4498075145811224
1996,-5.89673500437538,high_ect_side,0.5032947828014289,1.4427600583510942,1.4427600583510942
1997,-5.808452967989956,high_ect_side,0.5053988523282881,1.4352340185072885,1.4352340185072885
1998,-5.81705067669394,high_ect_side,0.5061473298291352,1.4294901694541762,1.4294901694541762
1999,-5.8278707366297144,high_ect_side,0.5053478524066086,1.4261695381075048,1.4261695381075048
2000,-6.069948868719511,low_ect_side,0.5061148113449533,1.4221928230638863,0.5061148113449533
2001,-6.002108192868839,low_ect_side,0.5074319799988338,1.419049980967734,0.5074319799988338
2002,-6.066799495122476,low_ect_side,0.507349412716663,1.4161232019356762,0.507349412716663
2003,-6.098322912433769,low_ect_side,0.5079946839875562,1.4134787793210186,0.5079946839875562
2004,-6.070731249350491,low_ect_side,0.5109316433169928,1.4097856229286199,0.5109316433169928
2005,-6.019130382391621,low_ect_side,0.513427533063546,1.4042145226078888,0.513427533063546
2006,-5.879614075567908,high_ect_side,0.5168875440657225,1.3992243394315713,1.3992243394315713
2007,-5.9265150716422,high_ect_side,0.5190846523674578,1.3942268741062662,1.3942268741062662
2008,-5.8515576930907045,high_ect_side,0.5184059150801119,1.3885650353931784,1.3885650353931784
2009,-5.656750238391309,high_ect_side,0.517538789984469,1.3856536659134717,1.3856536659134717
2010,-5.965824737025661,high_ect_side,0.5201236737696553,1.3824153979028158,1.3824153979028158
