"variable","family","window_id","start_year","end_year","n_obs","level_stationarity_flag","first_difference_stationarity_flag","i2_risk_flag","unstable_classification_flag","notes"
"k_Kcap","productive_capacity_capital","fordist_core",1945,1973,29,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"k_Kcap","productive_capacity_capital","bridge_1940_1978",1940,1978,39,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"k_Kcap","productive_capacity_capital","pre_1974_alt_1940_1973",1940,1973,34,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"k_Kcap","productive_capacity_capital","pre_1974_alt_1947_1973",1947,1973,27,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"g_K_ME","productive_capacity_capital","full_long_sample",1929,2024,96,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"g_K_ME","productive_capacity_capital","pre_1974_full",1929,1973,45,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"g_K_ME","productive_capacity_capital","post_1973_full",1974,2024,51,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"g_K_ME","productive_capacity_capital","fordist_core",1945,1973,29,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"g_K_ME","productive_capacity_capital","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"g_K_ME","productive_capacity_capital","pre_1974_alt_1940_1973",1940,1973,34,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"g_K_ME","productive_capacity_capital","pre_1974_alt_1947_1973",1947,1973,27,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"g_K_NRC","productive_capacity_capital","full_long_sample",1929,2024,96,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"g_K_NRC","productive_capacity_capital","pre_1974_full",1929,1973,45,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"g_K_NRC","productive_capacity_capital","post_1973_full",1974,2024,51,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"g_K_NRC","productive_capacity_capital","fordist_core",1945,1973,29,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"g_K_NRC","productive_capacity_capital","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"g_K_NRC","productive_capacity_capital","pre_1974_alt_1940_1973",1940,1973,34,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"g_K_NRC","productive_capacity_capital","pre_1974_alt_1947_1973",1947,1973,27,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"g_Kcap","productive_capacity_capital","full_long_sample",1929,2024,96,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"g_Kcap","productive_capacity_capital","pre_1974_full",1929,1973,45,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"g_Kcap","productive_capacity_capital","post_1973_full",1974,2024,51,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"g_Kcap","productive_capacity_capital","fordist_core",1945,1973,29,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"g_Kcap","productive_capacity_capital","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"g_Kcap","productive_capacity_capital","pre_1974_alt_1940_1973",1940,1973,34,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"g_Kcap","productive_capacity_capital","pre_1974_alt_1947_1973",1947,1973,27,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"ME_NRC_gap","mechanization_composition_diagnostics","full_long_sample",1929,2024,96,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"ME_NRC_gap","mechanization_composition_diagnostics","pre_1974_full",1929,1973,45,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"ME_NRC_gap","mechanization_composition_diagnostics","post_1973_full",1974,2024,51,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"ME_NRC_gap","mechanization_composition_diagnostics","fordist_core",1945,1973,29,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"ME_NRC_gap","mechanization_composition_diagnostics","bridge_1940_1978",1940,1978,39,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"ME_NRC_gap","mechanization_composition_diagnostics","pre_1974_alt_1940_1973",1940,1973,34,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"ME_NRC_gap","mechanization_composition_diagnostics","pre_1974_alt_1947_1973",1947,1973,27,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"ME_share","mechanization_composition_diagnostics","full_long_sample",1929,2024,96,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"ME_share","mechanization_composition_diagnostics","pre_1974_full",1929,1973,45,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"ME_share","mechanization_composition_diagnostics","post_1973_full",1974,2024,51,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"ME_share","mechanization_composition_diagnostics","fordist_core",1945,1973,29,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"ME_share","mechanization_composition_diagnostics","bridge_1940_1978",1940,1978,39,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"ME_share","mechanization_composition_diagnostics","pre_1974_alt_1940_1973",1940,1973,34,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"ME_share","mechanization_composition_diagnostics","pre_1974_alt_1947_1973",1947,1973,27,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"NRC_share","mechanization_composition_diagnostics","full_long_sample",1929,2024,96,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"NRC_share","mechanization_composition_diagnostics","pre_1974_full",1929,1973,45,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"NRC_share","mechanization_composition_diagnostics","post_1973_full",1974,2024,51,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"NRC_share","mechanization_composition_diagnostics","fordist_core",1945,1973,29,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"NRC_share","mechanization_composition_diagnostics","bridge_1940_1978",1940,1978,39,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"NRC_share","mechanization_composition_diagnostics","pre_1974_alt_1940_1973",1940,1973,34,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"NRC_share","mechanization_composition_diagnostics","pre_1974_alt_1947_1973",1947,1973,27,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"Delta_ME_NRC_gap","mechanization_composition_diagnostics","full_long_sample",1929,2024,96,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"Delta_ME_NRC_gap","mechanization_composition_diagnostics","pre_1974_full",1929,1973,45,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"Delta_ME_NRC_gap","mechanization_composition_diagnostics","post_1973_full",1974,2024,51,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"Delta_ME_NRC_gap","mechanization_composition_diagnostics","fordist_core",1945,1973,29,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"Delta_ME_NRC_gap","mechanization_composition_diagnostics","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"Delta_ME_NRC_gap","mechanization_composition_diagnostics","pre_1974_alt_1940_1973",1940,1973,34,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"Delta_ME_NRC_gap","mechanization_composition_diagnostics","pre_1974_alt_1947_1973",1947,1973,27,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"Delta_ME_share","mechanization_composition_diagnostics","full_long_sample",1929,2024,96,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"Delta_ME_share","mechanization_composition_diagnostics","pre_1974_full",1929,1973,45,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"Delta_ME_share","mechanization_composition_diagnostics","post_1973_full",1974,2024,51,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"Delta_ME_share","mechanization_composition_diagnostics","fordist_core",1945,1973,29,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"Delta_ME_share","mechanization_composition_diagnostics","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"Delta_ME_share","mechanization_composition_diagnostics","pre_1974_alt_1940_1973",1940,1973,34,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"Delta_ME_share","mechanization_composition_diagnostics","pre_1974_alt_1947_1973",1947,1973,27,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"Delta_NRC_share","mechanization_composition_diagnostics","full_long_sample",1929,2024,96,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"Delta_NRC_share","mechanization_composition_diagnostics","pre_1974_full",1929,1973,45,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"Delta_NRC_share","mechanization_composition_diagnostics","post_1973_full",1974,2024,51,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"Delta_NRC_share","mechanization_composition_diagnostics","fordist_core",1945,1973,29,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"Delta_NRC_share","mechanization_composition_diagnostics","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"Delta_NRC_share","mechanization_composition_diagnostics","pre_1974_alt_1940_1973",1940,1973,34,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"Delta_NRC_share","mechanization_composition_diagnostics","pre_1974_alt_1947_1973",1947,1973,27,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"omega_NFC","distribution_states","full_long_sample",1929,2024,96,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"omega_NFC","distribution_states","pre_1974_full",1929,1973,45,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"omega_NFC","distribution_states","post_1973_full",1974,2024,51,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"omega_NFC","distribution_states","fordist_core",1945,1973,29,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"omega_NFC","distribution_states","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"omega_NFC","distribution_states","pre_1974_alt_1940_1973",1940,1973,34,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"omega_NFC","distribution_states","pre_1974_alt_1947_1973",1947,1973,27,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"omega_CORP","distribution_states","full_long_sample",1929,2024,96,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
