"run_id","model_id","full_start","full_end","effective_start","effective_end","n_full","n_effective","n_lost_lead_lag","n_lost_missing","sample_status"
"D12C_RUN_001","RDOLS_ME_NRC_OMEGA_INT_LL11",1931,2024,1933,2023,94,91,3,3,"PASS_SAMPLE_SURVIVAL"
"D12C_RUN_002","RDOLS_ME_NRC_OMEGA_INT_LL22",1931,2024,1934,2022,94,89,5,5,"PASS_SAMPLE_SURVIVAL"
