"variable","family","role","preferred_status","source","formula","construction_status","deterministic_family","notes"
"y_t","effective_output_proxy","effective_output_proxy","preliminary_baseline","S22:actual_log_output","input y_t","validated_upstream","trend","Actual log output; productive capacity is latent and non-observable."
"K_ME","productive_capacity_capital","capital_level","component","S20:K_ME","upstream object","validated_upstream","trend",""
"K_NRC","productive_capacity_capital","capital_level","component","S20:K_NRC","upstream object","validated_upstream","trend",""
"K_cap","productive_capacity_capital","capital_level","preferred_baseline","S20:K_cap","upstream object","validated_upstream","trend",""
"k_ME","productive_capacity_capital","capital_level","component","S20:k_ME","upstream object","validated_upstream","trend",""
"k_NRC","productive_capacity_capital","capital_level","component","S20:k_NRC","upstream object","validated_upstream","trend",""
"k_Kcap","productive_capacity_capital","capital_level","preferred_baseline","S20:k_Kcap","upstream object","validated_upstream","trend",""
"g_K_ME","productive_capacity_capital","capital_growth","component","S20:g_K_ME","upstream object","validated_upstream","bounded",""
"g_K_NRC","productive_capacity_capital","capital_growth","component","S20:g_K_NRC","upstream object","validated_upstream","bounded",""
"g_Kcap","productive_capacity_capital","capital_growth","preferred_baseline_support","S20:g_Kcap","upstream object","validated_upstream","bounded",""
"ME_NRC_gap","mechanization_composition_diagnostics","composition_diagnostic","candidate_only","S20","upstream","validated_upstream","bounded",""
"ME_share","mechanization_composition_diagnostics","composition_diagnostic","candidate_only","S20","upstream","validated_upstream","bounded",""
"NRC_share","mechanization_composition_diagnostics","composition_diagnostic","candidate_only","S20","upstream","validated_upstream","bounded",""
"Delta_ME_NRC_gap","mechanization_composition_diagnostics","audit_only_mechanization_change_variable","candidate_only","S30I","annual first difference","audit_only_constructed","bounded",""
"Delta_ME_share","mechanization_composition_diagnostics","audit_only_mechanization_change_variable","candidate_only","S30I","annual first difference","audit_only_constructed","bounded",""
"Delta_NRC_share","mechanization_composition_diagnostics","audit_only_mechanization_change_variable","candidate_only","S30I","annual first difference","audit_only_constructed","bounded",""
"omega_NFC","distribution_states","preferred_distribution_state","preferred_baseline","S20:omega_NFC","upstream object","validated_upstream","bounded",""
"omega_CORP","distribution_states","distribution_robustness_or_diagnostic","robustness_candidate","S20:omega_CORP","upstream object","validated_upstream","bounded",""
"pi_res_NFC","distribution_states","distribution_robustness_or_diagnostic","robustness_candidate","S20:pi_res_NFC","upstream object","validated_upstream","bounded",""
"pi_res_CORP","distribution_states","distribution_robustness_or_diagnostic","robustness_candidate","S20:pi_res_CORP","upstream object","validated_upstream","bounded",""
"e_NFC","distribution_states","distribution_robustness_or_diagnostic","robustness_candidate","S20:e_NFC","upstream object","validated_upstream","bounded",""
"e_CORP","distribution_states","distribution_robustness_or_diagnostic","robustness_candidate","S20:e_CORP","upstream object","validated_upstream","bounded",""
"ln_e_NFC","distribution_states","distribution_robustness_or_diagnostic","robustness_candidate","S20:ln_e_NFC","upstream object","validated_upstream","bounded",""
"ln_e_CORP","distribution_states","distribution_robustness_or_diagnostic","robustness_candidate","S20:ln_e_CORP","upstream object","validated_upstream","bounded",""
"q_omega_h1_Kcap","aggregate_q_indexes","preferred_A00_q_candidate","preferred_baseline","S30I","cumsum(mean lag 1 of omega_NFC * g_Kcap)","constructed_for_S30I_integration_audit","trend",""
"q_omega_h3_Kcap","aggregate_q_indexes","memory_state_robustness_candidate","robustness_candidate","S30I","cumsum(mean lag 3 of omega_NFC * g_Kcap)","constructed_for_S30I_integration_audit","trend",""
"q_omega_h5_Kcap","aggregate_q_indexes","memory_state_robustness_candidate","robustness_candidate","S30I","cumsum(mean lag 5 of omega_NFC * g_Kcap)","constructed_for_S30I_integration_audit","trend",""
"q_e_h1_Kcap","aggregate_q_indexes","alternative_distribution_proxy_candidate","robustness_candidate","S30I","cumsum(mean lag 1 of e_NFC * g_Kcap)","constructed_for_S30I_integration_audit","trend",""
"q_e_h3_Kcap","aggregate_q_indexes","alternative_distribution_proxy_candidate","robustness_candidate","S30I","cumsum(mean lag 3 of e_NFC * g_Kcap)","constructed_for_S30I_integration_audit","trend",""
"q_e_h5_Kcap","aggregate_q_indexes","alternative_distribution_proxy_candidate","robustness_candidate","S30I","cumsum(mean lag 5 of e_NFC * g_Kcap)","constructed_for_S30I_integration_audit","trend",""
"q_omega_h1_Kcap__full_long_sample","periodized_q_indexes","periodized_A00_q_candidate","periodized_baseline_candidate","S22","period-reset cumulative q","validated_upstream_periodized","trend",""
"q_omega_h1_Kcap__pre_1974_full","periodized_q_indexes","periodized_A00_q_candidate","periodized_baseline_candidate","S22","period-reset cumulative q","validated_upstream_periodized","trend",""
"q_omega_h1_Kcap__post_1973_full","periodized_q_indexes","periodized_A00_q_candidate","periodized_baseline_candidate","S22","period-reset cumulative q","validated_upstream_periodized","trend",""
"q_omega_h1_Kcap__fordist_core","periodized_q_indexes","periodized_A00_q_candidate","periodized_baseline_candidate","S22","period-reset cumulative q","validated_upstream_periodized","trend",""
"q_omega_h1_Kcap__bridge_1940_1978","periodized_q_indexes","periodized_A00_q_candidate","periodized_baseline_candidate","S22","period-reset cumulative q","validated_upstream_periodized","trend",""
"q_omega_h1_Kcap__pre_1974_alt_1940_1973","periodized_q_indexes","periodized_A00_q_candidate","periodized_baseline_candidate","S22","period-reset cumulative q","validated_upstream_periodized","trend",""
"q_omega_h1_Kcap__pre_1974_alt_1947_1973","periodized_q_indexes","periodized_A00_q_candidate","periodized_baseline_candidate","S22","period-reset cumulative q","validated_upstream_periodized","trend",""
"q_omega_h1_ME","mechanization_bias_q_candidates","mechanization_bias_candidate","candidate_only","S30I","cumsum(lag(omega_NFC,1) * g_K_ME)","audit_only_mechanization_q_candidate","trend",""
"q_omega_h1_NRC","mechanization_bias_q_candidates","mechanization_bias_candidate","candidate_only","S30I","cumsum(lag(omega_NFC,1) * g_K_NRC)","audit_only_mechanization_q_candidate","trend",""
"q_omega_h1_ME_minus_NRC","mechanization_bias_q_candidates","mechanization_bias_candidate","candidate_only","S30I","cumsum(lag(omega_NFC,1) * g_ME_minus_NRC)","audit_only_mechanization_q_candidate","trend",""
"q_omega_h1_ME_share","mechanization_bias_q_candidates","mechanization_bias_candidate","candidate_only","S30I","cumsum(lag(omega_NFC,1) * Delta_ME_share)","audit_only_mechanization_q_candidate","trend",""
"q_omega_h1_NRC_share","mechanization_bias_q_candidates","mechanization_bias_candidate","candidate_only","S30I","cumsum(lag(omega_NFC,1) * Delta_NRC_share)","audit_only_mechanization_q_candidate","trend",""
"q_omega_h1_ME_NRC_gap","mechanization_bias_q_candidates","mechanization_bias_candidate","candidate_only","S30I","cumsum(lag(omega_NFC,1) * Delta_ME_NRC_gap)","audit_only_mechanization_q_candidate","trend",""
"IPP_stock","frontier_conditioners","frontier_conditioner","candidate_only","S20:IPP_stock","upstream object","validated_upstream","trend","Not an additive K_cap component."
