year,ECT1,ECT2,ECT3
2010,0.22749128080246805,-0.6724728283624728,-0.07355843987756217
2011,0.20940106316081142,-0.6596497800821766,-0.06357310204008115
2012,0.22046668628408383,-0.6214032485310526,-0.03472198437515317
2013,0.20504126897881747,-0.61205786290747,-0.0280653099265038
2014,0.1900160267247486,-0.6070848510326883,-0.015876031204157925
2015,0.2094643522948445,-0.6113628281862589,0.0035051270979700178
2016,0.18829955367112916,-0.6558800179674051,-0.01382727159865027
2017,0.18565247004409002,-0.6581788584878154,-0.006172402677705691
2018,0.18638138743537525,-0.6340357950855662,0.013117376350162857
2019,0.17723353638720596,-0.6360129957392076,0.017498807709241504
2020,0.15289907793376756,-0.7558776785106431,-0.05204728956931248
2021,0.1117656954457118,-0.5990733503702756,0.030725496362357774
2022,0.04628934049782174,-0.5307236220420464,0.0635023454150172
2023,0.06818930249832533,-0.5183512766463707,0.07855995774024294
2024,0.08722723283858613,-0.5135289507958021,0.09137520396697951
