year,ECT1,ECT2,ECT3
1929,0.7359400023588023,-1.6595497154712788,0.45261635564382274
1930,0.3759050139370004,-1.8654575836428293,0.30620876812255915
1931,-1.2143668452941654,-2.5631297388943963,0.30310937425119633
1932,-2.1255123156219327,-3.0538222693971164,0.1093949056322785
1933,-1.5194209803503043,-2.845179547549286,-0.060922783709898454
1934,0.6562637082787717,-1.9126378067035361,-0.1940244300511118
1935,0.9728266160759347,-1.7450718372687462,-0.16967590081840456
1936,1.1178576738401773,-1.6317309838579845,-0.16656732497018822
1937,0.44883164566968503,-1.8427274096749713,-0.010358542163846352
1938,0.08444511640095698,-2.0548660816965523,-0.1252569129861385
1939,0.2947043242050711,-1.9171603659544019,-0.08654337002005974
1940,1.327246664170076,-1.450542090562159,-0.1748212965121354
1941,1.9406315289540714,-1.098516462874521,-0.1150682427761005
1942,1.6682776551228073,-1.1151468107276443,0.08294501732646253
1943,1.0968445573358565,-1.2635107106530015,0.31994818170174
1944,0.847002519009493,-1.3583399955914146,0.3526639397979636
1945,0.2651692043491778,-1.661236331916534,0.24588124181315507
1946,-0.826503054711651,-2.1653109564063584,0.2258526066107862
1947,-0.08461146386159157,-1.8306088348836838,0.1313586839419152
1948,0.6667315789252939,-1.4854958808364032,0.05784680602590342
1949,0.653224522879924,-1.5131944667501145,-0.015284245848899758
1950,1.106368945508109,-1.272771350640788,-0.06001021141565843
1951,0.8511494634719554,-1.3441203642874342,0.023628011723381803
1952,0.3212739315293902,-1.560124237971813,0.07504185720260992
1953,2.2740226557971255e-4,-1.6739794836475568,0.12998597276235913
1954,0.01145862768461825,-1.6897477916360586,0.06204266142770365
1955,0.6213298904160354,-1.3796142672742917,0.009171077037724018
1956,0.21564529203769212,-1.548847391682898,0.028440284278861583
1957,0.08959810879278507,-1.6063296013099162,0.008309281303503724
1958,-0.01660503200523067,-1.6815569023422228,-0.04468446866004783
1959,0.37790804051977034,-1.454481693463734,-0.02472997657883269
1960,0.11706713933952528,-1.5615788634808538,0.018006356855913452
1961,0.19964651724339433,-1.5187516477533975,-0.0016500612988359364
1962,0.4139869091610251,-1.384164996730874,0.023144109167713367
1963,0.615561679059482,-1.266445368413713,0.02366884192579377
1964,0.7008215990539952,-1.1985794691005722,0.03575769615090607
1965,0.8805916374085143,-1.0776565983062127,0.04530381940110928
1966,0.7003638595624295,-1.1331349392003673,0.08543332052459363
1967,0.4744364438701325,-1.2356010938817263,0.08368241381750607
1968,0.4863102020939607,-1.2061881687940712,0.08967131444657284
1969,0.17936457046772603,-1.347472606813973,0.11573963281498223
1970,-0.11120594229421954,-1.5106061669360784,0.08297568257074417
1971,0.13725941271252395,-1.3760709669577196,0.03674122654186007
1972,0.1604281263712437,-1.3388795372182116,0.061432054567045924
1973,0.12534270266274916,-1.3357089267448785,0.06979616356772667
1974,-0.1262400462325104,-1.48986679858492,-0.014013377963085105
1975,0.18793334945698348,-1.3192138876691217,-0.0819879940910262
1976,0.2612562568690464,-1.2494501347639684,-0.056539973750421524
1977,0.2872741116008797,-1.2088092094774368,-0.035074121795105384
1978,0.21552046814295522,-1.2282361867346339,-0.014414333381008504
1979,0.0124495543606713,-1.3453720238407172,-0.019141597529728216
1980,-0.08362863536956411,-1.4115474144088367,-0.06163010824710469
1981,0.14885823271129084,-1.248352530795941,-0.07664144769693948
1982,0.10765806669621725,-1.2834682209745552,-0.10787821529544317
1983,0.23915144907621766,-1.186337046183482,-0.08853865047137788
1984,0.36390956292623855,-1.0748040400497416,-0.03812503951514756
1985,0.3101736236307602,-1.0989442020066207,-0.021927666204977214
1986,0.17969009554425952,-1.1815062333678341,-0.014793124945494895
1987,0.2251020868636715,-1.134798156394389,2.815974851060332e-4
1988,0.27917665896174526,-1.0796279224607375,0.020267262922331497
1989,0.21742142340991677,-1.1207344726071753,0.01597440568783881
1990,0.17135643151902968,-1.1521608420630756,0.008303065768174633
1991,0.19411662897161364,-1.137262600200927,-0.006931326672866334
1992,0.13426581177736807,-1.1775189076232522,0.002515032783705351
1993,0.18992085058826547,-1.1269870495044358,-0.0036028126685430095
1994,0.3360018792725157,-0.9918160112662022,0.012139146390794053
1995,0.36748680855194493,-0.9498352026380275,0.014281327561839419
1996,0.40548815856095644,-0.9004531483692446,0.027502179852220365
1997,0.417602858520155,-0.8704258801271294,0.04775832783816014
1998,0.3361415089512718,-0.9351107562976395,0.0614417907067768
1999,0.3125049949691743,-0.9486154011307164,0.06990914680059035
2000,0.25849848833775013,-1.0033192993216034,0.07207635017709535
2001,0.20072062147016823,-1.0595755688303115,0.013211035318342113
2002,0.25306457629139345,-0.9788344160805735,-0.010184908299986972
2003,0.29920551636027426,-0.9067112781260391,-0.010691425273478217
2004,0.3313556199838388,-0.8211452868066189,-0.013002030186040514
2005,0.34579161077803633,-0.732328926628476,-0.012842538768637723
2006,0.3377360529361795,-0.6775129654537366,-0.007642248877694158
2007,0.29779287270704913,-0.7174724910705308,-0.024150752230504224
2008,0.22661566871735772,-0.7660059316420913,-0.06798918149964805
2009,0.19673419205025766,-0.8035166494414838,-0.11354719810695713
