variable,ECT1,ECT2,ECT3
y,0.01364821643943192,-0.034653068358535884,-0.2848521982510151
k,0.0239924071113832,-0.02608275260794338,0.057518244666289776
omega,0.009738893743014598,0.00499462625864519,0.03720581067615473
omega_k,0,0,0
