"year","omega_t","omega_k_t","theta_tot","beta_const_fm_ols","beta_k_t_fm_ols","beta_omega_k_t_fm_ols","theta_tot_formula","im_ols_beta_const","im_ols_beta_k_t","im_ols_beta_omega_k_t","im_ols_metadata_status","dols_fragility_metadata_status","candidate_spec_id","reconstruction_estimator","robustness_estimator","stress_diagnostic_estimator","reconstruction_window_id","reconstruction_window_role","reconstruction_year_start","reconstruction_year_end","sector_target","composition_basis","composition_tier","direct_sector_asset_split","capacity_register","fragility_flag"
1929,0.632503689129365,8.65856093465239,0.838896834935379,1.82034175010722,0.896535271842822,-0.0911274319787481,"beta_k_t_fm_ols + beta_omega_k_t_fm_ols * omega_t",1.77457167352778,0.935259406056057,-0.148310203837546,"const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM",TRUE
1930,0.636138668552111,8.80406027507958,0.838565588595288,1.82034175010722,0.896535271842822,-0.0911274319787481,"beta_k_t_fm_ols + beta_omega_k_t_fm_ols * omega_t",1.77457167352778,0.935259406056057,-0.148310203837546,"const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM",TRUE
1931,0.663881911320595,9.24612457976658,0.836037418127033,1.82034175010722,0.896535271842822,-0.0911274319787481,"beta_k_t_fm_ols + beta_omega_k_t_fm_ols * omega_t",1.77457167352778,0.935259406056057,-0.148310203837546,"const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM",TRUE
1932,0.677734147194899,9.46800653907211,0.834775099444644,1.82034175010722,0.896535271842822,-0.0911274319787481,"beta_k_t_fm_ols + beta_omega_k_t_fm_ols * omega_t",1.77457167352778,0.935259406056057,-0.148310203837546,"const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM",TRUE
1933,0.664517937219731,9.30510695575984,0.835979458720173,1.82034175010722,0.896535271842822,-0.0911274319787481,"beta_k_t_fm_ols + beta_omega_k_t_fm_ols * omega_t",1.77457167352778,0.935259406056057,-0.148310203837546,"const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM",TRUE
1934,0.622061999745903,8.73586487155875,0.839848359274413,1.82034175010722,0.896535271842822,-0.0911274319787481,"beta_k_t_fm_ols + beta_omega_k_t_fm_ols * omega_t",1.77457167352778,0.935259406056057,-0.148310203837546,"const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM",TRUE
1935,0.616558357905585,8.68728819199593,0.840349892021852,1.82034175010722,0.896535271842822,-0.0911274319787481,"beta_k_t_fm_ols + beta_omega_k_t_fm_ols * omega_t",1.77457167352778,0.935259406056057,-0.148310203837546,"const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM",TRUE
1936,0.61320426040215,8.67333703958144,0.840655542313947,1.82034175010722,0.896535271842822,-0.0911274319787481,"beta_k_t_fm_ols + beta_omega_k_t_fm_ols * omega_t",1.77457167352778,0.935259406056057,-0.148310203837546,"const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM",TRUE
1937,0.629079145811021,8.94161764240915,0.839208904773679,1.82034175010722,0.896535271842822,-0.0911274319787481,"beta_k_t_fm_ols + beta_omega_k_t_fm_ols * omega_t",1.77457167352778,0.935259406056057,-0.148310203837546,"const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM",TRUE
1938,0.633989364345709,9.03899975208095,0.838761449168159,1.82034175010722,0.896535271842822,-0.0911274319787481,"beta_k_t_fm_ols + beta_omega_k_t_fm_ols * omega_t",1.77457167352778,0.935259406056057,-0.148310203837546,"const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","const=estimated=ok; k_t=estimated=ok; omega_k_t=estimated=ok","SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM",TRUE
