"year","ECT","series"
1947,-0.321902876407643,"p=6"
1948,-0.283525773983653,"p=6"
1949,-0.335725437846206,"p=6"
1950,-0.315663240917817,"p=6"
1951,-0.272602171183659,"p=6"
1952,-0.288782858566516,"p=6"
1953,-0.275075590716371,"p=6"
1954,-0.323897566375727,"p=6"
1955,-0.29052582520216,"p=6"
1956,-0.318628367671073,"p=6"
1957,-0.343187180048528,"p=6"
1958,-0.393442063805133,"p=6"
1959,-0.324863146428825,"p=6"
1960,-0.308311957237599,"p=6"
1961,-0.310206510539631,"p=6"
1962,-0.258739421277436,"p=6"
1963,-0.230524516147643,"p=6"
1964,-0.20388490586137,"p=6"
1965,-0.170029788529836,"p=6"
1966,-0.152532834561822,"p=6"
1967,-0.171616009559027,"p=6"
1968,-0.157541076470354,"p=6"
1969,-0.162148378055506,"p=6"
1970,-0.216332954406904,"p=6"
1971,-0.22801736731384,"p=6"
1972,-0.202027579041228,"p=6"
1973,-0.196062793971095,"p=6"
1974,-0.295364848402902,"p=6"
1975,-0.325377048053532,"p=6"
1976,-0.297128408121829,"p=6"
1977,-0.275255383651847,"p=6"
1978,-0.258836166642829,"p=6"
1979,-0.280779636932565,"p=6"
1980,-0.330833355278154,"p=6"
1981,-0.32556942421273,"p=6"
1982,-0.351604249780047,"p=6"
1983,-0.317255546279939,"p=6"
1984,-0.257902671721018,"p=6"
1985,-0.242697708826275,"p=6"
1986,-0.241221794376529,"p=6"
1987,-0.219183687543226,"p=6"
1988,-0.194345103834242,"p=6"
1989,-0.197170421836611,"p=6"
1990,-0.204981630207374,"p=6"
1991,-0.207046097818827,"p=6"
1992,-0.196746023173389,"p=6"
1993,-0.194205419411549,"p=6"
1994,-0.170809754616953,"p=6"
1995,-0.155527130614526,"p=6"
1996,-0.141521885550162,"p=6"
1997,-0.116885669924773,"p=6"
1998,-0.10396892853913,"p=6"
1999,-0.0877944285903494,"p=6"
2000,-0.0768498396216608,"p=6"
2001,-0.119397776897049,"p=6"
2002,-0.142028846172609,"p=6"
2003,-0.138327706936755,"p=6"
2004,-0.138928091587528,"p=6"
2005,-0.138611081880741,"p=6"
2006,-0.144117130349809,"p=6"
2007,-0.170082753017684,"p=6"
2008,-0.238429993568453,"p=6"
2009,-0.247978545348157,"p=6"
2010,-0.21835843624375,"p=6"
2011,-0.204014707948264,"p=6"
