"year","ECT","series"
1947,-0.0340826723346405,"p=7"
1948,0.00326274006785328,"p=7"
1949,-0.0516047760804021,"p=7"
1950,-0.0253790094658744,"p=7"
1951,0.0143192344847272,"p=7"
1952,-0.0033881591897983,"p=7"
1953,0.0087356351205827,"p=7"
1954,-0.043640486570015,"p=7"
1955,-0.007380227019906,"p=7"
1956,-0.0339491046778257,"p=7"
1957,-0.0607225531240226,"p=7"
1958,-0.117190027442103,"p=7"
1959,-0.0513891036490223,"p=7"
1960,-0.0404503033491626,"p=7"
1961,-0.0471699167942088,"p=7"
1962,-3.79708313670152e-05,"p=7"
1963,0.0238855128347792,"p=7"
1964,0.0480722506796688,"p=7"
1965,0.0803287232388982,"p=7"
1966,0.0969723607881936,"p=7"
1967,0.0767183471205512,"p=7"
1968,0.0898488270857516,"p=7"
1969,0.0837210108379301,"p=7"
1970,0.0277898502899161,"p=7"
1971,0.0143412548246432,"p=7"
1972,0.0380220269351571,"p=7"
1973,0.0445176335034836,"p=7"
1974,-0.0490181762355407,"p=7"
1975,-0.0836452919268953,"p=7"
1976,-0.057406543424157,"p=7"
1977,-0.0371127103142562,"p=7"
1978,-0.0211269704114525,"p=7"
1979,-0.0434978430371019,"p=7"
1980,-0.0948247302385843,"p=7"
1981,-0.0929626778603571,"p=7"
1982,-0.125658583888254,"p=7"
1983,-0.098964431901879,"p=7"
1984,-0.044315113116467,"p=7"
1985,-0.0337603958868553,"p=7"
1986,-0.0365606409308116,"p=7"
1987,-0.018397573519801,"p=7"
1988,0.00252045511306315,"p=7"
1989,-0.00516946676217694,"p=7"
1990,-0.0179038383939716,"p=7"
1991,-0.0276135581909366,"p=7"
1992,-0.0227294971331176,"p=7"
1993,-0.0245912036457018,"p=7"
1994,-0.00469886840768347,"p=7"
1995,0.00710781781704961,"p=7"
1996,0.0172413561831274,"p=7"
1997,0.0385185250956048,"p=7"
1998,0.0487574169529868,"p=7"
1999,0.062207090103608,"p=7"
2000,0.0706352311778123,"p=7"
2001,0.024310733173759,"p=7"
2002,-0.00250085128810063,"p=7"
2003,-0.00410895348272933,"p=7"
2004,-0.0061423581195173,"p=7"
2005,-0.00710755170301119,"p=7"
2006,-0.0145902335669325,"p=7"
2007,-0.0451981485947226,"p=7"
2008,-0.115936728301991,"p=7"
2009,-0.136337681652572,"p=7"
2010,-0.112268186360053,"p=7"
2011,-0.102819326227886,"p=7"
