"year","value_me","value_nrc","me_share_productive_capital","me_annual_log_growth","nrc_annual_log_growth"
1901,407832.614810652,1315562.44125393,0.236644879173524,,
1902,863331.106278805,2991489.94268354,0.223961396732333,74.9941454013937,82.1507285710705
1903,1373033.68166407,4855491.01993933,0.220442841193294,46.3979650482552,48.4338661711076
1904,1797002.58104558,6562010.44172888,0.214977842019097,26.9097386185727,30.1186792190483
1905,2308917.49175047,8229725.3836785,0.219090590604769,25.0658752299547,22.6455620634505
1906,2970922.55163528,10108712.1670826,0.227141094956091,25.2093731619359,20.5644996415852
1907,3713437.06520175,12158565.4429482,0.233961471672839,22.308535238704,18.4636253307016
1908,4060697.84928392,13911375.0832931,0.225944879286758,8.93969624889532,13.4672960648984
1909,4481503.18789564,15914438.1060257,0.219725244513783,9.86036802573533,13.4519897388778
1910,5002963.69612095,18261182.5022142,0.215050389275794,11.0071952897082,13.7550878052835
1911,5431037.74563042,20382009.3818824,0.210398939683558,8.20997530039946,10.9874986481298
1912,6100525.67507475,22459871.2029585,0.21360087190409,11.6244714646291,9.70775960774795
1913,6892551.3071434,24511101.0900212,0.219482473566219,12.2066364089131,8.73959058582159
1914,7370007.72323568,26027587.5670138,0.220674801858785,6.69774463323556,6.00309151202403
1915,7855444.47297289,27134696.565685,0.224504510121695,6.37881006968311,4.1656189292187
1916,8664805.61914984,28696308.535572,0.231920428905484,9.8062635215916,5.5955266982199
1917,10098596.5084529,30478797.7086593,0.248872474521643,15.3126964590019,6.02627927474373
1918,12043729.488323,32239214.0402851,0.271972198066337,17.6147695449561,5.61522541517014
1919,13980948.5764992,34310999.873211,0.289508893828514,14.9151436818137,6.22824598336997
1920,16078595.7413473,37825624.4143495,0.298280833947805,13.9793343519155,9.75207687464241
1921,17296631.0239738,39937689.0132314,0.302207329670906,7.30228136219324,5.43336973338988
1922,18444326.201378,42250853.3921552,0.303884531274097,6.4245056190007,5.63040873778604
1923,20523811.4179973,45411653.643146,0.311271201302139,10.6828944441418,7.21442080534658
1924,21591514.9486566,48629908.7903183,0.307477601549578,5.07146663899825,6.84699885457327
1925,22597305.7048601,51697929.021454,0.304155519369488,4.5530271509751,6.11789742706641
1926,23186822.6079495,55373204.6934241,0.29514784305,2.57534436953257,6.86780838535377
1927,23288758.029371,58910148.7181816,0.28332199235806,0.438662985944305,6.19175730750001
1928,23290062.6701439,62313872.3245394,0.272067664548252,0.00560186262177353,5.61706907134827
1929,23512810.1280862,66152417.4112601,0.262228856975448,0.951860971083107,5.97773635391761
1930,23366102.2636706,69049543.5925571,0.252837082370463,-0.625903357720503,4.28628357414098
