"variable_id","window_id","window_type","available_start","available_end","n_total_years_in_window","n_nonmissing","coverage_rate","initial_observed_year","initial_value","terminal_observed_year","terminal_value","mean","median","standard_deviation","minimum","maximum","cumulative_log_change","compound_annual_growth_rate","mean_annual_log_growth","standard_deviation_annual_log_growth","minimum_annual_log_growth","maximum_annual_log_growth","testing_eligible","estimation_eligible","initial_share_percent","terminal_share_percent","mean_share_percent","median_share_percent","standard_deviation_percentage_points","minimum_share_percent","maximum_share_percent","initial_to_terminal_change_percentage_points","mean_annual_change_percentage_points"
"Y_REAL_NFC_GVA_BASELINE","global_available","global",1929,2025,97,97,1,1929,379518,2025,12229586,4089210.50515464,2854488,3544035.16785712,264338,12229586,347.271135038173,3.68363196889201,3.61740765664763,5.33694536423478,-16.3525966402377,18.5293151941908,"no_decision_in_descriptive_pass","no_decision_in_descriptive_pass",,,,,,,,,
"Y_REAL_NFC_GVA_BASELINE","pre_1974","structural",1929,1973,45,45,1,1929,379518,1973,2529343,1048188.48888889,896303,652398.539989156,264338,2529343,189.681283766251,4.40520898145571,4.31093826741479,7.09906689680468,-16.3525966402377,18.5293151941908,"no_decision_in_descriptive_pass","no_decision_in_descriptive_pass",,,,,,,,,
"Y_REAL_NFC_GVA_BASELINE","post_1974","structural",1974,2025,52,52,1,1974,2491175,2025,12229586,6720864.17307692,7083937,2838003.34498638,2456693,12229586,159.110361121761,3.16898717473164,3.03057406292158,3.13034675309578,-7.34744205632758,9.54279612727245,"no_decision_in_descriptive_pass","no_decision_in_descriptive_pass",,,,,,,,,
"Y_REAL_NFC_GVA_BASELINE","pre_fordist","nested",1929,1946,18,18,1,1929,379518,1946,658573,459824.666666667,392606,162809.86453204,264338,732875,55.1173346508753,3.29532799353065,3.24219615593384,10.4407598903534,-16.3525966402377,18.5293151941908,"no_decision_in_descriptive_pass","no_decision_in_descriptive_pass",,,,,,,,,
"Y_REAL_NFC_GVA_BASELINE","fordist_core_1947_1973","nested",1947,1973,27,27,1,1947,703904,1973,2529343,1440431.03703704,1285478,550931.732344572,703904,2529343,127.907288098011,5.0425280071426,4.98384996723613,3.87926129020686,-3.86275399294842,12.1723653900933,"no_decision_in_descriptive_pass","no_decision_in_descriptive_pass",,,,,,,,,
"Y_REAL_NFC_GVA_BASELINE","extended_fordist_bridge_1940_1978","bridge",1940,1978,39,39,1,1940,474124,1978,3038745,1458313.53846154,1243327,735934.136926055,474124,3038745,185.773098935716,5.01023731077641,5.07310140909833,5.25006504969189,-7.58504726457012,18.5293151941908,"no_decision_in_descriptive_pass","no_decision_in_descriptive_pass",,,,,,,,,
"Y_REAL_NFC_GVA_BASELINE","post_fordist_pre_gfc_1974_2008","structural",1974,2008,35,35,1,1974,2491175,2008,8373691,5182438.25714286,4719096,1941693.21528213,2456693,8463493,121.234028026488,3.63004040105246,3.42038623361856,2.89501770806206,-2.42632515144425,9.54279612727245,"no_decision_in_descriptive_pass","no_decision_in_descriptive_pass",,,,,,,,,
"Y_REAL_NFC_GVA_BASELINE","mature_post_volcker_pre_gfc_1983_2008","nested",1983,2008,26,26,1,1983,3415215,2008,8373691,5964982.69230769,5771773,1618027.63280171,3415215,8463493,89.6854318406508,3.65254151284029,3.63558526320225,2.57965842709375,-2.42632515144425,9.54279612727245,"no_decision_in_descriptive_pass","no_decision_in_descriptive_pass",,,,,,,,,
"Y_REAL_NFC_GVA_BASELINE","post_gfc_2009_2025","structural",2009,2025,17,17,1,2009,7780498,2025,12229586,9888211.64705882,9771449,1350916.70362179,7780498,12229586,45.2237751516002,2.86681008315346,2.22801959383956,3.52248410679133,-7.34744205632758,9.23538771781551,"no_decision_in_descriptive_pass","no_decision_in_descriptive_pass",,,,,,,,,
"Y_REAL_NFC_GVA_BASELINE","post_gfc_pre_covid_2009_2019","nested",2009,2019,11,11,1,2009,7780498,2019,10406488,9107279.54545454,9155687,841278.143446549,7780498,10406488,29.0809111365547,2.95078897587799,1.97576991638429,3.23195881544295,-7.34744205632758,4.25535147477891,"no_decision_in_descriptive_pass","no_decision_in_descriptive_pass",,,,,,,,,
