"sample_name","spec_id","interaction_label","n_lead","n_lag","n_rows","fit_failures","pct_fit_failures","mean_omega_range","min_omega_range","median_corr","max_abs_corr","median_max_vif","p95_max_vif","max_max_vif","median_cond_num","p95_cond_num","max_cond_num","near_singularity_share","high_vif_share","moderate_vif_share","high_cond_share"
"Deep comparison","S1","omega_t k_t",0,0,1,0,0,0.068903972031307,0.068903972031307,0.904980284732595,0.904980284732595,5.52453577074363,5.52453577074363,5.52453577074363,541.821589938277,541.821589938277,541.821589938277,0,0,1,1
"Deep comparison","S1","omega_t k_t",0,1,1,0,0,0.059009657652242,0.059009657652242,0.903042962860042,0.903042962860042,5.41966036516323,5.41966036516323,5.41966036516323,541.606691766581,541.606691766581,541.606691766581,0,0,1,1
"Deep comparison","S1","omega_t k_t",0,2,1,0,0,0.0539397814979831,0.0539397814979831,0.897774767629725,0.897774767629725,5.1546267773868,5.1546267773868,5.1546267773868,547.278591137949,547.278591137949,547.278591137949,0,0,1,1
"Deep comparison","S1","omega_t k_t",0,3,1,0,0,0.0539397814979831,0.0539397814979831,0.88795570118677,0.88795570118677,4.72735739770097,4.72735739770097,4.72735739770097,562.102707737986,562.102707737986,562.102707737986,0,0,0,1
"Deep comparison","S1","omega_t k_t",0,4,1,0,0,0.0539397814979831,0.0539397814979831,0.877484704821985,0.877484704821985,4.34743684385853,4.34743684385853,4.34743684385853,581.270106676446,581.270106676446,581.270106676446,0,0,0,1
"Deep comparison","S1","omega_t k_t",1,0,1,0,0,0.068903972031307,0.068903972031307,0.899612255286408,0.899612255286408,5.24389925690131,5.24389925690131,5.24389925690131,551.856778309898,551.856778309898,551.856778309898,0,0,1,1
"Deep comparison","S1","omega_t k_t",1,1,1,0,0,0.059009657652242,0.059009657652242,0.897013903790165,0.897013903790165,5.11859643579063,5.11859643579063,5.11859643579063,551.887501696163,551.887501696163,551.887501696163,0,0,1,1
"Deep comparison","S1","omega_t k_t",1,2,1,0,0,0.0539397814979831,0.0539397814979831,0.890914397730465,0.890914397730465,4.84797863920743,4.84797863920743,4.84797863920743,558.11432034879,558.11432034879,558.11432034879,0,0,0,1
"Deep comparison","S1","omega_t k_t",1,3,1,0,0,0.0539397814979831,0.0539397814979831,0.880170037281173,0.880170037281173,4.4385125111037,4.4385125111037,4.4385125111037,573.744469161408,573.744469161408,573.744469161408,0,0,0,1
"Deep comparison","S1","omega_t k_t",1,4,1,0,0,0.0539397814979831,0.0539397814979831,0.868759592564025,0.868759592564025,4.07735940851977,4.07735940851977,4.07735940851977,593.866501274678,593.866501274678,593.866501274678,0,0,0,1
"Deep comparison","S1","omega_t k_t",2,0,1,0,0,0.068903972031307,0.068903972031307,0.896769294459714,0.896769294459714,5.10712624994758,5.10712624994758,5.10712624994758,566.749283289426,566.749283289426,566.749283289426,0,0,1,1
"Deep comparison","S1","omega_t k_t",2,1,1,0,0,0.059009657652242,0.059009657652242,0.893564985195196,0.893564985195196,4.96175436978541,4.96175436978541,4.96175436978541,566.211268814323,566.211268814323,566.211268814323,0,0,0,1
"Deep comparison","S1","omega_t k_t",2,2,1,0,0,0.0539397814979831,0.0539397814979831,0.886733668896387,0.886733668896387,4.67938272350881,4.67938272350881,4.67938272350881,571.992708307896,571.992708307896,571.992708307896,0,0,0,1
"Deep comparison","S1","omega_t k_t",2,3,1,0,0,0.0539397814979831,0.0539397814979831,0.875338209354977,0.875338209354977,4.27747063596446,4.27747063596446,4.27747063596446,587.957208461736,587.957208461736,587.957208461736,0,0,0,1
"Deep comparison","S1","omega_t k_t",2,4,1,0,0,0.0539397814979831,0.0539397814979831,0.863354244438051,0.863354244438051,3.92742976020086,3.92742976020086,3.92742976020086,608.870647342713,608.870647342713,608.870647342713,0,0,0,1
"Deep comparison","S1","omega_t k_t",3,0,1,0,0,0.068903972031307,0.068903972031307,0.893819860903361,0.893819860903361,4.97299523709088,4.97299523709088,4.97299523709088,582.930287260827,582.930287260827,582.930287260827,0,0,0,1
"Deep comparison","S1","omega_t k_t",3,1,1,0,0,0.059009657652242,0.059009657652242,0.889949716690693,0.889949716690693,4.80793497521594,4.80793497521594,4.80793497521594,581.806129079946,581.806129079946,581.806129079946,0,0,0,1
"Deep comparison","S1","omega_t k_t",3,2,1,0,0,0.0539397814979831,0.0539397814979831,0.882316591062749,0.882316591062749,4.5143173873305,4.5143173873305,4.5143173873305,587.144699046509,587.144699046509,587.144699046509,0,0,0,1
"Deep comparison","S1","omega_t k_t",3,3,1,0,0,0.0539397814979831,0.0539397814979831,0.870227497901127,0.870227497901127,4.12024350715524,4.12024350715524,4.12024350715524,603.514480273218,603.514480273218,603.514480273218,0,0,0,1
"Deep comparison","S1","omega_t k_t",3,4,1,0,0,0.0539397814979831,0.0539397814979831,0.857645415673891,0.857645415673891,3.78151408465945,3.78151408465945,3.78151408465945,625.339887309824,625.339887309824,625.339887309824,0,0,0,1
"Deep comparison","S1","omega_t k_t",4,0,1,0,0,0.068903972031307,0.068903972031307,0.889172877171192,0.889172877171192,4.77619708811636,4.77619708811636,4.77619708811636,598.634294321162,598.634294321162,598.634294321162,0,0,0,1
"Deep comparison","S1","omega_t k_t",4,1,1,0,0,0.059009657652242,0.059009657652242,0.884433548937571,0.884433548937571,4.59184686106741,4.59184686106741,4.59184686106741,597.286115715798,597.286115715798,597.286115715798,0,0,0,1
