"estimator","auto_kmax","auto_ic","im_selector","omega_mean","omega_min","omega_max","omega_range","beta1_hat","se_beta1","t_beta1","p_beta1","beta2_hat","se_beta2","t_beta2","p_beta2","const_hat","se_const","t_const","p_const","pathological_beta2_inference","fit_ok","fit_message","theta_at_omega_min","theta_at_omega_mean","theta_at_omega_max","delta_theta_obs","omega_cross_theta1","theta_crosses_one_in_support","corr_longrun_regressors","VIF_regressor_1","VIF_regressor_2","max_vif","condition_number_longrun_X","smallest_eigenvalue_XtX","rank_longrun_X","near_singularity_flag","design_flag","sample_name","economic_start_year","economic_end_year","input_start_year","input_end_year","input_N","spec_id","intercept_flag","centered_flag","interaction_label","beta2_family","kernel_used","bandwidth_used"
"D_auto","k4","BIC",NA,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.917622447831866,0.0283590224436,32.357337057609,9.48676696432285e-53,0.0236783775676255,0.0484281582408711,0.488938221640692,0.626024301682749,NA,NA,NA,NA,FALSE,TRUE,"",0.930994971005431,0.932368826982991,0.93367009285962,0.00267512185418861,3.47902012850599,FALSE,0.802738655425245,2.81206425326661,2.81206425326661,2.81206425326661,52.0797577497937,12.5331112318499,2,FALSE,"moderate-condition-number","Full sample",1929,2024,1929,2024,96,"S3",FALSE,FALSE,"omega_t k_t","no_intercept","ba","3"
"D_fixed","","",NA,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.924804167830815,0.0304955273787083,30.3258952155884,2.48293077730016e-50,0.0119150926155256,0.0521096100358465,0.228654419162399,0.819634235010438,NA,NA,NA,NA,FALSE,TRUE,"",0.931533296617669,0.932224628663805,0.932879432963347,0.00134613634567837,6.31097336760965,FALSE,0.802738655425245,2.81206425326661,2.81206425326661,2.81206425326661,52.0797577497937,12.5331112318499,2,FALSE,"moderate-condition-number","Full sample",1929,2024,1929,2024,96,"S3",FALSE,FALSE,"omega_t k_t","no_intercept","ba","3"
"FM","","",NA,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.856148597624383,0.052106220395372,16.4308328473663,2.20970091258505e-29,0.147725306355596,0.0838450644504934,1.76188434374478,0.0813399213590883,NA,NA,NA,NA,FALSE,TRUE,"",0.939577459121344,0.948148709182453,0.956267082146398,0.0166896230250544,0.973776300922644,FALSE,0.802738655425245,2.81206425326661,2.81206425326661,2.81206425326661,52.0797577497937,12.5331112318499,2,FALSE,"moderate-condition-number","Full sample",1929,2024,1929,2024,96,"S3",FALSE,FALSE,"omega_t k_t","no_intercept","ba","and"
"IM","","",1,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.823886880075838,0.0657032618665549,12.5395126005947,8.83500270755816e-22,0.202295705801662,0.105818690131275,1.9117199953118,0.0589579774914447,NA,NA,NA,NA,FALSE,TRUE,"",0.938134742118722,0.949872250901007,0.960989587728518,0.0228548456097966,0.870572705566123,FALSE,0.802738655425245,2.81206425326661,2.81206425326661,2.81206425326661,52.0797577497937,12.5331112318499,2,FALSE,"moderate-condition-number","Full sample",1929,2024,1929,2024,96,"S3",FALSE,FALSE,"omega_t k_t","no_intercept","ba","and"
"D_auto","k4","BIC",NA,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.932368826982991,0.00316169477204116,294.895267951835,3.02436920751063e-141,0.0236783775676258,0.0484281582408701,0.488938221640708,0.626024301682737,NA,NA,NA,NA,FALSE,TRUE,"",0.930994971005431,0.932368826982991,0.93367009285962,0.00267512185418872,3.47902012850594,FALSE,-0.483837402715249,1.30565114795253,1.30565114795253,1.30565114795253,37.580980886445,17.3683970298225,2,FALSE,"moderate-condition-number","Full sample",1929,2024,1929,2024,96,"S4",FALSE,TRUE,"(omega_t-omega_bar)k_t","no_intercept","ba","3"
"D_fixed","","",NA,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.932224628663805,0.00340281219872325,273.957119647561,3.04637824719196e-138,0.0119150926155257,0.052109610035858,0.228654419162351,0.819634235010476,NA,NA,NA,NA,FALSE,TRUE,"",0.931533296617669,0.932224628663805,0.932879432963347,0.00134613634567837,6.3109733676096,FALSE,-0.483837402715249,1.30565114795253,1.30565114795253,1.30565114795253,37.580980886445,17.3683970298225,2,FALSE,"moderate-condition-number","Full sample",1929,2024,1929,2024,96,"S4",FALSE,TRUE,"(omega_t-omega_bar)k_t","no_intercept","ba","3"
"FM","","",NA,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.948149665131856,0.00224468014669614,422.39856156228,6.64787285234821e-156,0.147732003142897,0.0838841938080354,1.76114231342527,0.0814661750369177,NA,NA,NA,NA,FALSE,TRUE,"",0.939578026512822,0.948149665131856,0.956268406123584,0.0166903796107626,0.973753919120114,FALSE,-0.483837402715249,1.30565114795253,1.30565114795253,1.30565114795253,37.580980886445,17.3683970298225,2,FALSE,"moderate-condition-number","Full sample",1929,2024,1929,2024,96,"S4",FALSE,TRUE,"(omega_t-omega_bar)k_t","no_intercept","ba","and"
"IM","","",1,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.949872250901007,0.002442187200696,388.943259808381,1.54659043610195e-152,0.202295705801669,0.105868074283933,1.91082823759617,0.0590740010254159,NA,NA,NA,NA,FALSE,TRUE,"",0.938134742118721,0.949872250901007,0.960989587728518,0.0228548456097972,0.870572705566116,FALSE,-0.483837402715249,1.30565114795253,1.30565114795253,1.30565114795253,37.580980886445,17.3683970298225,2,FALSE,"moderate-condition-number","Full sample",1929,2024,1929,2024,96,"S4",FALSE,TRUE,"(omega_t-omega_bar)k_t","no_intercept","ba","and"
"D_auto","k4","BIC",NA,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.866511080924847,0.0307597550614322,28.1702854653519,2.54669224041313e-47,0.0167278187303475,0.0438482792026905,0.381493163118727,0.703707556870553,1.06824259072302,0.345800999605291,3.08918306176774,0.00264681068202699,FALSE,TRUE,"",0.875958229192328,0.876928803028673,0.87784809488649,0.0018898656941615,7.98005533339375,FALSE,0.802738655425245,2.81206425326661,2.81206425326661,2.81206425326661,303.198976557194,0.370817941970617,3,FALSE,"high-condition-number","Full sample",1929,2024,1929,2024,96,"S1",TRUE,FALSE,"omega_t k_t","with_intercept","ba","3"
"D_fixed","","",NA,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.838450667421774,0.038954468577466,21.5238635781773,6.81985093985755e-38,0.0423186424630483,0.0473404561278388,0.893921307998606,0.373671542320692,1.32106743315078,0.428124279567768,3.08571014585887,0.00267497562655018,FALSE,TRUE,"",0.862350405712317,0.864805798601632,0.867131456481914,0.00478105076959678,3.81745073035572,FALSE,0.802738655425245,2.81206425326661,2.81206425326661,2.81206425326661,303.198976557194,0.370817941970617,3,FALSE,"high-condition-number","Full sample",1929,2024,1929,2024,96,"S1",TRUE,FALSE,"omega_t k_t","with_intercept","ba","3"
"FM","","",NA,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.848081667086149,0.0308166502389391,27.5202418338946,1.77402351274963e-46,0.0341705827670467,0.056068443819236,0.609444108654276,0.543716174994761,1.27351841672498,0.342671288059736,3.71644331200278,0.000344865378062967,FALSE,TRUE,"",0.867379733797075,0.869362363698855,0.871240237856926,0.0038605040598505,4.44588065557834,FALSE,0.802738655425245,2.81206425326661,2.81206425326661,2.81206425326661,303.198976557194,0.370817941970617,3,FALSE,"high-condition-number","Full sample",1929,2024,1929,2024,96,"S1",TRUE,FALSE,"omega_t k_t","with_intercept","ba","and"
"IM","","",1,0.622778275623354,0.56475673366441,0.677734147194899,0.112977413530489,0.815026476503666,0.038447947804701,21.1981789156511,2.22031105450417e-37,0.0364052081345584,0.0720239311544738,0.505459887443218,0.614431738566345,1.80814835503619,0.386318244445699,4.68046327356496,9.70882660627295e-06,FALSE,TRUE,"",0.835586562938112,0.837698849249416,0.839699529192194,0.00411296625408153,5.08096321857708,FALSE,0.802738655425245,2.81206425326661,2.81206425326661,2.81206425326661,303.198976557194,0.370817941970617,3,FALSE,"high-condition-number","Full sample",1929,2024,1929,2024,96,"S1",TRUE,FALSE,"omega_t k_t","with_intercept","ba","and"
