"sample_name","spec_id","intercept_flag","centered_flag","beta2_min","beta2_max","sign_flip_across_toggles","beta2_span"
"Deep comparison","S1",TRUE,FALSE,-0.203138331653971,0.624301436844331,TRUE,0.827439768498302
"Deep comparison","S2",TRUE,TRUE,-0.203138331653969,0.624301436844389,TRUE,0.827439768498359
"Deep comparison","S3",FALSE,FALSE,-0.389381209183542,0.507717402726004,TRUE,0.897098611909545
"Deep comparison","S4",FALSE,TRUE,-0.389381209183565,0.507717402726004,TRUE,0.897098611909569
"Fordist core","S1",TRUE,FALSE,-0.512584677965185,2.13139346926257,TRUE,2.64397814722775
"Fordist core","S2",TRUE,TRUE,-0.512584677965196,2.13139346926237,TRUE,2.64397814722757
"Fordist core","S3",FALSE,FALSE,-0.237574499753426,1.66340976472985,TRUE,1.90098426448328
"Fordist core","S4",FALSE,TRUE,-0.237574499753425,1.6634097647297,TRUE,1.90098426448312
"Full sample","S1",TRUE,FALSE,-0.0186133188377923,0.0482460657390718,TRUE,0.0668593845768641
"Full sample","S2",TRUE,TRUE,-0.0186133188377929,0.0482460657390726,TRUE,0.0668593845768656
"Full sample","S3",FALSE,FALSE,-0.0683563102382757,0.130725679806215,TRUE,0.199081990044491
"Full sample","S4",FALSE,TRUE,-0.0683563102382763,0.130725679806215,TRUE,0.199081990044491
"Post-1973","S1",TRUE,FALSE,-0.0102896269244104,0.176159214264318,TRUE,0.186448841188728
"Post-1973","S2",TRUE,TRUE,-0.0102896269244101,0.176159214264323,TRUE,0.186448841188733
"Post-1973","S3",FALSE,FALSE,0.0339341026523564,0.204421709453005,FALSE,0.170487606800648
"Post-1973","S4",FALSE,TRUE,0.0339341026523565,0.204421709453002,FALSE,0.170487606800645
"Pre-1974","S1",TRUE,FALSE,-0.410394202929157,0.445858924507224,TRUE,0.856253127436381
"Pre-1974","S2",TRUE,TRUE,-0.410394202929156,0.445858924507229,TRUE,0.856253127436385
"Pre-1974","S3",FALSE,FALSE,-0.916941249204176,0.176926847953616,TRUE,1.09386809715779
"Pre-1974","S4",FALSE,TRUE,-0.916941249204168,0.176926847953622,TRUE,1.09386809715779
