"year","bad_window_incidence","vif_bad_incidence","cond_bad_incidence","endpoint_pressure","score_bad_windows","score_vif_tail","score_cond_tail","score_endpoint","dummy_candidate_score"
2012,104,0,104,0,0.587570621468927,0,0.587570621468927,0,0.381920903954802
1973,76,24,53,0,0.429378531073446,1,0.299435028248588,0,0.377118644067797
1972,73,24,50,0,0.412429378531073,1,0.282485875706215,0,0.366101694915254
1971,70,24,47,0,0.395480225988701,1,0.265536723163842,0,0.355084745762712
2013,96,0,96,0,0.542372881355932,0,0.542372881355932,0,0.352542372881356
1970,67,24,44,0,0.378531073446328,1,0.248587570621469,0,0.34406779661017
1969,64,24,41,0,0.361581920903955,1,0.231638418079096,0,0.333050847457627
2014,88,0,88,0,0.497175141242938,0,0.497175141242938,0,0.32316384180791
1968,61,24,38,0,0.344632768361582,1,0.214689265536723,0,0.322033898305085
1966,58,24,35,0,0.327683615819209,1,0.19774011299435,0,0.311016949152542
1965,55,24,32,0,0.310734463276836,1,0.180790960451977,0,0.3
2015,80,0,80,0,0.451977401129944,0,0.451977401129944,0,0.293785310734463
1964,52,24,29,0,0.293785310734463,1,0.163841807909605,0,0.288983050847458
1963,50,24,27,0,0.282485875706215,1,0.152542372881356,0,0.281638418079096
1962,48,24,25,0,0.271186440677966,1,0.141242937853107,0,0.274293785310734
1961,46,24,23,0,0.259887005649718,1,0.129943502824859,0,0.266949152542373
2016,72,0,72,0,0.406779661016949,0,0.406779661016949,0,0.264406779661017
1960,44,24,21,0,0.248587570621469,1,0.11864406779661,0,0.259604519774011
1959,40,22,19,0,0.225988700564972,0.916666666666667,0.107344632768362,0,0.236935028248588
2017,64,0,64,0,0.361581920903955,0,0.361581920903955,0,0.235028248587571
2018,56,0,56,0,0.31638418079096,0,0.31638418079096,0,0.205649717514124
1958,35,18,17,0,0.19774011299435,0.75,0.096045197740113,0,0.200353107344633
1957,33,18,15,0,0.186440677966102,0.75,0.0847457627118644,0,0.193008474576271
1956,31,18,13,0,0.175141242937853,0.75,0.0734463276836158,0,0.18566384180791
1955,30,18,12,0,0.169491525423729,0.75,0.0677966101694915,0,0.181991525423729
1954,29,18,11,0,0.163841807909605,0.75,0.0621468926553672,0,0.178319209039548
2019,48,0,48,0,0.271186440677966,0,0.271186440677966,0,0.176271186440678
1953,27,18,9,0,0.152542372881356,0.75,0.0508474576271186,0,0.170974576271186
1952,25,18,7,0,0.141242937853107,0.75,0.0395480225988701,0,0.163629943502825
1951,23,18,5,0,0.129943502824859,0.75,0.0282485875706215,0,0.156285310734463
2020,40,0,40,0,0.225988700564972,0,0.225988700564972,0,0.146892655367232
1950,19,16,3,0,0.107344632768362,0.666666666666667,0.0169491525423729,0,0.13361581920904
1949,17,14,3,0,0.096045197740113,0.583333333333333,0.0169491525423729,0,0.118290960451977
2021,32,0,32,0,0.180790960451977,0,0.180790960451977,0,0.117514124293785
1948,15,12,3,0,0.0847457627118644,0.5,0.0169491525423729,0,0.102966101694915
2022,24,0,24,0,0.135593220338983,0,0.135593220338983,0,0.088135593220339
1947,13,10,3,0,0.0734463276836158,0.416666666666667,0.0169491525423729,0,0.0876412429378531
1946,11,8,3,0,0.0621468926553672,0.333333333333333,0.0169491525423729,0,0.0723163841807909
2023,16,0,16,0,0.0903954802259887,0,0.0903954802259887,0,0.0587570621468927
1945,9,6,3,0,0.0508474576271186,0.25,0.0169491525423729,0,0.0569915254237288
1944,7,4,3,0,0.0395480225988701,0.166666666666667,0.0169491525423729,0,0.0416666666666667
2024,8,0,8,0,0.0451977401129944,0,0.0451977401129944,0,0.0293785310734463
1943,3,0,3,0,0.0169491525423729,0,0.0169491525423729,0,0.0110169491525424
1929,0,0,0,0,0,0,0,0,0
1930,0,0,0,0,0,0,0,0,0
1931,0,0,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0,0,0
1933,0,0,0,0,0,0,0,0,0
1934,0,0,0,0,0,0,0,0,0
1935,0,0,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0,0,0
1937,0,0,0,0,0,0,0,0,0
1938,0,0,0,0,0,0,0,0,0
1939,0,0,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,0,0,0
1941,0,0,0,0,0,0,0,0,0
1942,0,0,0,0,0,0,0,0,0
