year,r_level,ln_r,ect,dlog_r,dlog_r_smoothed,ect_smoothed,dlog_r_z,dlog_r_smoothed_z,ect_z,ect_smoothed_z
1940,0.08194716192827933,-2.5016806061396504,-6.052562017806046,NA,NA,NA,NA,NA,1.0249204520296953,NA
1941,0.07936228796443776,-2.5337319862240535,-6.0367527669421905,-0.032051380084403114,NA,-6.084242337453077,-0.2037950772671946,NA,1.0854680335723035,1.0182661516843414
1942,0.09240302229735055,-2.3815955920236362,-6.163412227610993,0.15213639420041725,0.021510792346685292,-6.146810065305726,0.6711397271217876,0.18895151125892826,0.6003771150316716,0.7420836976848042
1943,0.0874097690010369,-2.4371482290995945,-6.240265201363993,-0.055552637075958256,0.018856839476329768,-6.186329028669253,-0.31543151876632025,0.15397386060226625,0.30603921533142253,0.5676416225792299
1944,0.08398127112510734,-2.477161467795064,-6.1553096570327765,-0.04001323869546969,0.009774097860261843,-6.170925951695856,-0.24161575908766206,0.034268282255281036,0.6314090125588933,0.63563289769274
1945,0.09515260588943003,-2.3522732984428507,-6.117202996690797,0.12488816935221347,0.07618289964424492,-6.126706573824553,0.5417043160578353,0.9095000526734596,0.7773530641930849,0.8308232412447842
1946,0.10985438859347624,-2.2085995301668597,-6.107607067750084,0.143673768275991,-0.05959146836300603,-6.02846396712658,0.6309402839906958,-0.8799320300637528,0.8141043495650709,1.2644794588567967
1947,0.07023307866463961,-2.6559358728840823,-5.860581836938859,-0.44733634271722256,0.021739874925143027,-6.031899652372123,-2.1764953227512756,0.19197069464018726,1.7601820881263233,1.2493138772566685
1948,0.10156526586796226,-2.2870536736674216,-6.127510052427425,0.36888219921666066,-0.043036362524779236,-6.024989426641192,1.7007327565742765,-0.6617447686916278,0.7378782463758494,1.279816552766217
1949,0.09654861474591506,-2.3377086177411974,-6.0868763905572925,-0.0506549440737758,0.13364285576604695,-6.1509294710513815,-0.29216633688624927,1.6667909203542723,0.8935004182702468,0.7239000808762407
1950,0.10487277757639878,-2.2550073055859414,-6.238401970169426,0.082701312155256,0.0392683240920643,-6.1567078106393085,0.3413069238165422,0.4229860899631263,0.31317517285763813,0.6983937046307306
1951,0.11426343062740091,-2.1692487013912287,-6.144845071191208,0.0857586041947127,-0.025437405483190585,-6.1581878046700425,0.35582977270208027,-0.4298001180543964,0.6714871522511796,0.6918608098406976
1952,0.08945488721964244,-2.414020834190769,-6.0913163726494925,-0.24477213279954046,0.10858625518676468,-6.1958143837136825,-1.2142681713092152,1.3365585972805605,0.876495806218083,0.5257719763073231
1953,0.14525731253742094,-1.9292485400256474,-6.351281707300348,0.4847722941651218,0.06521144902619369,-6.2805760996549695,2.25123768529749,0.7649023202865968,-0.11914101639762786,0.151622242613817
1954,0.13895371953021457,-1.9736143543126476,-6.39913021901507,-0.04436581428700026,0.15204900197973262,-6.349218046245331,-0.2622915063708405,1.909373883823211,-0.30239521924939644,-0.15137263840979553
1955,0.14115822872463382,-1.9578738282515713,-6.297242212420575,0.015740526061076343,-0.07535466513435174,-6.343612010653502,0.023227602262614916,-1.0876823620530667,0.08782392779431952,-0.12662683542001413
1956,0.11586697241954166,-2.1553125354287026,-6.334463600524863,-0.1974387071771313,-0.06346122236479997,-6.302703773157407,-0.9894233809923366,-0.9309332762101609,-0.05472963472304948,0.053947684515813395
1957,0.11486496919676681,-2.1639980214070476,-6.276405506526782,-0.008685485978344953,-0.00874826983300081,-6.375495277630681,-0.09280164098491195,-0.20984641689625091,0.16762607402176502,-0.2673639089480378
1958,0.1375017495783098,-1.9841186377505737,-6.515616725840397,0.17987938365647382,-0.06007743720226152,-6.4094183868813985,0.8029253852478542,-0.886336834187959,-0.7485249145371782,-0.41710512349592904
1959,0.09675774998893945,-2.335544847035487,-6.436232928277018,-0.3514262092849134,-0.07308231034469959,-6.367736783692304,-1.720899862306894,-1.0577339658745777,-0.4444942556829047,-0.23311686228705145
1960,0.09225074202696196,-2.3832449524411463,-6.151360696959494,-0.047700105405659166,-0.17775683675136245,-6.196663548295212,-0.2781301653643988,-2.437287106474746,0.6465330677152462,0.5220236484388635
1961,0.0806699493415625,-2.517389148004661,-6.002397019649123,-0.13414419556351476,-0.002377722469498226,-6.1385675096766255,-0.6887597166824535,-0.12588607884305003,1.2170465269871948,0.778467458434975
1962,0.09607001653523436,-2.342678014443982,-6.261944812421257,0.17471113356067924,0.04561690816776857,-6.221803028386131,0.778374994190927,0.5066569638677877,0.22300884092558695,0.411054566740164
1963,0.10577995614430469,-2.2463942279378406,-6.401067253088012,0.09628378650614122,-0.022578747704074125,-6.3088226748112675,0.40582683880793324,-0.3921245684009882,-0.30981383316679834,0.02693802102723356
1964,0.0753866261951969,-2.5851253911168834,-6.263455958924535,-0.33873116317904284,-0.05272493368593375,-6.3378168003247985,-1.6605954380611618,-0.7894348498616358,0.21722132658237267,-0.10104598943189957
1965,0.0820150251060998,-2.500852815501783,-6.348927188961849,0.08427257561510038,0.008464390187630233,-6.2924535909407515,0.3487707910206522,0.017007049794313667,-0.11012348657780544,0.09919338186965132
