"variable_id","source_copy_residual","status","detail"
"G_TOT_GPIM_2017",0,"PASS","canonical value copied from committed family interface without transformation"
"I_TOT_REAL_2017",0,"PASS","canonical value copied from committed family interface without transformation"
"LOG_G_TOT_GPIM_2017",0,"PASS","canonical value copied from committed family interface without transformation"
"LOG_I_TOT_REAL_2017",0,"PASS","canonical value copied from committed family interface without transformation"
"LOG_N_TOT_GPIM_2017",0,"PASS","canonical value copied from committed family interface without transformation"
"N_TOT_GPIM_2017",0,"PASS","canonical value copied from committed family interface without transformation"
"DELTA_G_TOT",0,"PASS","canonical value copied from committed family interface without transformation"
"DLOG_G_TOT",0,"PASS","canonical value copied from committed family interface without transformation"
"DLOG_N_TOT",0,"PASS","canonical value copied from committed family interface without transformation"
"GROWTH_ARITH_G_TOT",0,"PASS","canonical value copied from committed family interface without transformation"
"GROWTH_ARITH_N_TOT",0,"PASS","canonical value copied from committed family interface without transformation"
"L1_LOG_G_TOT",0,"PASS","canonical value copied from committed family interface without transformation"
"L1_LOG_N_TOT",0,"PASS","canonical value copied from committed family interface without transformation"
"L1_DLOG_G_TOT",0,"PASS","canonical value copied from committed family interface without transformation"
"L1_DLOG_N_TOT",0,"PASS","canonical value copied from committed family interface without transformation"
"CORP_COMPENSATION_SHARE_GVA",0,"PASS","canonical value copied from committed family interface without transformation"
"CORP_COMPENSATION_SHARE_NVA",0,"PASS","canonical value copied from committed family interface without transformation"
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA",0,"PASS","canonical value copied from committed family interface without transformation"
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA",0,"PASS","canonical value copied from committed family interface without transformation"
"NFC_COMPENSATION_SHARE_GVA",0,"PASS","canonical value copied from committed family interface without transformation"
"NFC_COMPENSATION_SHARE_NVA",0,"PASS","canonical value copied from committed family interface without transformation"
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA",0,"PASS","canonical value copied from committed family interface without transformation"
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA",0,"PASS","canonical value copied from committed family interface without transformation"
"y_real_nfc_gva_baseline",0,"PASS","canonical value copied from committed family interface without transformation"
"Y_REAL_NFC_GVA_BASELINE",0,"PASS","canonical value copied from committed family interface without transformation"
"y_real_nfc_gva_proxy_gdp_implicit",0,"PASS","canonical value copied from committed family interface without transformation"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",0,"PASS","canonical value copied from committed family interface without transformation"
"y_real_nfc_gva_proxy_nonfarm_business_output",0,"PASS","canonical value copied from committed family interface without transformation"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT",0,"PASS","canonical value copied from committed family interface without transformation"
"y_real_nfc_gva_proxy_business_output",0,"PASS","canonical value copied from committed family interface without transformation"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",0,"PASS","canonical value copied from committed family interface without transformation"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls",0,"PASS","canonical value copied from committed family interface without transformation"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS",0,"PASS","canonical value copied from committed family interface without transformation"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance",0,"PASS","canonical value copied from committed family interface without transformation"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE",0,"PASS","canonical value copied from committed family interface without transformation"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing",0,"PASS","canonical value copied from committed family interface without transformation"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING",0,"PASS","canonical value copied from committed family interface without transformation"
