"variable_id","long_nonmissing","wide_nonmissing","status"
"CORP_COMPENSATION_SHARE_GVA",97,97,"PASS"
"CORP_COMPENSATION_SHARE_NVA",97,97,"PASS"
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA",97,97,"PASS"
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA",97,97,"PASS"
"DELTA_G_TOT",123,123,"PASS"
"DLOG_G_TOT",123,123,"PASS"
"DLOG_N_TOT",123,123,"PASS"
"G_TOT_GPIM_2017",124,124,"PASS"
"GROWTH_ARITH_G_TOT",123,123,"PASS"
"GROWTH_ARITH_N_TOT",123,123,"PASS"
"I_TOT_REAL_2017",124,124,"PASS"
"L1_DLOG_G_TOT",122,122,"PASS"
"L1_DLOG_N_TOT",122,122,"PASS"
"L1_LOG_G_TOT",123,123,"PASS"
"L1_LOG_N_TOT",123,123,"PASS"
"LOG_G_TOT_GPIM_2017",124,124,"PASS"
"LOG_I_TOT_REAL_2017",124,124,"PASS"
"LOG_N_TOT_GPIM_2017",124,124,"PASS"
"N_TOT_GPIM_2017",124,124,"PASS"
"NFC_COMPENSATION_SHARE_GVA",97,97,"PASS"
"NFC_COMPENSATION_SHARE_NVA",97,97,"PASS"
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA",97,97,"PASS"
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA",97,97,"PASS"
"y_real_nfc_gva_baseline",97,97,"PASS"
"Y_REAL_NFC_GVA_BASELINE",97,97,"PASS"
"y_real_nfc_gva_proxy_business_output",79,79,"PASS"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",79,79,"PASS"
"y_real_nfc_gva_proxy_gdp_implicit",96,96,"PASS"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",96,96,"PASS"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance",29,29,"PASS"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE",29,29,"PASS"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing",29,29,"PASS"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING",29,29,"PASS"
"y_real_nfc_gva_proxy_nonfarm_business_output",97,97,"PASS"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT",97,97,"PASS"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls",79,79,"PASS"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS",79,79,"PASS"
