"variable_id","display_name","family_id","concept","definition","unit","reference_year","transformation","contract_status","analytical_role","authoritative_variable_id","baseline_or_robustness","coverage_start","coverage_end","source_stage","source_commit","notes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","capital baseline_representation","millions_2017_dollars","2017","level","BASELINE_AUTHORIZED","baseline_representation","G_TOT_GPIM_2017","BASELINE_AUTHORIZED",1901,2024,"","","value-bearing canonical object"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","conditional_secondary","capital conditional_secondary","millions_2017_dollars","2017","level_change","CONDITIONAL_SECONDARY","conditional_secondary","I_TOT_REAL_2017","CONDITIONAL_SECONDARY",1901,2024,"","","value-bearing canonical object"
"LOG_G_TOT_GPIM_2017","LOG_G_TOT_GPIM_2017","capital","baseline_representation","capital baseline_representation","natural_log_of_millions_2017_dollars","2017","log_level","BASELINE_AUTHORIZED","baseline_representation","LOG_G_TOT_GPIM_2017","BASELINE_AUTHORIZED",1901,2024,"","","value-bearing canonical object"
"LOG_I_TOT_REAL_2017","LOG_I_TOT_REAL_2017","capital","conditional_secondary","capital conditional_secondary","natural_log_of_millions_2017_dollars","2017","growth_or_log_difference","CONDITIONAL_SECONDARY","conditional_secondary","LOG_I_TOT_REAL_2017","CONDITIONAL_SECONDARY",1901,2024,"","","value-bearing canonical object"
"LOG_N_TOT_GPIM_2017","LOG_N_TOT_GPIM_2017","capital","robustness_representation","capital robustness_representation","natural_log_of_millions_2017_dollars","2017","log_level","ROBUSTNESS_AUTHORIZED","robustness_representation","LOG_N_TOT_GPIM_2017","ROBUSTNESS_AUTHORIZED",1901,2024,"","","value-bearing canonical object"
"N_TOT_GPIM_2017","N_TOT_GPIM_2017","capital","robustness_representation","capital robustness_representation","millions_2017_dollars","2017","level","ROBUSTNESS_AUTHORIZED","robustness_representation","N_TOT_GPIM_2017","ROBUSTNESS_AUTHORIZED",1901,2024,"","","value-bearing canonical object"
"DELTA_G_TOT","DELTA_G_TOT","capital","conditional_secondary","capital conditional_secondary","millions_2017_dollars","2017","level_change","CONDITIONAL_SECONDARY","conditional_secondary","DELTA_G_TOT","CONDITIONAL_SECONDARY",1902,2024,"","","value-bearing canonical object"
"DLOG_G_TOT","DLOG_G_TOT","capital","conditional_secondary","capital conditional_secondary","log_difference","","growth_or_log_difference","CONDITIONAL_SECONDARY","conditional_secondary","DLOG_G_TOT","CONDITIONAL_SECONDARY",1902,2024,"","","value-bearing canonical object"
"DLOG_N_TOT","DLOG_N_TOT","capital","conditional_secondary","capital conditional_secondary","log_difference","","growth_or_log_difference","CONDITIONAL_SECONDARY","conditional_secondary","DLOG_N_TOT","CONDITIONAL_SECONDARY",1902,2024,"","","value-bearing canonical object"
"GROWTH_ARITH_G_TOT","GROWTH_ARITH_G_TOT","capital","conditional_secondary","capital conditional_secondary","decimal_rate","","level_change","CONDITIONAL_SECONDARY","conditional_secondary","GROWTH_ARITH_G_TOT","CONDITIONAL_SECONDARY",1902,2024,"","","value-bearing canonical object"
"GROWTH_ARITH_N_TOT","GROWTH_ARITH_N_TOT","capital","conditional_secondary","capital conditional_secondary","decimal_rate","","level_change","CONDITIONAL_SECONDARY","conditional_secondary","GROWTH_ARITH_N_TOT","CONDITIONAL_SECONDARY",1902,2024,"","","value-bearing canonical object"
"L1_LOG_G_TOT","L1_LOG_G_TOT","capital","conditional_secondary","capital conditional_secondary","natural_log","","growth_or_log_difference","CONDITIONAL_SECONDARY","conditional_secondary","L1_LOG_G_TOT","CONDITIONAL_SECONDARY",1902,2024,"","","value-bearing canonical object"
"L1_LOG_N_TOT","L1_LOG_N_TOT","capital","conditional_secondary","capital conditional_secondary","natural_log","","growth_or_log_difference","CONDITIONAL_SECONDARY","conditional_secondary","L1_LOG_N_TOT","CONDITIONAL_SECONDARY",1902,2024,"","","value-bearing canonical object"
"L1_DLOG_G_TOT","L1_DLOG_G_TOT","capital","conditional_secondary","capital conditional_secondary","log_difference","","growth_or_log_difference","CONDITIONAL_SECONDARY","conditional_secondary","L1_DLOG_G_TOT","CONDITIONAL_SECONDARY",1903,2024,"","","value-bearing canonical object"
"L1_DLOG_N_TOT","L1_DLOG_N_TOT","capital","conditional_secondary","capital conditional_secondary","log_difference","","growth_or_log_difference","CONDITIONAL_SECONDARY","conditional_secondary","L1_DLOG_N_TOT","CONDITIONAL_SECONDARY",1903,2024,"","","value-bearing canonical object"
"CORP_COMPENSATION_SHARE_GVA","CORP_COMPENSATION_SHARE_GVA","distribution","robustness_distribution_interface","distribution robustness_distribution_interface","ratio","","ratio","ROBUSTNESS_AUTHORIZED","robustness_distribution_interface","CORP_COMPENSATION_SHARE_GVA","ROBUSTNESS_AUTHORIZED",1929,2025,"","","value-bearing canonical object"
