"variable_id","status"
"NFC_NET_INT","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"CORP_NET_INT","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"T711_L4","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"T711_L28","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"T711_L44","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"T711_L52","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"T711_L53","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"T711_L73","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"T711_L74","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"T711_L91","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"CORP_IMPUTED_INTEREST_ADJ","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"NFC_NOS","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"FIN_NOS_IMPLIED","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"FIN_COMP_IMPLIED","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"FIN_NVA_IMPLIED","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"FIN_GVA_IMPLIED","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"FINANCIAL_RESIDUAL_FAMILY","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"FIN_GVA_nominal","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"FIN_NVA_nominal","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"FIN_NOS","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"FIN_NET_INTEREST","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"FIN_CURRENT_TRANSFERS_NET","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"FIN_PBT","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"FIN_PROFITS","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"FIN_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
"IMPUTED_INTEREST_CANDIDATE","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK;NOT_MODEL_READY"
