"year","growth_contribution_ME","growth_contribution_NRC","growth_contribution_capacity_sum","w_growth_ME_capacity","w_growth_NRC_capacity","growth_weight_guard_status"
1925,,,,,,"MISSING_INPUT"
1926,,,,,,"MISSING_INPUT"
1927,,,,,,"MISSING_INPUT"
1928,,,,,,"MISSING_INPUT"
1929,,,,,,"MISSING_INPUT"
1930,,,,,,"MISSING_INPUT"
1931,,,,,,"MISSING_INPUT"
1932,2.88118892635643e-05,0.401284209695626,0.40131302158489,7.17940552982273e-05,0.999928205944702,"OK"
1933,2.04879920895619e-05,0.0786383142206415,0.0786588022127311,0.000260466616744971,0.999739533383255,"OK"
1934,2.21698306336695e-05,0.133082443024075,0.133104612854708,0.000166559446424815,0.999833440553575,"OK"
1935,2.48090571339758e-05,0.131803446318966,0.1318282553761,0.000188192258656512,0.999811807741343,"OK"
1936,2.74764963951578e-05,0.148981814791761,0.149009291288156,0.000184394517668186,0.999815605482332,"OK"
1937,3.05693705390709e-05,0.172730691409221,0.17276126077976,0.000176945748144553,0.999823054251855,"OK"
1938,2.3324310364121e-05,0.0804852000101291,0.0805085243204932,0.000289712307621863,0.999710287692378,"OK"
1939,2.66806729212747e-05,0.0786519080145416,0.0786785886874628,0.000339109704004212,0.999660890295996,"OK"
1940,3.2373585328884e-05,0.104425740572914,0.104458114158243,0.000309919297220334,0.99969008070278,"OK"
1941,3.04888661842734e-05,0.134081664428837,0.134112153295021,0.000227338577714159,0.999772661422286,"OK"
1942,1.1777229886009e-05,0.0417027297863668,0.0417145070162529,0.000282329355622502,0.999717670644377,"OK"
1943,9.0145137639442e-06,-0.00706999211090655,-0.0070609775971426,-0.00127666652951741,1.00127666652952,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
1944,7.52456073827173e-06,-0.00937540630069825,-0.00936788173995998,-0.000803229689180926,1.00080322968918,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
1945,1.05794669675538e-05,0.00690443493466091,0.00691501440162847,0.00152992696082633,0.998470073039174,"OK"
1946,3.70621460661486e-05,0.0956815256768234,0.0957185878228895,0.000387199047845603,0.999612800952154,"OK"
1947,4.22598679952492e-05,0.0741957759710056,0.0742380358390009,0.000569248196260171,0.99943075180374,"OK"
1948,4.41325895621318e-05,0.0727421109275167,0.0727862435170789,0.000606331463606532,0.999393668536393,"OK"
1949,5.18716427922647e-05,0.0646712798659396,0.0647231515087319,0.000801438767784147,0.999198561232216,"OK"
1950,5.86971740410124e-05,0.0517266289475048,0.0517853261215458,0.00113347116716507,0.998866528832835,"OK"
1951,5.97541727153661e-05,0.0728791248512722,0.0729388790239875,0.000819236236078082,0.999180763763922,"OK"
1952,5.69607598727636e-05,0.0571387130191103,0.0571956737789831,0.000995892802887029,0.999004107197113,"OK"
1953,7.84396903685432e-05,0.0742023866050349,0.0742808262954034,0.00105598839270582,0.998944011607294,"OK"
1954,7.82892180074664e-05,0.0762881934219612,0.0763664826399687,0.00102517773899006,0.99897482226101,"OK"
1955,9.57862182264881e-05,0.0880320683125331,0.0881278545307596,0.00108690060295358,0.998913099397046,"OK"
1956,8.69004154324269e-05,0.0845313414283786,0.084618241843811,0.00102697023170049,0.998973029768299,"OK"
1957,9.3344376289331e-05,0.0641594617313467,0.064252806107636,0.00145276731000606,0.998547232689994,"OK"
1958,9.1138961302938e-05,0.0521996805969711,0.052290819558274,0.00174292470595858,0.998257075294041,"OK"
1959,0.000114011484748442,0.0452896218041788,0.0454036332889272,0.00251106522737788,0.997488934772622,"OK"
1960,0.000122652723977348,0.0485856125321303,0.0487082652561077,0.00251810905874889,0.997481890941251,"OK"
1961,0.000116694917744462,0.044469362964257,0.0445860578820014,0.00261729615238242,0.997382703847618,"OK"
1962,0.000155821672669863,0.0416526790493346,0.0418085007220045,0.00372703325828308,0.996272966741717,"OK"
1963,0.000150772970375726,0.0373953460893286,0.0375461190597044,0.0040156739005694,0.995984326099431,"OK"
1964,0.000248422664913152,0.040498535907127,0.0407469585720401,0.00609671675185139,0.993903283248149,"OK"
1965,0.000352412603597299,0.0358711593137534,0.0362235719173507,0.00972881979726846,0.990271180202732,"OK"
1966,0.000410360251356109,0.0288815536866211,0.0292919139379773,0.0140093355533205,0.985990664446679,"OK"
1967,0.000488610970329718,0.0257620779665857,0.0262506889369154,0.0186132627415581,0.981386737258442,"OK"
1968,0.000632898332295546,0.0377906034409439,0.0384235017732395,0.0164716463385005,0.9835283536615,"OK"
1969,0.000693424112538953,0.029302349028159,0.029995773140698,0.023117394217058,0.976882605782942,"OK"
1970,0.000672549045948692,0.0226906405716139,0.0233631896175626,0.0287866963782686,0.971213303621731,"OK"
1971,0.000839562646737329,0.0227687060124921,0.0236082686592294,0.0355622285926974,0.964437771407303,"OK"
1972,0.000883361533925599,0.0182987894091251,0.0191821509430507,0.046051224210892,0.953948775789108,"OK"
1973,0.00122194331551292,0.0230984579230573,0.0243204012385702,0.0502435508167118,0.949756449183288,"OK"
1974,0.0013016342740731,0.0300043199098226,0.0313059541838957,0.0415778502206676,0.958422149779332,"OK"
1975,0.00127980576884949,0.0273547412157232,0.0286345469845727,0.0446944653791453,0.955305534620855,"OK"
1976,0.001385473917844,0.0205486766705509,0.0219341505883949,0.063165150264676,0.936834849735324,"OK"
1977,0.00149512791358717,0.0193203514408814,0.0208154793544686,0.0718276955397717,0.928172304460228,"OK"
1978,0.00201242044291856,0.0228764082216325,0.0248888286645511,0.080856374160542,0.919143625839458,"OK"
1979,0.00226212362946879,0.0306401193233096,0.0329022429527784,0.0687528699096718,0.931247130090328,"OK"
1980,0.00244416103871307,0.0374578332614216,0.0399019943001346,0.0612541072591157,0.938745892740884,"OK"
1981,0.00244078364490647,0.0477852774594178,0.0502260611043243,0.0485959597714965,0.951404040228503,"OK"
1982,0.00236150556728001,0.0481261552435144,0.0504876608107944,0.0467739152370298,0.95322608476297,"OK"
1983,0.00295932378819185,0.0350260184416913,0.0379853422298831,0.0779069929206469,0.922093007079353,"OK"
1984,0.00369955822687153,0.0447550832119786,0.0484546414388501,0.0763509566269392,0.923649043373061,"OK"
1985,0.00391020023943437,0.0564836022453753,0.0603938024848096,0.0647450579124881,0.935254942087512,"OK"
1986,0.00435767900914313,0.047314289297142,0.0516719683062852,0.0843335207072628,0.915666479292737,"OK"
1987,0.00446636725633281,0.0371809473497536,0.0416473146060864,0.107242622929645,0.892757377070355,"OK"
1988,0.0048036254591156,0.032156233226346,0.0369598586854616,0.129968718224703,0.870031281775297,"OK"
1989,0.00510448704458904,0.0347326133905254,0.0398371004351145,0.128134000437684,0.871865999562316,"OK"
1990,0.0042568154010458,0.0307353780170628,0.0349921934181086,0.121650430717009,0.878349569282991,"OK"
1991,0.00337052601005791,0.0171184706151787,0.0204889966252367,0.164504200557404,0.835495799442596,"OK"
1992,0.00323284998953992,0.0118025631184009,0.0150354131079408,0.215015707671678,0.784984292328322,"OK"
1993,0.00420531360360907,0.00433027401859224,0.00853558762220132,0.492680034432653,0.507319965567347,"OK"
1994,0.00485037847802218,0.00555771463019512,0.0104080931082173,0.466019896977358,0.533980103022642,"OK"
1995,0.00523086016007891,0.00265701996554478,0.0078878801256237,0.663151578975766,0.336848421024234,"OK"
1996,0.00622240994523335,0.00632495237241776,0.0125473623176511,0.49591378551968,0.50408621448032,"OK"
1997,0.00673852218553165,0.00898172239718362,0.0157202445827153,0.428652502833244,0.571347497166756,"OK"
1998,0.00968398342879433,0.00443549158922395,0.0141194750180183,0.685860020746969,0.314139979253031,"OK"
1999,0.0110503315547458,0.00178497626217357,0.0128353078169194,0.860932336985278,0.139067663014722,"OK"
2000,0.0108077162392389,-5.72698001244581e-05,0.0107504464391144,1.00532720203285,-0.00532720203284654,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2001,0.0101535124329515,-0.0025370389463008,0.00761647348665067,1.33309890079017,-0.333098900790169,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2002,0.0106871485679142,-0.0102945457036787,0.000392602864235493,27.2212699943621,-26.2212699943621,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2003,0.0104843711447038,-0.0124839663246877,-0.00199959517998385,-5.24324685799078,6.24324685799078,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2004,0.0119428262453543,-0.0132594518782147,-0.00131662563286037,-9.07078363605033,10.0707836360503,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2005,0.0128383376471111,-0.0136716976197697,-0.000833359972658609,-15.4055127055765,16.4055127055765,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2006,0.0136425844619239,-0.0129042525087544,0.000738331953169443,18.4775755720178,-17.4775755720178,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2007,0.0148275988727716,-0.011126661936432,0.00370093693633962,4.00644461870692,-3.00644461870692,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2008,0.00982121664479245,-0.012463193075667,-0.00264197643087458,-3.7173748145593,4.7173748145593,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2009,0.00235291529088363,-0.016124678379979,-0.0137717630890954,-0.170850694690406,1.17085069469041,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2010,0.00712807387753164,-0.0214102266838934,-0.0142821528063618,-0.499089596237658,1.49908959623766,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2011,0.00883823468361836,-0.0229537545046651,-0.0141155198210467,-0.626135969179133,1.62613596917913,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2012,0.011458547312626,-0.0223720490189415,-0.0109135017063154,-1.04994232107878,2.04994232107878,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2013,0.0139614482833043,-0.0235491787449396,-0.00958773046163526,-1.45617863780904,2.45617863780904,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2014,0.0167924259794539,-0.022432259459886,-0.00563983348043206,-2.97746840180953,3.97746840180953,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
