year,u_shaikh,u_2011_with_dummy,u_2011_no_dummy,u_1947_with_dummy,u_1947_no_dummy
1947,0.885106384754181,0.556330176645395,0.556330176645395,0.556330176645497,0.556330176645497
1948,0.923893213272095,0.577320826468552,0.577320826468552,0.577320826468657,0.577320826468657
1949,0.869800388813019,0.547164862562053,0.547164862562053,0.547164862562153,0.547164862562153
1950,0.879007756710052,0.557768337580085,0.557768337580085,0.557768337580185,0.557768337580185
1951,0.925842940807343,0.581441776703508,0.581441776703508,0.581441776703612,0.581441776703612
1952,0.910232961177826,0.571324148918246,0.571324148918246,0.571324148918348,0.571324148918348
1953,0.924771666526794,0.578412254841584,0.578412254841584,0.578412254841686,0.578412254841686
1954,0.8767209649086,0.550022059176003,0.550022059176003,0.550022059176101,0.550022059176101
1955,0.903114199638367,0.568071060847852,0.568071060847852,0.568071060847952,0.568071060847952
1956,0.86929577589035,0.60210898920645,0.551681803049738,0.602108989206532,0.551681803049834
1957,0.843951225280762,0.585315170042945,0.537535094757149,0.58531517004305,0.537535094757243
1958,0.798105180263519,0.545976608619149,0.510330304487113,0.545976608619241,0.510330304487202
1959,0.861047804355621,0.595647217849969,0.545761211036094,0.595647217850049,0.545761211036189
1960,0.880931198596954,0.60319922542959,0.553959250321402,0.603199225429698,0.553959250321498
1961,0.882777214050293,0.590591524229697,0.552032353821759,0.590591524229797,0.552032353821854
1962,0.939095973968506,0.633324559138263,0.580283040054859,0.633324559138349,0.580283040054961
1963,0.97143566608429,0.648934899212693,0.595961458702535,0.648934899212809,0.595961458702638
1964,1.00164115428925,0.653863987156447,0.611173816590142,0.653863987156556,0.611173816590247
1965,1.0422728061676,0.689057975710977,0.631348731310325,0.689057975711067,0.631348731310432
1966,1.06474781036377,0.698672785274611,0.641639173317981,0.698672785274733,0.64163917331809
1967,1.04273521900177,0.672573121947416,0.628661449400482,0.672573121947527,0.628661449400588
1968,1.05709373950958,0.694922025900131,0.636721661858647,0.694922025900221,0.636721661858754
1969,1.04945170879364,0.689184282326676,0.632925229801282,0.689184282326793,0.632925229801387
1970,0.984412431716919,0.640531197936327,0.598711512757063,0.64053119793643,0.598711512757162
1971,0.973544180393219,0.644950446035168,0.590935248143946,0.644950446035249,0.590935248144043
1972,1.00391101837158,0.659464321838848,0.605631350205045,0.659464321838962,0.605631350205146
