"cell_id","det_tag","unit_root_count","unstable_count","max_mod_all","max_mod_nonunit","stability_margin"
"p01_K_only_none_both","SR_none__LR_both",1,0,1.00000000000001,0.985219791591074,0.0147802084089261
"p01_K_short_none_both","SR_none__LR_both",1,0,0.999999999999998,0.984864311242431,0.0151356887575687
"p01_Y_only_none_both","SR_none__LR_both",1,0,0.999999999999999,0.986494923989545,0.0135050760104547
"p01_Y_short_none_both","SR_none__LR_both",1,0,0.999999999999998,0.984864311242431,0.0151356887575687
"p01_sym_none_both","SR_none__LR_both",1,0,0.999999999999998,0.984864311242431,0.0151356887575687
"p02_K_only_none_both","SR_none__LR_both",1,0,0.999999999999999,0.966158945311059,0.0338410546889414
"p02_K_short_none_both","SR_none__LR_both",1,0,0.999999999999999,0.966800418677235,0.0331995813227646
"p02_Y_only_none_both","SR_none__LR_both",1,0,1,0.967287311247404,0.0327126887525958
"p02_Y_short_none_both","SR_none__LR_both",1,0,0.999999999999999,0.966082890420988,0.0339171095790121
"p02_sym_none_both","SR_none__LR_both",1,0,1,0.966484512997548,0.0335154870024517
"p03_K_only_none_both","SR_none__LR_both",1,0,1.00000000000001,0.995928393966676,0.00407160603332368
"p03_K_short_none_both","SR_none__LR_both",1,0,0.999999999999999,0.995285379377362,0.00471462062263783
"p03_Y_only_none_both","SR_none__LR_both",1,0,1,0.99472855851529,0.00527144148471037
"p03_Y_short_none_both","SR_none__LR_both",1,0,0.999999999999999,0.996457474421621,0.00354252557837864
"p03_sym_none_both","SR_none__LR_both",1,0,1.00000000000001,0.996504190965947,0.00349580903405333
"p04_K_only_none_both","SR_none__LR_both",1,1,1.01504398017497,1.01504398017497,-0.0150439801749724
"p04_K_short_none_both","SR_none__LR_both",1,1,1.01558443789509,1.01558443789509,-0.0155844378950873
"p04_Y_only_none_both","SR_none__LR_both",1,1,1.01619628099857,1.01619628099857,-0.0161962809985718
"p04_Y_short_none_both","SR_none__LR_both",1,1,1.01696834270818,1.01696834270818,-0.0169683427081773
"p04_sym_none_both","SR_none__LR_both",1,1,1.01826010198255,1.01826010198255,-0.0182601019825477
"p05_K_only_none_both","SR_none__LR_both",1,1,1.013296413476,1.013296413476,-0.0132964134760005
"p05_K_short_none_both","SR_none__LR_both",1,1,1.0157167263,1.0157167263,-0.0157167262999962
"p05_Y_only_none_both","SR_none__LR_both",1,1,1.01576452036161,1.01576452036161,-0.0157645203616095
"p05_Y_short_none_both","SR_none__LR_both",1,1,1.0151934552758,1.0151934552758,-0.0151934552757955
"p05_sym_none_both","SR_none__LR_both",1,1,1.01571849257545,1.01571849257545,-0.0157184925754525
"p06_K_only_none_both","SR_none__LR_both",1,0,1,0.922970938695321,0.0770290613046795
"p06_K_short_none_both","SR_none__LR_both",1,0,0.999999999999998,0.993695538642615,0.00630446135738494
"p06_Y_only_none_both","SR_none__LR_both",1,0,0.999999999999959,0.995741145239057,0.00425885476094312
"p06_Y_short_none_both","SR_none__LR_both",1,0,0.999999999999995,0.976814581138719,0.0231854188612807
"p06_sym_none_both","SR_none__LR_both",1,0,0.999999999999988,0.985984212534691,0.0140157874653085
"p07_K_only_none_both","SR_none__LR_both",1,1,1.01010408717112,1.01010408717112,-0.0101040871711202
"p07_K_short_none_both","SR_none__LR_both",1,0,0.999999999999997,0.939795683664085,0.0602043163359148
"p07_Y_only_none_both","SR_none__LR_both",1,0,1.00000000000001,0.934071538384713,0.0659284616152871
"p07_Y_short_none_both","SR_none__LR_both",1,1,1.0022751707942,1.0022751707942,-0.00227517079420037
"p07_sym_none_both","SR_none__LR_both",1,0,1.00000000000002,0.983508518389967,0.0164914816100327
