p,r,PIC_hat,status,gate_ok,runtime_ok,comparable_p,PIC_obs,BIC_obs,window,ecdet
5,2,502.87822292096075,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,const
5,3,537.7593614028276,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,const
6,0,552.7690274565454,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,const
6,1,544.6791042831358,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,const
6,2,558.9826507445284,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,const
6,3,594.245636446831,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,const
7,0,608.798459549291,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,const
7,1,602.2041606181517,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,const
7,2,615.8061198653204,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,const
7,3,651.3201120854185,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,const
1,0,205.94399715996713,missing,TRUE,TRUE,TRUE,NA,NA,post_fordism,none
1,1,234.38142466623563,computed,TRUE,TRUE,TRUE,234.77974597421897,223.3862251814806,post_fordism,none
1,2,261.6358907777135,computed,TRUE,TRUE,TRUE,262.5840273397216,239.79698575424487,post_fordism,none
1,3,292.2872831167121,computed,TRUE,TRUE,TRUE,292.1054193215135,257.92485694329844,post_fordism,none
2,0,273.1280922250686,missing,TRUE,TRUE,TRUE,NA,NA,post_fordism,none
2,1,289.4118058563204,computed,TRUE,TRUE,TRUE,287.4793101406964,253.2987477624813,post_fordism,none
2,2,317.0731354045596,computed,TRUE,TRUE,TRUE,317.4746254745359,271.9005423035824,post_fordism,none
2,3,352.003069664273,computed,TRUE,TRUE,TRUE,352.5119168243999,295.54431286070803,post_fordism,none
3,0,340.7110643131935,missing,TRUE,TRUE,TRUE,NA,NA,post_fordism,none
