window,ecdet,p,r_best,PIC_best,BIC_best
fordism,none,1,1,-265.256593888887,-276.43007195798
full,const,1,1,-312.703464891717,-334.415192711605
full,const,2,1,-214.290042499325,-274.600397554569
full,const,3,1,-118.842106742685,-217.751089033286
full,const,4,1,-21.7521280251558,-159.259737551113
full,const,5,1,58.9138451917697,-117.192391569544
full,const,6,1,139.908527282237,-74.7963367144337
full,const,7,1,217.511980703256,-35.7915105287711
full,none,1,1,-331.780201766531,-351.07951538421
full,none,2,1,-234.152744812319,-292.050685665353
full,none,3,1,-137.808699773614,-234.305267862006
full,none,4,1,-38.776553337571,-173.871748661319
full,none,5,1,42.6030072516126,-131.090815307491
full,none,6,1,116.302787721813,-95.9896620726474
full,none,7,1,190.655003384158,-60.2360736456592
post_fordism,none,1,1,-250.155945055131,-261.54946584787
