"check_name","status","detail"
"S30A_feature_tip_ancestor","PASS","c0dc4e3c89ddc7f5eb23d7b8d996f1bd7939a581"
"S30A_namespace_present_codes/US_S30A","PASS","codes/US_S30A"
"S30A_namespace_present_output/US/S30A","PASS","output/US/S30A"
"S30B_feature_tip_ancestor","PASS","b475d69e0666655a5c7f59316bf02ec8089df3b7"
"S30B_namespace_present_codes/US_S30B","PASS","codes/US_S30B"
"S30B_namespace_present_output/US/S30B","PASS","output/US/S30B"
"S30C_feature_tip_ancestor","PASS","1085aa81796d62fae35fc00532021198f33da21a"
"S30C_namespace_present_codes/US_S30C","PASS","codes/US_S30C"
"S30C_namespace_present_output/US/S30C","PASS","output/US/S30C"
"S30D_feature_tip_ancestor","PASS","68cf4877e4662409f86c67ed6e6f9fd4f07cde90"
"S30D_namespace_present_codes/US_S30D","PASS","codes/US_S30D"
"S30D_namespace_present_output/US/S30D","PASS","output/US/S30D"
"automation_controller_branch_not_merged","PASS","controller HEAD not ancestor of origin/main"
"no_s31_outputs_created","PASS",""
