"variable_name","transformation_tested","sample_start","sample_end","observations_used","test_name","deterministic_specification","lag_bandwidth_rule","statistic","p_value","diagnostic_interpretation","D11_integration_class"
"G_TOT_GPIM_2017","level",1901,2024,124,"ADF/KPSS readiness","trend","base R readiness diagnostic; no final estimation",,,"NOT_TESTED_BOUNDARY_BLOCKED","NOT_TESTED_BOUNDARY_BLOCKED"
"K_capacity","level",1931,2024,94,"ADF","trend","zero augmentation lag readiness screen",2.28981156213528,,"Variable-level readiness class: POSSIBLE_I2_OR_HIGHER","POSSIBLE_I2_OR_HIGHER"
"K_capacity","first_difference",1932,2024,93,"ADF","trend","zero augmentation lag readiness screen",-1.87391545026643,,"Variable-level readiness class: POSSIBLE_I2_OR_HIGHER","POSSIBLE_I2_OR_HIGHER"
"K_capacity","level",1931,2024,94,"KPSS","trend","readiness screen statistic without fragile external dependencies",1.09672920274712,,"Variable-level readiness class: POSSIBLE_I2_OR_HIGHER","POSSIBLE_I2_OR_HIGHER"
"K_capacity","first_difference",1932,2024,93,"KPSS","trend","readiness screen statistic without fragile external dependencies",1.36092219975937,,"Variable-level readiness class: POSSIBLE_I2_OR_HIGHER","POSSIBLE_I2_OR_HIGHER"
"K_ME","level",1931,2024,94,"ADF","trend","zero augmentation lag readiness screen",6.72493438306338,,"Variable-level readiness class: POSSIBLE_I2_OR_HIGHER","POSSIBLE_I2_OR_HIGHER"
"K_ME","first_difference",1932,2024,93,"ADF","trend","zero augmentation lag readiness screen",-2.75832185088022,,"Variable-level readiness class: POSSIBLE_I2_OR_HIGHER","POSSIBLE_I2_OR_HIGHER"
"K_ME","level",1931,2024,94,"KPSS","trend","readiness screen statistic without fragile external dependencies",2.09174770646234,,"Variable-level readiness class: POSSIBLE_I2_OR_HIGHER","POSSIBLE_I2_OR_HIGHER"
"K_ME","first_difference",1932,2024,93,"KPSS","trend","readiness screen statistic without fragile external dependencies",1.22980339964808,,"Variable-level readiness class: POSSIBLE_I2_OR_HIGHER","POSSIBLE_I2_OR_HIGHER"
"K_NRC","level",1931,2024,94,"ADF","trend","zero augmentation lag readiness screen",5.55619358843583,,"Variable-level readiness class: POSSIBLE_I2_OR_HIGHER","POSSIBLE_I2_OR_HIGHER"
"K_NRC","first_difference",1932,2024,93,"ADF","trend","zero augmentation lag readiness screen",-1.41797916422429,,"Variable-level readiness class: POSSIBLE_I2_OR_HIGHER","POSSIBLE_I2_OR_HIGHER"
"K_NRC","level",1931,2024,94,"KPSS","trend","readiness screen statistic without fragile external dependencies",1.49834688309485,,"Variable-level readiness class: POSSIBLE_I2_OR_HIGHER","POSSIBLE_I2_OR_HIGHER"
