"discovered_file","extension","row_count","column_count","column_names","inferred_role","consumed_by_D11","non_consumption_reason"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_accounting_ladder.csv","csv",10,5,"ladder_step | object | status | baseline_regressor | notes","accounting_ladder","yes",""
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_blocked_parked_variable_ledger.csv","csv",9,4,"variable_id | status | baseline_regressor | notes","blocked_parked_ledger","yes",""
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_corporate_clean_layer_ledger.csv","csv",8,5,"variable_id | status | role | baseline_replacement | notes","corporate_clean_layer_ledger","yes",""
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_elasticity_recovery_protocol_ledger.csv","csv",3,3,"protocol_item | status | notes","elasticity_recovery_protocol_ledger","yes",""
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_exploitation_rate_ingredient_ledger.csv","csv",4,5,"variable_id | status | role | baseline_regressor | notes","exploitation_rate_ledger","yes",""
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_financial_imputed_interest_candidate_ledger.csv","csv",66,5,"variable_id | status | role | baseline_regressor | notes","financial_imputed_interest_ledger","yes",""
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_regression_menu_ledger.csv","csv",6,4,"menu_item | variable_id | authorization | notes","regression_menu_ledger","yes",""
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_tax_subsidy_transfer_ledger.csv","csv",30,6,"variable_id | status | role | gross_component_policy | baseline_regressor | notes","tax_subsidy_transfer_ledger","yes",""
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_us_source_of_truth_panel_long.csv","csv",6959,22,"year | variable_id | value | unit | family_id | contract_status | analytical_role | source_stage | source_commit | source_file | coverage_start | coverage_end | first_fully_supported_year | support_status | baseline_window_eligible | warmup_observation | authoritative_variable_id | provenance_id | reference_year | transformation | canonical_inclusion_status | baseline_or_robustness","long_panel","yes",""
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_us_source_of_truth_panel_wide.csv","csv",125,72,"year | CORP_NET_OPERATING_SURPLUS_SHARE_GVA | CORP_NET_OPERATING_SURPLUS_SHARE_NVA | CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_PROXY | CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_GVA | CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_NVA | CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY | CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_GVA | CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_NVA | DELTA_G_TOT | DLOG_G_TOT | DLOG_N_TOT | FIN_AFTER_TAX_IMPLIED | FIN_CFC_IMPLIED | FIN_COMP_IMPLIED | FIN_DIVIDENDS_NET_IMPLIED | FIN_GVA_IMPLIED | FIN_NET_INT_IMPLIED | FIN_NOS_IMPLIED | FIN_NOS_RESIDUAL_AFTER_MATCHED_FINANCIAL_CLAIMS | FIN_NOS_RESIDUAL_AFTER_NFC_FINANCIAL_CLAIMS | FIN_NVA_IMPLIED | FIN_PAT_IMPLIED | FIN_PBT_IMPLIED | FIN_PROFITS_IVA_CC_IMPLIED | FIN_TAX_IMPLIED | FIN_TRANSFERS_NET_IMPLIED | FIN_UNDISTRIBUTED_IMPLIED | G_TOT_GPIM_2017 | GROWTH_ARITH_G_TOT | GROWTH_ARITH_N_TOT | I_TOT_REAL_2017 | K_capacity | K_ME | K_NRC | L1_DLOG_G_TOT | L1_DLOG_N_TOT | L1_LOG_G_TOT | L1_LOG_N_TOT | LOG_G_TOT_GPIM_2017 | LOG_I_TOT_REAL_2017 | LOG_N_TOT_GPIM_2017 | N_TOT_GPIM_2017 | NFC_COMPENSATION_SHARE_GVA | NFC_COMPENSATION_SHARE_NVA | NFC_FINANCIAL_CLAIMS_BURDEN_NOS | NFC_FINANCIAL_CLAIMS_BURDEN_NVA | NFC_NET_INTEREST_MISC_PAYMENTS_PROXY | NFC_NET_OPERATING_SURPLUS_SHARE_GVA | NFC_NET_OPERATING_SURPLUS_SHARE_NVA | NFC_SURPLUS_AFTER_NET_INTEREST_PROXY | NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_GVA | NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_NVA | omega_CORP_raw_GVA | omega_CORP_raw_NVA | omega_NFC_productive_origin_GVA | pi_NFC_productive_origin_GVA | y_real_nfc_gva_baseline | Y_REAL_NFC_GVA_BASELINE | Y_REAL_NFC_GVA_BASELINE_D09 | y_real_nfc_gva_proxy_business_output | Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT | y_real_nfc_gva_proxy_gdp_implicit | Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT | y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance | Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE | y_real_nfc_gva_proxy_gdpbyind_va_manufacturing | Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING | y_real_nfc_gva_proxy_nonfarm_business_output | Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT | y_real_nfc_gva_proxy_nonfarm_business_output_bls | Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","wide_panel","yes",""
