"variable_name","total_rows","non_missing_observations","missing_observations","percent_missing","first_non_missing_year","last_non_missing_year","leading_missing_count","trailing_missing_count","internal_missing_count","longest_missing_run","D11_missingness_status"
"ACCUMULATED_Q",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"ADD_PROFITS_TO_NOS",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"ADJUSTED_SHAIKH_CORPORATE_GOS",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"ADJUSTED_SHAIKH_CORPORATE_GVA",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"ADJUSTED_SHAIKH_CORPORATE_NOS",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"all_BEA_fixed_assets",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"BUSINESS_WIDE_SHAIKH_OBJECTS",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"BUSINESS_WIDE_SHAIKH_RECONCILIATION",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__current_transfer_payments",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__current_transfer_receipts",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__dividends_paid",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__dividends_received",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__IPP__cfc_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__IPP__gross_investment_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__IPP__gross_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__IPP__net_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__IPP__net_stock_quantity_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__IPP__official_price_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__IPP__retirements",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__IPP__revaluation_holding_gains",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__ME__gross_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__ME__official_price_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__ME__retirements",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__ME__revaluation_holding_gains",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__NRC__gross_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__NRC__official_price_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__NRC__retirements",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__NRC__revaluation_holding_gains",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__TOTAL__cfc_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__TOTAL__gross_investment_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__TOTAL__gross_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__TOTAL__net_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__TOTAL__net_stock_quantity_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP__TOTAL__official_price_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP_GOS_SHAIKH_RECONCILIATION",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP_GVA_SHAIKH_RECONCILIATION",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
