"variable_id","window_id","window_type","start_year","end_year","n_expected","n_observed","coverage_percent","initial_year","initial_value","terminal_year","terminal_value","mean","median","standard_deviation","minimum","maximum","initial_to_terminal_change","mean_annual_change","annual_change_volatility","descriptive_eligible","testing_eligible","estimation_eligible"
"Y_REAL_NFC_GVA_BASELINE","global_available","global",1929,2025,97,97,100,1929,379518,2025,12229586,4089210.50515464,2854488,3544035.16785712,264338,12229586,3122.39946458402,3.82837031549877,5.46456691183996,"yes","not_decided","not_decided"
"Y_REAL_NFC_GVA_BASELINE","pre_1974","structural",1929,1973,45,45,100,1929,379518,1973,2529343,1048188.48888889,896303,652398.539989156,264338,2529343,566.461933294337,4.65828939189021,7.25131991024427,"yes","not_decided","not_decided"
"Y_REAL_NFC_GVA_BASELINE","post_1974","structural",1974,2025,52,52,100,1974,2491175,2025,12229586,6720864.17307692,7083937,2838003.34498638,2456693,12229586,390.916374803055,3.12613109701369,3.19276814959585,"yes","not_decided","not_decided"
"Y_REAL_NFC_GVA_BASELINE","pre_fordist","nested",1929,1946,18,18,100,1929,379518,1946,658573,459824.666666667,392606,162809.86453204,264338,732875,73.5287917832619,3.82014189353666,10.646685587975,"yes","not_decided","not_decided"
"Y_REAL_NFC_GVA_BASELINE","fordist_core_1947_1973","nested",1947,1973,27,27,100,1947,703904,1973,2529343,1440431.03703704,1285478,550931.732344572,703904,2529343,259.330675773969,5.18601189085356,4.05689491881811,"yes","not_decided","not_decided"
"Y_REAL_NFC_GVA_BASELINE","extended_fordist_bridge_1940_1978","bridge",1940,1978,39,39,100,1940,474124,1978,3038745,1458313.53846154,1243327,735934.136926055,474124,3038745,540.917776784132,5.34521245901079,5.5266986610351,"yes","not_decided","not_decided"
"Y_REAL_NFC_GVA_BASELINE","post_fordist_pre_gfc_1974_2008","structural",1974,2008,35,35,100,1974,2491175,2008,8373691,5182438.25714286,4719096,1941693.21528213,2456693,8463493,236.134193703774,3.52157693476365,2.98554544846782,"yes","not_decided","not_decided"
"Y_REAL_NFC_GVA_BASELINE","mature_post_volcker_pre_gfc_1983_2008","nested",1983,2008,26,26,100,1983,3415215,2008,8373691,5964982.69230769,5771773,1618027.63280171,3415215,8463493,145.187813944364,3.73556037680065,2.66397477941697,"yes","not_decided","not_decided"
"Y_REAL_NFC_GVA_BASELINE","post_gfc_2009_2025","structural",2009,2025,17,17,100,2009,7780498,2025,12229586,9888211.64705882,9771449,1350916.70362179,7780498,12229586,57.1825608078043,2.31197790164614,3.53626068804093,"yes","not_decided","not_decided"
"Y_REAL_NFC_GVA_BASELINE","post_gfc_pre_covid_2009_2019","nested",2009,2019,11,11,100,2009,7780498,2019,10406488,9107279.54545454,9155687,841278.143446549,7780498,10406488,33.7509244266884,2.04265872127973,3.17659528346294,"yes","not_decided","not_decided"
"Y_REAL_NFC_GVA_BASELINE","post_covid_configuration_2022_2025","nested",2022,2025,4,4,100,2022,11350816,2025,12229586,11748735,11707269,383951.832064041,11350816,12229586,7.74191036133438,2.81550316221673,0.815147592494897,"yes","not_decided","not_decided"
"G_TOT_GPIM_2017","global_available","global",1901,2024,124,124,100,1901,1723395.05606458,2024,19322142.6372907,39121139.1662176,32842422.9217331,20561786.6753264,1723395.05606458,92415645.8562277,1021.16734751539,2.60891764772059,13.8141910654838,"yes","not_decided","not_decided"
"G_TOT_GPIM_2017","pre_1974","structural",1901,1973,73,73,100,1901,1723395.05606458,1973,33362366.6908302,47477921.7439046,44282943.5286081,23165349.2574237,1723395.05606458,92415645.8562277,1835.85136347171,5.20993835638689,17.6369594549253,"yes","not_decided","not_decided"
"G_TOT_GPIM_2017","post_1974","structural",1974,2025,52,51,98.0769230769231,1974,33562535.6582078,2024,19322142.6372907,27159469.9863911,27249645.8985711,4404615.7908776,19322142.6372907,33562535.6582078,-42.4294313336084,-1.06311158804359,0.652483050005419,"yes","not_decided","not_decided"
"G_TOT_GPIM_2017","pre_fordist","nested",1901,1946,46,46,100,1901,1723395.05606458,1946,54803605.1976679,52216002.4985006,57353504.1407111,27604497.9980565,1723395.05606458,92415645.8562277,3079.97925111921,9.41734890513943,21.245569139164,"yes","not_decided","not_decided"
"G_TOT_GPIM_2017","fordist_core_1947_1973","nested",1947,1973,27,27,100,1947,53963272.1874296,1973,33362366.6908302,39405636.0138522,34953558.2796876,7734015.69666739,32332790.5644253,53963272.1874296,-38.1757900541069,-1.80241255820067,1.96786177090095,"yes","not_decided","not_decided"
"G_TOT_GPIM_2017","extended_fordist_bridge_1940_1978","bridge",1940,1978,39,39,100,1940,67267611.8466106,1978,33045743.3298366,42393824.8175911,36940245.1743644,11023637.6895451,32332790.5644253,67267611.8466106,-50.8742135737027,-1.87379240210929,1.8907379500472,"yes","not_decided","not_decided"
"G_TOT_GPIM_2017","post_fordist_pre_gfc_1974_2008","structural",1974,2008,35,35,100,1974,33562535.6582078,2008,25313159.6636956,29589638.8182199,29510485.3749062,2810831.62186997,25313159.6636956,33562535.6582078,-24.5791202384758,-0.784414936306769,0.525431701064519,"yes","not_decided","not_decided"
"G_TOT_GPIM_2017","mature_post_volcker_pre_gfc_1983_2008","nested",1983,2008,26,26,100,1983,32196061.8743313,2008,25313159.6636956,28379246.4992237,27840731.580782,2187688.9356295,25313159.6636956,32196061.8743313,-21.3780872875113,-0.965003004116467,0.443317776965671,"yes","not_decided","not_decided"
"G_TOT_GPIM_2017","post_gfc_2009_2025","structural",2009,2025,17,16,94.1176470588235,2009,24796841.8217936,2024,19322142.6372907,21843475.6667656,21730196.9428265,1684215.6324514,19322142.6372907,24796841.8217936,-22.0782115071253,-1.67276051371789,0.464383148735222,"yes","not_decided","not_decided"
"G_TOT_GPIM_2017","post_gfc_pre_covid_2009_2019","nested",2009,2019,11,11,100,2009,24796841.8217936,2019,21152932.5245726,22715988.1504129,22614591.3826692,1202837.22394935,21152932.5245726,24796841.8217936,-14.6950540048952,-1.61810046366114,0.437964879738595,"yes","not_decided","not_decided"
"G_TOT_GPIM_2017","post_covid_configuration_2022_2025","nested",2022,2025,4,3,75,2022,19808110.3079466,2024,19322142.6372907,19551539.3723134,19524365.171703,244120.814587352,19322142.6372907,19808110.3079466,-2.45337724346647,-1.52328310458366,0.538717152094242,"yes","not_decided","not_decided"
"KAPPA_ME_NRC","global_available","global",1901,2024,124,124,100,1901,0.310006277179763,2024,0.774102230904879,0.363975537654708,0.342335833615189,0.143228405267035,0.155167895593651,0.774102230904879,0.464095953725116,0.00377313783516354,0.0120574538619128,"yes","not_decided","not_decided"
"KAPPA_ME_NRC","pre_1974","structural",1901,1973,73,73,100,1901,0.310006277179763,1973,0.338177298907737,0.285766974539853,0.288787772516423,0.0770353775468538,0.155167895593651,0.451950320489925,0.0281710217279733,0.000391264190666295,0.0133676803245929,"yes","not_decided","not_decided"
"KAPPA_ME_NRC","post_1974","structural",1974,2025,52,51,98.0769230769231,1974,0.341928754921373,2024,0.774102230904879,0.475921127995578,0.402686915420834,0.142151681926814,0.341928754921373,0.774102230904879,0.432173475983506,0.00854754768621848,0.00782723180172876,"yes","not_decided","not_decided"
"KAPPA_ME_NRC","pre_fordist","nested",1901,1946,46,46,100,1901,0.310006277179763,1946,0.156041049998508,0.297956266253945,0.288691731616225,0.0847231596716984,0.155167895593651,0.451950320489925,-0.153965227181255,-0.00342144949291678,0.0152524373789487,"yes","not_decided","not_decided"
"KAPPA_ME_NRC","fordist_core_1947_1973","nested",1947,1973,27,27,100,1947,0.165365860146937,1973,0.338177298907737,0.26500003310103,0.295121969478759,0.0574425906089182,0.165365860146937,0.338177298907737,0.1728114387608,0.00674578699663808,0.00521425850467616,"yes","not_decided","not_decided"
"KAPPA_ME_NRC","extended_fordist_bridge_1940_1978","bridge",1940,1978,39,39,100,1940,0.188081707948817,1978,0.360834857210952,0.258484652431914,0.277832633280841,0.0698743725542287,0.155167895593651,0.360834857210952,0.172753149262135,0.0041581128924469,0.00676323042966031,"yes","not_decided","not_decided"
"KAPPA_ME_NRC","post_fordist_pre_gfc_1974_2008","structural",1974,2008,35,35,100,1974,0.341928754921373,2008,0.539691338855596,0.390725100725275,0.361713459340709,0.0572036252306575,0.341928754921373,0.539691338855596,0.197762583934223,0.00575754399851025,0.00737017767094863,"yes","not_decided","not_decided"
"KAPPA_ME_NRC","mature_post_volcker_pre_gfc_1983_2008","nested",1983,2008,26,26,100,1983,0.361505701166445,2008,0.539691338855596,0.40250600942273,0.362063508823293,0.0620569267313679,0.348832560157297,0.539691338855596,0.178185637689151,0.0067919314294402,0.0080205885249748,"yes","not_decided","not_decided"
"KAPPA_ME_NRC","post_gfc_2009_2025","structural",2009,2025,17,16,94.1176470588235,2009,0.543667142019443,2024,0.774102230904879,0.662287437649365,0.664766099966354,0.0771739348964778,0.543667142019443,0.774102230904879,0.230435088885437,0.0146506807530802,0.00481662599291781,"yes","not_decided","not_decided"
"KAPPA_ME_NRC","post_gfc_pre_covid_2009_2019","nested",2009,2019,11,11,100,2009,0.543667142019443,2019,0.714823937898673,0.622858837882053,0.617129887556277,0.0576202412658853,0.543667142019443,0.714823937898673,0.171156795879231,0.0159211453675525,0.00503203216581063,"yes","not_decided","not_decided"
"KAPPA_ME_NRC","post_covid_configuration_2022_2025","nested",2022,2025,4,3,75,2022,0.749644389605692,2024,0.774102230904879,0.760620324133572,0.758114351890145,0.0124200009226117,0.749644389605692,0.774102230904879,0.024457841299187,0.0118198483196927,0.0038251520890197,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_GVA","global_available","global",1929,2025,97,97,100,1929,62.4785607415246,2025,55.3057731097018,61.9303314914167,62.7513553497346,2.79403350285103,55.3057731097018,68.242345931589,-7.17278763182281,-0.0747165378314876,1.16464092310808,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_GVA","pre_1974","structural",1929,1973,45,45,100,1929,62.4785607415246,1973,64.1378772213877,63.132469743674,63.0053039748114,1.68960936128945,59.4639411049961,68.242345931589,1.65931647986309,0.0377117381787067,1.35521369730147,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_GVA","post_1974","structural",1974,2025,52,52,100,1974,64.8983395516306,2025,55.3057731097018,60.8900195423479,62.0225584964877,3.13899395416671,55.3057731097018,64.8983395516306,-9.59256644192881,-0.16984815599396,0.978756313896468,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_GVA","pre_fordist","nested",1929,1946,18,18,100,1929,62.4785607415246,1946,66.0202066025877,63.2978298449783,62.9130997485997,2.39569494844041,59.4639411049961,68.242345931589,3.5416458610631,0.2083321094743,1.81817012097454,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_GVA","fordist_core_1947_1973","nested",1947,1973,27,27,100,1947,64.4188764185941,1973,64.1378772213877,63.0222296761377,63.0758818009814,1.0232108056072,60.8547071813662,65.0208208427336,-0.2809991972064,-0.0697159030074078,0.985970949645362,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_GVA","extended_fordist_bridge_1940_1978","bridge",1940,1978,39,39,100,1940,60.7263654006099,1978,62.883238917044,62.8826888790041,62.8060723321923,1.31335935593893,59.4639411049961,66.0202066025877,2.1568735164341,-0.00312987327608706,1.11815443514379,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_GVA","post_fordist_pre_gfc_1974_2008","structural",1974,2008,35,35,100,1974,64.8983395516306,2008,60.9256031850876,62.8173044991258,62.9740616676098,1.57908657575858,58.3017283165839,64.8983395516306,-3.97273636654301,-0.0917792581800029,0.954250776930055,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_GVA","mature_post_volcker_pre_gfc_1983_2008","nested",1983,2008,26,26,100,1983,62.2788790924917,2008,60.9256031850876,62.5877555390462,62.9473695205535,1.71137137916702,58.3017283165839,64.7118229424371,-1.35327590740411,-0.0862972116462349,0.933078555952815,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_GVA","post_gfc_2009_2025","structural",2009,2025,17,17,100,2009,58.9391374581907,2025,55.3057731097018,56.9220799254521,57.0493812651767,1.12014864731869,55.3057731097018,59.2623908718225,-3.63336434848891,-0.330578239728577,1.03813078466981,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_GVA","post_gfc_pre_covid_2009_2019","nested",2009,2019,11,11,100,2009,58.9391374581907,2019,57.6378084153845,57.2104344538148,57.1490813431576,0.751274460922782,56.2206465288649,58.9391374581907,-1.30132904280621,-0.298890433609373,0.895973682038015,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_GVA","post_covid_configuration_2022_2025","nested",2022,2025,4,4,100,2022,55.5000855599031,2025,55.3057731097018,55.5122019009309,55.5333089584934,0.155646940094077,55.3057731097018,55.676416577035,-0.194312450201306,-0.435902038868727,0.773335013851529,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_NVA","global_available","global",1929,2025,97,97,100,1929,69.0669248456977,2025,65.3234005539838,70.2085525928876,70.2244229155156,2.95583367396081,64.6222677913967,80.491935142458,-3.7435242917139,-0.0389950447053531,1.6979358273397,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_NVA","pre_1974","structural",1929,1973,45,45,100,1929,69.0669248456977,1973,71.260369425164,69.7430687486619,69.3883599023962,3.01369017557543,64.6222677913967,80.491935142458,2.19344457946631,0.0498510131696888,2.05809527913396,"yes","not_decided","not_decided"
