"variable_id","label","window_id","initial_year","terminal_year","n_observed","coverage_percent","initial_value","terminal_value","mean","initial_to_terminal_change","mean_annual_change","annual_change_volatility"
"Y_REAL_NFC_GVA_BASELINE","Real gross value added of nonfinancial corporate business","fordist_core_1947_1973",1947,1973,27,100,703904,2529343,1440431.03703704,259.330675773969,5.18601189085356,4.05689491881811
"G_TOT_GPIM_2017","Aggregate gross productive-capital stock","fordist_core_1947_1973",1947,1973,27,100,53963272.1874296,33362366.6908302,39405636.0138522,-38.1757900541069,-1.80241255820067,1.96786177090095
"KAPPA_ME_NRC","Machinery-to-nonresidential-structures capital-composition ratio","fordist_core_1947_1973",1947,1973,27,100,0.165365860146937,0.338177298907737,0.26500003310103,0.1728114387608,0.00674578699663808,0.00521425850467616
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","fordist_core_1947_1973",1947,1973,27,100,64.4188764185941,64.1378772213877,63.0222296761377,-0.2809991972064,-0.0697159030074078,0.985970949645362
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","fordist_core_1947_1973",1947,1973,27,100,69.7800470660199,71.260369425164,69.3038526588766,1.4803223591441,-0.00592135442588873,1.22985254948469
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","fordist_core_1947_1973",1947,1973,27,100,64.4483720777999,64.395880536602,63.1877350560233,-0.0524915411978966,-0.0720602386878926,1.06001141094829
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","fordist_core_1947_1973",1947,1973,27,100,69.8656140506497,71.6852624598571,69.6250046984289,1.8196484092074,-0.00685187424733697,1.32946483543878
"Y_REAL_NFC_GVA_BASELINE","Real gross value added of nonfinancial corporate business","post_fordist_pre_gfc_1974_2008",1974,2008,35,100,2491175,8373691,5182438.25714286,236.134193703774,3.52157693476365,2.98554544846782
"G_TOT_GPIM_2017","Aggregate gross productive-capital stock","post_fordist_pre_gfc_1974_2008",1974,2008,35,100,33562535.6582078,25313159.6636956,29589638.8182199,-24.5791202384758,-0.784414936306769,0.525431701064519
"KAPPA_ME_NRC","Machinery-to-nonresidential-structures capital-composition ratio","post_fordist_pre_gfc_1974_2008",1974,2008,35,100,0.341928754921373,0.539691338855596,0.390725100725275,0.197762583934223,0.00575754399851025,0.00737017767094863
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","post_fordist_pre_gfc_1974_2008",1974,2008,35,100,64.8983395516306,60.9256031850876,62.8173044991258,-3.97273636654301,-0.0917792581800029,0.954250776930055
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","post_fordist_pre_gfc_1974_2008",1974,2008,35,100,72.7528199622199,72.1000308375001,72.2473678159965,-0.652789124719799,0.0239903260667454,1.24995612214667
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","post_fordist_pre_gfc_1974_2008",1974,2008,35,100,65.4104621464026,59.5584591788177,63.1645166665023,-5.8520029675849,-0.138212038793837,0.939773318673357
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","post_fordist_pre_gfc_1974_2008",1974,2008,35,100,73.5028213403804,70.1768770402349,72.5959291718139,-3.3259443001455,-0.0430967262749201,1.20499189434914
"Y_REAL_NFC_GVA_BASELINE","Real gross value added of nonfinancial corporate business","mature_post_volcker_pre_gfc_1983_2008",1983,2008,26,100,3415215,8373691,5964982.69230769,145.187813944364,3.73556037680065,2.66397477941697
"G_TOT_GPIM_2017","Aggregate gross productive-capital stock","mature_post_volcker_pre_gfc_1983_2008",1983,2008,26,100,32196061.8743313,25313159.6636956,28379246.4992237,-21.3780872875113,-0.965003004116467,0.443317776965671
"KAPPA_ME_NRC","Machinery-to-nonresidential-structures capital-composition ratio","mature_post_volcker_pre_gfc_1983_2008",1983,2008,26,100,0.361505701166445,0.539691338855596,0.40250600942273,0.178185637689151,0.0067919314294402,0.0080205885249748
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","mature_post_volcker_pre_gfc_1983_2008",1983,2008,26,100,62.2788790924917,60.9256031850876,62.5877555390462,-1.35327590740411,-0.0862972116462349,0.933078555952815
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","mature_post_volcker_pre_gfc_1983_2008",1983,2008,26,100,71.7160912509316,72.1000308375001,72.3122390677279,0.383939586568494,-0.0357181219960888,1.26690972957404
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","mature_post_volcker_pre_gfc_1983_2008",1983,2008,26,100,62.949324210345,59.5584591788177,62.8587646952669,-3.3908650315273,-0.162843154971615,0.875344492051571
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","mature_post_volcker_pre_gfc_1983_2008",1983,2008,26,100,72.6266395473609,70.1768770402349,72.5063214188029,-2.44976250712601,-0.143521455793177,1.15878699438073
"Y_REAL_NFC_GVA_BASELINE","Real gross value added of nonfinancial corporate business","post_gfc_2009_2025",2009,2025,17,100,7780498,12229586,9888211.64705882,57.1825608078043,2.31197790164614,3.53626068804093
"G_TOT_GPIM_2017","Aggregate gross productive-capital stock","post_gfc_2009_2025",2009,2024,16,94.1176470588235,24796841.8217936,19322142.6372907,21843475.6667656,-22.0782115071253,-1.67276051371789,0.464383148735222
"KAPPA_ME_NRC","Machinery-to-nonresidential-structures capital-composition ratio","post_gfc_2009_2025",2009,2024,16,94.1176470588235,0.543667142019443,0.774102230904879,0.662287437649365,0.230435088885437,0.0146506807530802,0.00481662599291781
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","post_gfc_2009_2025",2009,2025,17,100,58.9391374581907,55.3057731097018,56.9220799254521,-3.63336434848891,-0.330578239728577,1.03813078466981
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","post_gfc_2009_2025",2009,2025,17,100,70.3035913574027,65.3234005539838,67.243154956496,-4.98019080341889,-0.398625310795076,1.49875040167686
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","post_gfc_2009_2025",2009,2025,17,100,59.3114751011546,56.6460048121974,57.6879775299265,-2.66547028895719,-0.171320845095312,1.03741778913148
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","post_gfc_2009_2025",2009,2025,17,100,70.7306220721321,67.0141530940562,68.2007125614215,-3.7164689780759,-0.186042585069335,1.61309832307148
"Y_REAL_NFC_GVA_BASELINE","Real gross value added of nonfinancial corporate business","post_gfc_pre_covid_2009_2019",2009,2019,11,100,7780498,10406488,9107279.54545454,33.7509244266884,2.04265872127973,3.17659528346294
"G_TOT_GPIM_2017","Aggregate gross productive-capital stock","post_gfc_pre_covid_2009_2019",2009,2019,11,100,24796841.8217936,21152932.5245726,22715988.1504129,-14.6950540048952,-1.61810046366114,0.437964879738595
"KAPPA_ME_NRC","Machinery-to-nonresidential-structures capital-composition ratio","post_gfc_pre_covid_2009_2019",2009,2019,11,100,0.543667142019443,0.714823937898673,0.622858837882053,0.171156795879231,0.0159211453675525,0.00503203216581063
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","post_gfc_pre_covid_2009_2019",2009,2019,11,100,58.9391374581907,57.6378084153845,57.2104344538148,-1.30132904280621,-0.298890433609373,0.895973682038015
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","post_gfc_pre_covid_2009_2019",2009,2019,11,100,70.3035913574027,68.0816226842485,67.5907024866573,-2.2219686731542,-0.365309832113781,1.12590127395457
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","post_gfc_pre_covid_2009_2019",2009,2019,11,100,59.3114751011546,58.7441985101222,57.7827926637259,-0.567276591032395,-0.0740236971541363,0.767312487466337
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","post_gfc_pre_covid_2009_2019",2009,2019,11,100,70.7306220721321,69.4491783136635,68.3095861352775,-1.2814437584686,-0.0661544296883093,1.11157943606146
"Y_REAL_NFC_GVA_BASELINE","Real gross value added of nonfinancial corporate business","post_covid_configuration_2022_2025",2022,2025,4,100,11350816,12229586,11748735,7.74191036133438,2.81550316221673,0.815147592494897
"G_TOT_GPIM_2017","Aggregate gross productive-capital stock","post_covid_configuration_2022_2025",2022,2024,3,75,19808110.3079466,19322142.6372907,19551539.3723134,-2.45337724346647,-1.52328310458366,0.538717152094242
"KAPPA_ME_NRC","Machinery-to-nonresidential-structures capital-composition ratio","post_covid_configuration_2022_2025",2022,2024,3,75,0.749644389605692,0.774102230904879,0.760620324133572,0.024457841299187,0.0118198483196927,0.0038251520890197
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","post_covid_configuration_2022_2025",2022,2025,4,100,55.5000855599031,55.3057731097018,55.5122019009309,-0.194312450201306,-0.435902038868727,0.773335013851529
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","post_covid_configuration_2022_2025",2022,2025,4,100,65.2416826598795,65.3234005539838,65.4383901430542,0.0817178941043051,-0.444726899570375,0.982955981121743
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","post_covid_configuration_2022_2025",2022,2025,4,100,56.475673366441,56.6460048121974,56.6571642014022,0.1703314457564,-0.331360971220523,0.81342994993494
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","post_covid_configuration_2022_2025",2022,2025,4,100,66.4051990819018,67.0141530940562,66.8430633937072,0.608954012154395,-0.304443528661377,1.05376018931712
