"variable_id","label","window_id","initial_year","terminal_year","n_observed","initial_value","terminal_value","initial_to_terminal_change","mean_annual_change","testing_eligible","estimation_eligible"
"Y_REAL_NFC_GVA_BASELINE","Real gross value added of nonfinancial corporate business","fordist_aftermath_1974_1978",1974,1978,5,2491175,3038745,21.9803907794515,3.82966611240892,"no","no"
"G_TOT_GPIM_2017","Aggregate gross productive-capital stock","fordist_aftermath_1974_1978",1974,1978,5,33562535.6582078,33045743.3298366,-1.53978928658454,-0.189563621949955,"no","no"
"KAPPA_ME_NRC","Machinery-to-nonresidential-structures capital-composition ratio","fordist_aftermath_1974_1978",1974,1978,5,0.341928754921373,0.360834857210952,0.0189061022895793,0.00453151166064312,"no","no"
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","fordist_aftermath_1974_1978",1974,1978,5,64.8983395516306,62.883238917044,-2.0151006345866,-0.250927660868738,"no","no"
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","fordist_aftermath_1974_1978",1974,1978,5,72.7528199622199,70.9111952895687,-1.8416246726512,-0.0698348271190619,"no","no"
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","fordist_aftermath_1974_1978",1974,1978,5,65.4104621464026,63.6152526475711,-1.79520949883151,-0.156125577806181,"no","no"
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","fordist_aftermath_1974_1978",1974,1978,5,73.5028213403804,71.8940975698119,-1.6087237705685,0.0417670219909594,"no","no"
"Y_REAL_NFC_GVA_BASELINE","Real gross value added of nonfinancial corporate business","volcker_transition_1979_1982",1979,1982,4,3118975,3253862,4.32472206413965,1.7455730894665,"no","no"
"G_TOT_GPIM_2017","Aggregate gross productive-capital stock","volcker_transition_1979_1982",1979,1982,4,32992478.6888798,32579850.4329869,-1.25067370591946,-0.354156638489747,"no","no"
"KAPPA_ME_NRC","Machinery-to-nonresidential-structures capital-composition ratio","volcker_transition_1979_1982",1979,1982,4,0.367863351591755,0.36310112169015,-0.00476222990160502,0.00056656611979955,"no","no"
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","volcker_transition_1979_1982",1979,1982,4,64.207996266832,63.1693306878897,-1.0386655789423,0.0715229427114245,"no","no"
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","volcker_transition_1979_1982",1979,1982,4,72.7327167283489,73.0287020093984,0.295985281049505,0.529376679957427,"no","no"
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","volcker_transition_1979_1982",1979,1982,4,64.9784944902043,63.7923812080797,-1.1861132821246,0.0442821401271498,"no","no"
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","volcker_transition_1979_1982",1979,1982,4,73.7470282858668,73.9084348908575,0.161406604990699,0.5035843302614,"no","no"
"Y_REAL_NFC_GVA_BASELINE","Real gross value added of nonfinancial corporate business","gfc_transition_2008_2009",2008,2009,2,8373691,7780498,-7.08400871252594,-4.07252999148238,"no","no"
"G_TOT_GPIM_2017","Aggregate gross productive-capital stock","gfc_transition_2008_2009",2008,2009,2,25313159.6636956,24796841.8217936,-2.03972103349274,-1.32436044538519,"no","no"
"KAPPA_ME_NRC","Machinery-to-nonresidential-structures capital-composition ratio","gfc_transition_2008_2009",2008,2009,2,0.539691338855596,0.543667142019443,0.00397580316384705,0.00761707618802177,"no","no"
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","gfc_transition_2008_2009",2008,2009,2,60.9256031850876,58.9391374581907,-1.98646572689689,-0.376046569264549,"no","no"
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","gfc_transition_2008_2009",2008,2009,2,72.1000308375001,70.3035913574027,-1.7964394800974,0.244386395750545,"no","no"
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","gfc_transition_2008_2009",2008,2009,2,59.5584591788177,59.3114751011546,-0.246984077663104,-0.0182544082143521,"no","no"
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","gfc_transition_2008_2009",2008,2009,2,70.1768770402349,70.7306220721321,0.553745031897201,0.687385485821501,"no","no"
"Y_REAL_NFC_GVA_BASELINE","Real gross value added of nonfinancial corporate business","covid_transition_2020_2021",2020,2021,2,9979518,10945065,9.67528692267503,2.78618287252023,"no","no"
"G_TOT_GPIM_2017","Aggregate gross productive-capital stock","covid_transition_2020_2021",2020,2021,2,20731781.5349533,20233341.3618141,-2.40423222817991,-2.19760690273135,"no","no"
"KAPPA_ME_NRC","Machinery-to-nonresidential-structures capital-composition ratio","covid_transition_2020_2021",2020,2021,2,0.724648127340749,0.738642685945801,0.0139945586050525,0.0119093740235641,"no","no"
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","covid_transition_2020_2021",2020,2021,2,59.2623908718225,57.0493812651767,-2.2130096066458,-0.294213575103897,"no","no"
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","covid_transition_2020_2021",2020,2021,2,70.7800381827205,67.1023081522653,-3.6777300304552,-0.4896572659916,"no","no"
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","covid_transition_2020_2021",2020,2021,2,60.484793205077,57.9714486970795,-2.51334450799751,-0.386374906521353,"no","no"
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","covid_transition_2020_2021",2020,2021,2,72.4024852725833,68.2319272087017,-4.17055806388159,-0.608625552480896,"no","no"
