"event_id","year","Y_REAL_NFC_GVA_BASELINE","G_TOT_GPIM_2017","KAPPA_ME_NRC","CORP_COMPENSATION_SHARE_GVA","CORP_COMPENSATION_SHARE_NVA","NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_NVA"
"volcker_event_profile_1978_1983",1978,3038745,33045743.3298366,0.360834857210952,62.883238917044,70.9111952895687,63.6152526475711,71.8940975698119
"volcker_event_profile_1978_1983",1979,3118975,32992478.6888798,0.367863351591755,64.207996266832,72.7327167283489,64.9784944902043,73.7470282858668
"volcker_event_profile_1978_1983",1980,3140096,32879117.9997239,0.368289887405334,64.7330415459289,73.9453919464159,65.4602937898175,74.9229282958739
"volcker_event_profile_1978_1983",1981,3283888,32798010.6469479,0.366174881702309,63.0741087162103,72.2121579647981,63.7119794842787,73.0681039472866
"volcker_event_profile_1978_1983",1982,3253862,32579850.4329869,0.36310112169015,63.1693306878897,73.0287020093984,63.7923812080797,73.9084348908575
"volcker_event_profile_1978_1983",1983,3415215,32196061.8743313,0.361505701166445,62.2788790924917,71.7160912509316,62.949324210345,72.6266395473609
"gfc_event_profile_2007_2010",2007,8463493,25468261.3389006,0.528432989643399,59.6912305967198,69.8148185659016,59.3479839175833,69.3558511004891
"gfc_event_profile_2007_2010",2008,8373691,25313159.6636956,0.539691338855596,60.9256031850876,72.1000308375001,59.5584591788177,70.1768770402349
"gfc_event_profile_2007_2010",2009,7780498,24796841.8217936,0.543667142019443,58.9391374581907,70.3035913574027,59.3114751011546,70.7306220721321
"gfc_event_profile_2007_2010",2010,8118731,24236707.7221194,0.555166583605172,57.068891168038,67.4787885295419,57.177005128177,67.5990132542249
"covid_event_profile_2019_2022",2019,10406488,21152932.5245726,0.714823937898673,57.6378084153845,68.0816226842485,58.7441985101222,69.4491783136635
"covid_event_profile_2019_2022",2020,9979518,20731781.5349533,0.724648127340749,59.2623908718225,70.7800381827205,60.484793205077,72.4024852725833
"covid_event_profile_2019_2022",2021,10945065,20233341.3618141,0.738642685945801,57.0493812651767,67.1023081522653,57.9714486970795,68.2319272087017
"covid_event_profile_2019_2022",2022,11350816,19808110.3079466,0.749644389605692,55.5000855599031,65.2416826598795,56.475673366441,66.4051990819018
