"run_id","timestamp","message"
1,"2026-03-03 18:34:00","Stage S1 run: SR=none LR=both (P=1..7)"
2,"2026-03-04 10:21:10","Stage S1 run: SR=none LR=both (P=1..7)"
3,"2026-03-04 13:05:53","Stage S1 run: SR=none LR=both (P=1..7)"
