"check_id","status","detail"
"s30e_completion_record_present","PASS","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_completion_record.csv"
"s30e_release_authorization_present","PASS","AUTHORIZE_S30F_DATASET_RELEASE_FREEZE S30E_INTEGRATED_DATASET_CLOSED_AND_VALIDATED PASS 30/30"
"s30e_canonical_long_present","PASS","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_canonical_long.csv"
"s30e_canonical_wide_present","PASS","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_canonical_wide.csv"
"s30e_variable_dictionary_present","PASS","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_variable_dictionary.csv"
"s30e_provenance_ledger_present","PASS","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_provenance_ledger.csv"
"s30e_admissibility_ledger_present","PASS","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_admissibility_ledger.csv"
"s30e_support_window_ledger_present","PASS","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_support_window_ledger.csv"
"s30e_family_interface_registry_present","PASS","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/csv/S30E_family_interface_registry.csv"
"s30e_consumption_contract_present","PASS","output/US/S30E_INTEGRATED_DATASET_CLOSURE_AND_CANONICAL_ASSEMBLY/md/S30E_DOWNSTREAM_CONSUMPTION_CONTRACT.md"
"long_key_unique","PASS","year + variable_id"
"wide_year_unique","PASS","year"
"long_has_value_column","PASS","value"
"no_forbidden_model_outputs","PASS","canonical variable_id screen"
"no_metadata_only_rows","PASS","all canonical long rows carry numeric source values"
"dictionary_covers_long_variables","PASS","canonical variable_id subset; dictionary may retain blocked and metadata-only S30E records"
"provenance_covers_long_rows","PASS","canonical provenance_id subset"
"admissibility_covers_long_variables","PASS","canonical variable_id subset"
"support_covers_long_variables","PASS","canonical variable_id subset"
"registry_records_s30a_s30d","PASS","S29K, S30A, S30B, S30C, S30D"
"release_copy_CH2_US_SOURCE_OF_TRUTH_LONG","PASS","data/releases/chapter2_us_source_of_truth_v1/CH2_US_SOURCE_OF_TRUTH_LONG.csv"
"release_copy_CH2_US_SOURCE_OF_TRUTH_WIDE","PASS","data/releases/chapter2_us_source_of_truth_v1/CH2_US_SOURCE_OF_TRUTH_WIDE.csv"
"release_copy_CH2_US_VARIABLE_DICTIONARY","PASS","data/releases/chapter2_us_source_of_truth_v1/CH2_US_VARIABLE_DICTIONARY.csv"
"release_copy_CH2_US_PROVENANCE_LEDGER","PASS","data/releases/chapter2_us_source_of_truth_v1/CH2_US_PROVENANCE_LEDGER.csv"
"release_copy_CH2_US_ADMISSIBILITY_LEDGER","PASS","data/releases/chapter2_us_source_of_truth_v1/CH2_US_ADMISSIBILITY_LEDGER.csv"
"release_copy_CH2_US_SUPPORT_WINDOW_LEDGER","PASS","data/releases/chapter2_us_source_of_truth_v1/CH2_US_SUPPORT_WINDOW_LEDGER.csv"
"release_copy_CH2_US_FAMILY_INTERFACE_REGISTRY","PASS","data/releases/chapter2_us_source_of_truth_v1/CH2_US_FAMILY_INTERFACE_REGISTRY.csv"
"release_copy_CH2_US_DOWNSTREAM_CONSUMPTION_CONTRACT","PASS","data/releases/chapter2_us_source_of_truth_v1/CH2_US_DOWNSTREAM_CONSUMPTION_CONTRACT.md"
"all_release_targets_exist","PASS","12 release files"
"copied_files_byte_identical","PASS","8 copied files"
"manifest_written","PASS","CH2_US_RELEASE_MANIFEST.csv"
"sha_manifest_written","PASS","CH2_US_SHA256_MANIFEST.csv"
"hash_manifest_covers_release_payload","PASS","sha manifest covers every release file except itself"
"s30f_output_file_inventory_written","PASS","S30F_release_file_inventory.csv"
"release_folder_contains_no_s31","PASS","release paths"
"release_folder_contains_only_manifested_files","PASS","release directory inventory equals S30F manifest set"
"completion_record_authorizes_downstream_consumption","PASS","AUTHORIZE_DOWNSTREAM_CHAPTER2_SOURCE_OF_TRUTH_DATASET_CONSUMPTION CHAPTER2_US_SOURCE_OF_TRUTH_DATASET_FROZEN"
