"run_id","model_id","n_lag","n_lead","full_start","full_end","effective_start","effective_end","n_full","n_effective","n_lost_lead_lag","n_lost_missing","rank","df_residual","sample_status","rank_status","review_status","notes"
"D12C_RUN_001","RDOLS_ME_NRC_OMEGA_INT_LL11",1,1,1931,2024,1933,2023,94,91,3,3,16,75,"PASS","PASS","PASS","Sample and rank reviewed from D12C ledgers only"
"D12C_RUN_002","RDOLS_ME_NRC_OMEGA_INT_LL22",2,2,1931,2024,1934,2022,94,89,5,5,22,67,"PASS","PASS","PASS","Sample and rank reviewed from D12C ledgers only"
