H0,stat_star,stat,cv_1,cv_5,cv_10
r = 0  |,34.92,34.92196731605665,33.24,28.14,25.56
r <= 1 |,23.68***,23.67595325148413,26.81,22,19.77
r <= 2 |,7.20***,7.2018757746249955,20.2,15.67,13.75
r <= 3 |,4.22***,4.224291342139794,12.97,9.24,7.52
