standardized_entity,raw_entity_label,year,Data series on GDP (current millions dollars MER),Data series on exports in goods (% GDP),Data series on exports in manufactured goods (% GDP),Data series on exports in primary commodities (% GDP),Data series on exports in services (% GDP),Data series on foreign income inflows (% GDP),Data series on foreign income outflows (% GDP),Data series on foreign transfer inflows (% GDP),Data series on foreign transfer outflows (% GDP),Data series on foreign wealth across world regions (% GDP),Data series on gross foreign assets (% GDP),Data series on gross foreign liabilities (% GDP),Data series on imports in goods (% GDP),Data series on imports in manufactured goods (% GDP),Data series on imports in primary commodities (% GDP),Data series on imports in services (% GDP),Data series on net current account (% GDP),Data series on net income balance (% GDP),Data series on net trade balance (goods) (% GDP),Data series on net trade balance (goods+services) (% GDP),Data series on net trade balance (manufactured goods) (% GDP),Data series on net trade balance (primary commodities) (% GDP),Data series on net trade balance (services) (% GDP),Data series on net transfer balance (% GDP),New series on exports in goods + services (% GDP) (MER $),New series on imports in goods + services (% GDP) (MER $)
Chile,CL,1800,4.0408986952171135,0.699827651508331,0.006998276515083272,0.6928293749932478,0.002439900145194011,0.0016115675226814445,0.00621396247570241,0.0038628720606805373,0.033332584726728856,0.0,0.01,0.01,0.5602714191322192,0.54289067247462,0.0173807466575992,0.04383803678240791,0.06408598811982871,-0.004602394953020965,0.1395562323761118,0.098158095738898,-0.5358923959595367,0.6754486283356487,-0.04139813663721391,-0.029469712666048316,0.7022675516535252,0.6041094559146272
Chile,CL,1801,3.934053434683099,0.7217372193562464,0.007217372193562416,0.7145198471626839,0.002263971895544364,0.0028628309638416964,0.009062027994635057,0.0035413888042039095,0.031876071875348196,0.06582650441197573,0.09873975661796358,0.03291325220598786,0.5346067746702483,0.5182034112563657,0.016403363413882696,0.042044156926738886,0.1128163795528658,-0.006199197030793361,0.18713044468599804,0.14735025965480344,-0.5109860390628033,0.6981164837488012,-0.03978018503119452,-0.028334683071144288,0.7240011912517906,0.5766509315969872
Chile,CL,1802,4.069625641120601,0.6228141694292675,0.006228141694292653,0.6165860277349748,0.002141685523401753,0.0035660004463200843,0.012212328517858254,0.0031053177269234028,0.030974741451822708,0.17269171988263288,0.2590375798239493,0.08634585994131644,0.6520712801542466,0.6317719697594648,0.020299310394781857,0.039393856775400526,-0.10302503377341538,-0.00864632807153817,-0.029257110724979163,-0.06650928197697792,-0.6255438280651722,0.596286717340193,-0.03725217125199878,-0.027869423724899305,0.6249558549526694,0.6914651369296472
Chile,CL,1803,4.162716141770709,0.6866972222088307,0.006866972222088317,0.6798302499867424,0.001964162340038259,0.00460382870248729,0.015186693431253269,0.002969107633587892,0.028772438914806228,0.06810873537040439,0.10216310305560658,0.034054367685202196,0.5834552102547614,0.5644736184790689,0.01898159177569265,0.037665203603418664,0.03115477468070443,-0.01058286472876598,0.10324201195406923,0.06754097069068875,-0.5576066462569805,0.6608486582110497,-0.035701041263380404,-0.025803331281218336,0.6886613845488689,0.6211204138581802
Chile,CL,1804,4.215302395109889,0.6696833819260343,0.006696833819260334,0.6629865481067739,0.001945006872742848,0.004649703561328832,0.015163193589912893,0.0027821511795955486,0.029693202679271235,0.09802518938093828,0.1470377840714074,0.04901259469046914,0.6047872273860363,0.5855712612175922,0.01921596616844402,0.038007009027022705,-0.008590389142541564,-0.010513490028584063,0.06489615453999797,0.028834152385718185,-0.5788744273983318,0.6437705819383299,-0.036062002154279856,-0.026911051499675688,0.6716283887987771,0.642794236413059
Chile,CL,1805,4.06656717763068,0.7028848282614045,0.007028848282614,0.6958559799787906,0.0017880482730123586,0.005103755350922598,0.018463174959979515,0.002472906275090804,0.02843699503102043,0.09270588955836162,0.13905883433754243,0.04635294477918081,0.536167984439528,0.5192354824353423,0.016932502004185612,0.03598428252671084,0.09319710120319157,-0.013359419609056915,0.16671684382187657,0.1325206095681781,-0.5122066341527284,0.678923477974605,-0.03419623425369848,-0.025964088755929624,0.7046728765344169,0.5721522669662389
Chile,CL,1806,4.187209255196581,0.6585536026476758,0.0065855360264767725,0.651968066621199,0.0017523422833922414,0.005100530514295877,0.018465186104587493,0.002453637456111377,0.028559811552365495,0.18054674471214588,0.27082011706821885,0.09027337235607294,0.6124955483016242,0.59323746502306,0.01925808327856433,0.036700943368230245,-0.02836137642533214,-0.013364655590291616,0.04605805434605159,0.01110945326121359,-0.5866519289965831,0.6327099833426346,-0.034948601084838,-0.026106174096254115,0.6603059449310681,0.6491964916698545
Chile,CL,1807,4.220790894727432,0.686854939702266,0.00686854939702264,0.6799863903052433,0.0017976516082821403,0.005049517759708597,0.01849740114128536,0.0024532173395732933,0.028562522717464952,0.15097454446086642,0.2264618166912996,0.07548727223043321,0.5898284935363184,0.5706707725391438,0.01915772099717466,0.03580099791261997,0.023465911102141346,-0.013447883381576762,0.09702644616594758,0.06302309986160977,-0.5638022231421211,0.6608286693080687,-0.03400334630433783,-0.026109305377891658,0.6886525913105481,0.6256294914489383
Chile,CL,1808,4.454213010633896,0.6734287735245331,0.006734287735245329,0.6666944857892878,0.0017995408061510852,0.00502846144804299,0.018510922388444845,0.0024576608406405944,0.02853392008390899,0.16529893939842494,0.2479484090976374,0.08264946969921247,0.6289751309888898,0.609239197592666,0.019735933396223773,0.035765389794620496,-0.02907092663649636,-0.013482460940401854,0.04445364253564332,0.010487793547173892,-0.6025049098574207,0.646958552393064,-0.03396584898846942,-0.026076259243268396,0.6752283143306842,0.6647405207835103
Chile,CL,1809,4.445651889153003,0.651546349214591,0.006515463492145894,0.645030885722445,0.002687162769616581,0.007698581755145679,0.027668172503208802,0.003704785791930134,0.042684347637113984,0.1364903510185971,0.20473552652789567,0.06824517550929855,0.6378858459420215,0.6186828201289584,0.01920302581306309,0.05387861334035776,-0.09648009989141866,-0.019969590748063124,0.013660503272569513,-0.03753094729817168,-0.6121673566368124,0.625827859909382,-0.05119145057074118,-0.03897956184518385,0.6542335119842075,0.6917644592823792
