year,GVA,EC,GOS,omega,pi,e,KNC,KNR,KGC,KGR,IGC,Py,pK,GVA_real,EC_real,GOS_real,theta,mu,mu_ect,r,B,B_real,PyPK,dlnr,phi_mu,phi_PyPK,phi_Br,phi_pi,regime,tendency_label,CCA_NF,NVA_NF,NOS_NF,TPI_NF,NetInt_NF,Profits_IVA_CC_NF,CorpTax_NF,PBT_NF,PAT_NF,Dividends_NF,Retained_NF,Retained_IVA_CC_NF,chi,r_net,tax_rate,ret_rate,div_payout,cash_flow,int_share,cca_rate,g_K,g_Kn,g_Y,g_Yp
1939,44443,28023,11768,0.630537992484756,0.369462007515244,0.585947257609821,94830,2379843.20964087,64808.8873985036,1626436.68248137,4824,5.6765634467582995,3.9847162878562297,782920.8713483146,493661.3544943821,207308.52584269663,0.8208193123776493,0.690283889524402,1.0140528270309324,0.12409575028999262,0.4865857497232308,0.34156337378174445,1.4245840949977095,NA,NA,NA,NA,NA,Pre-Fordist,NA,4636,39807,7132,4652,1476,5350,1330,7454,6013,3425,2431,595,0.4099252209381373,0.07520826742592007,0.17842768983096324,0.4042907034758024,0.5695992017295859,0.11007065274702099,0.12542488103331068,0.07153339898421159,0.044565521022610355,0.0028055586527759857,0.10907968920704114,0.036580240321530705
1940,51078,31010,15041,0.607110693449235,0.392889306550765,0.647146081909062,100547,2405652.62538031,71706.4121389663,1715622.72985476,5979,5.744331409254712,4.17961425266479,889189.6438584316,539836.5412907703,261840.74226231783,1.1218811895532266,0.7092666868069173,2.8476680643731216,0.14959173321929048,0.5368189315557095,0.3905930729929164,1.374368796257288,0.18685635739855044,0.02712865374119166,-0.03588533950870781,0.1341330474546918,0.06147999571137486,Pre-Fordist,broad_expansion,4844,46234,10197,5027,1335,8545,2675,10370,7536,3710,3754,2160,0.39751346320058506,0.10141525853580913,0.2579556412729026,0.49814225053078554,0.4923036093418259,0.12298725968949845,0.08875739644970414,0.06755323346275333,0.0533845850163992,0.01078662143907927,0.1272789028587482,0.05989116174200329
1941,66680,39642,21120,0.594511097780444,0.405488902219556,0.682054386761516,112617,2446087.37670543,83664.1480143753,1817219.57023165,7339,6.132601970851804,4.60396472638197,1087303.5673426937,646414.0374414977,344388.8923556942,1.2837973335332933,0.7738237817414216,5.258726218561236,0.18753829350808493,0.5976802631921833,0.4487000562681715,1.3320262719890807,0.22607325181687288,0.08711257468974376,-0.03129327281284932,0.13868835437238825,0.03156559556758998,Pre-Fordist,broad_expansion,5364,61316,15756,5918,1237,14152,7352,18371,10761,4144,6561,2656,0.3474905303030303,0.13990782919097472,0.40019596102552935,0.6097017005854475,0.38509432208902517,0.12225507694220233,0.05857007575757576,0.06411348381959676,0.0575315017907716,0.016668530260213643,0.2011455834775706,0.07385878859315846
1942,84033,50790,26966,0.604405412159509,0.395594587840491,0.654518606024808,120147,2443076.2782025,92303.4839863076,1876904.55960109,5984,6.620531300825973,4.91785709156812,1269278.7962427745,767158.9739884392,407308.7003853564,1.1566464888793655,0.8809279162333216,4.004971193903828,0.2244417255528644,0.644040064493002,0.4784052600167829,1.3462227912594618,0.17963304251122048,0.12963162669542433,0.01060144288137648,0.06410355920975075,-0.02470358627533087,Pre-Fordist,profit_squeeze,6124,77909,20842,6277,1220,19203,11112,22098,10683,3761,6654,4330,0.22190907068159904,0.1734708315646666,0.5028509367363563,0.622858747542825,0.35205466629224,0.13195502176500454,0.04524215679003189,0.06634635807363935,0.03231628471461967,-0.0012317439530207253,0.15474802225841522,0.03737851724879075
1943,99680,61991,31048,0.621900080256822,0.378099919743178,0.607975351260667,121044,2423934.29486241,95657.4030573604,1915561.77776852,5216,6.92269668654527,4.99369971605896,1439901.30600023,895474.7377634457,448495.74386732694,0.9318242586276072,1.007704934646171,2.261670369341853,0.25650176795214963,0.6732097426129405,0.4856210596469244,1.3862861365658323,0.1335194580757626,0.13445488001889896,0.02932558867841533,0.01497040951149009,-0.04523142013304215,Pre-Fordist,profit_squeeze,6304,93376,24744,6641,1060,23190,13732,25474,11400,3943,7192,5515,0.16799793867559906,0.20442153266580748,0.5390594331475229,0.6308771929824561,0.3458771929824561,0.14305541786457818,0.03414068539036331,0.06590185180147368,0.020387027146432146,-0.007866053197602696,0.12612571154615893,0.018997126456345038
1944,103244,64833,31073,0.627959009724536,0.372040990275464,0.592460629617633,122510,2427590.62875883,99818.751722149,1977953.3609917,6646,7.087731606977708,5.04656751219362,1456657.8663667042,914721.4312710912,438405.4267716535,0.8539615619309604,1.00300509547837,1.7616709157983488,0.25363643784180884,0.6797006952606807,0.4839567349504401,1.4044658255046,-0.0112336626047742,-0.00467481402741366,0.01302870792372823,-0.00343309498303623,-0.01615446151805233,Pre-Fordist,reinforcing_crisis,6496,96748,24577,7338,990,22957,12557,24363,11414,4055,7090,6345,0.2138834357802594,0.20061219492286345,0.51541271600377625,0.6211669879095847,0.35526546346591903,0.151138682556526,0.03186045763202781,0.0650779526684723,0.032051717901715904,0.001507292921804293,0.011570105286018872,0.027370935081919838
1945,96576,61658,26820,0.638440192180252,0.361559807819748,0.566317428395342,134003,2465659.51697451,112551.061780498,2070943.16265062,9022,7.2711037407915295,5.43477309326264,1328216.505263158,847986.8008771931,368857.3421052632,0.719268934310799,0.854461507204451,0.9845547570261988,0.2001447728782191,0.6478457327437965,0.48423109921379304,1.337885430728533,-0.23686092550760396,-0.16028441380257047,-0.048566704341116373,5.667583520793107e-4,-0.02857656571599642,Fordist,reinforcing_crisis,6736,89840,20084,8098,942,18475,10184,20051,9362,4068,4990,4223,0.33639075316927664,0.14987724155429355,0.5079048426512394,0.5330057679982909,0.434522537919248,0.1241464743326642,0.03512304250559284,0.05984839141843763,0.04594148358750516,0.015560069552384093,-0.09230761018750933,0.0330442819406419
1946,100771,66853,24393,0.663415069811751,0.336584930188249,0.507351951296127,161715,2537065.56718696,140052.308933832,2197210.46656807,12964,8.208693433683068,6.374096203564269,1227613.1495726495,814417.0633255633,297160.56759906764,0.3983192793561692,0.7597127382927515,0.330472299660624,0.15083943975512476,0.589889729459207,0.4580526627585903,1.287820762587946,-0.2828250108589092,-0.11753106848523816,-0.03813887226444285,-0.05557810878179758,-0.07157696132743063,Fordist,reinforcing_crisis,7752,93019,16641,9525,660,15506,8573,24872,15768,4856,10619,2077,0.5314639445742632,0.10290325572766905,0.34468478610485687,0.6734525621511923,0.30796549974632165,0.09782642302816684,0.0270569425654901,0.05535074758148006,0.05918444843037918,0.028548800427158127,-0.0787653135215276,0.02357430684788099
1947,122211,78763,32256,0.644483720777999,0.355516279222001,0.551629572261087,192728,2643099.25018316,171085.155595539,2346286.19853907,16831,9.109608699811844,7.29174282754023,1341561.4657798004,864614.5251181516,354087.6569228076,0.641604152654013,0.7806311689675995,0.6939625650437201,0.1673654061682786,0.6030597120836114,0.482716269718037,1.2493047156580597,0.10396352476881088,0.02716239755034505,-0.03036428942840555,0.05244488605697295,0.05472053058989856,Fordist,broad_expansion,9476,112735,22780,11192,768,21441,10777,31650,20457,5359,14750,5305,0.5217943948412699,0.11819766717861442,0.3405055292259084,0.7210245881605318,0.26196411986117224,0.1114472209538832,0.023809523809523808,0.05538762242121189,0.06564515098408741,0.04094406234943193,0.08876245321298981,0.042118201472990155
1948,140041,87467,40196,0.624581372598025,0.375418627401975,0.601072404449678,211040,2746121.83467642,192552.448364779,2505555.73718217,18915,9.620658864049494,7.68501955503613,1455627.956244303,909158.1069031244,417809.2225076655,0.8973672388800402,0.8000000000000003,1.471096178090569,0.19046626231993935,0.6341795811985635,0.5065851052184768,1.2518717480354236,0.1292955952142778,0.02450894421870297,0.00205266067065443,0.04826328792157353,0.0544707024033465,Fordist,broad_expansion,11120,128921,29076,12378,857,27614,11681,35241,22987,5877,16620,10056,0.4705692108667529,0.1377748294162244,0.3314605147413524,0.7230173576369252,0.2556662461391221,0.13511656557998483,0.021320529405911035,0.05775049912081009,0.06567682404925534,0.03823748740498978,0.08160318403581002,0.05893623025549049
1949,136291,84902,38434,0.622946489496739,0.377053510503261,0.605274316270524,215670,2813441.39406346,202194.530665119,2637652.25681124,17205,9.603916190962146,7.6657008194689,1419119.006143118,884035.2030549559,400190.91416237754,0.9183769581263572,0.7445183692626993,1.4513628630402151,0.17820744656187695,0.6348153820142833,0.5067000479135622,1.252842553751991,-0.0665267763713624,-0.07187420256053556,7.751828338173061e-4,2.26871370261561e-4,0.00434537198509465,Fordist,demand_drag,12008,124283,26426,12955,999,24840,9262,28917,18907,6040,12308,9538,0.44765051777072384,0.12252979088422127,0.3202960196424249,0.6509758290580209,0.31945840165018247,0.1352622061482821,0.025992610709267835,0.05938835219973398,0.05137866373492628,0.024218754998637237,-0.025401131699968715,0.04718498091347858
1950,154866,94387,46116,0.609475288313768,0.390524711686232,0.640755612531387,241923,2890009.3274238,231543.492069792,2766015.84713308,18927,9.722709442867622,8.3710110449939,1592827.605412054,970789.0640426404,474312.2302583026,1.0914940174086,0.7304727151966259,2.283370182018134,0.1906226361280242,0.6682238188204361,0.5753240905473425,1.1614737324569744,0.06734744481643196,-0.01904564547439585,-0.07572535481050383,0.12701431070701985,0.03510413439431159,Fordist,demand_drag,12848,142018,33268,14363,932,31735,16764,42512,24784,7375,16733,7596,0.4104215456674473,0.1375148290985148,0.39433571697403086,0.6751533247256294,0.2975710135571336,0.1213278605176027,0.020209905455807094,0.05548849542325874,0.04751873764917747,0.02685130018718418,0.11547454412629854,0.05186641785888601
1951,177643,109808,52470,0.618138626346099,0.381861373653901,0.617760090339502,262117,2983783.53794378,256708.234506678,2922213.37866539,22791,10.412348120036992,8.78471902089229,1706080.1075038286,1054594.014088821,503920.9157733538,0.9801623266889176,0.756288105308658,1.7690364233884897,0.20017778320368385,0.6931430532050881,0.5847928722218386,1.1852795855250222,0.04891014106967351,0.03473051562766571,0.02028902612748256,0.01632420220924135,-0.02243360289471596,Fordist,profit_squeeze,14636,163007,37834,15365,1096,36011,21104,43636,21332,7042,13669,7865,0.4343624928530589,0.1443401229222065,0.48363736364469706,0.6407744234014626,0.3301143821488843,0.11966411945810458,0.020888126548503905,0.057014143033340285,0.05493337304456958,0.0319324092053197,0.06868759930853763,0.05384362273623559
1952,185883,117770,51316,0.63357057934292,0.36642942065708,0.578356117856839,277787,3083579.94546959,277843.643963093,3084208.72287323,24435,10.592531173262747,9.00858758042339,1754849.685684179,1111821.1320186662,484454.5572783381,0.7818478419220689,0.741120052469365,1.041396942015684,0.1847314669152984,0.6802397067183588,0.5785207400778684,1.1758259636928472,-0.08030264731432224,-0.02025976895874892,-0.00800783544249586,-0.01078332249278291,-0.04125172042029468,Fordist,reinforcing_crisis,15580,170303,35736,16797,1258,33654,17677,39394,20287,7053,12534,8924,0.4761672772624523,0.12864532897507802,0.4487231558105295,0.6178340809385321,0.34766106373539707,0.12109637960019727,0.0245147712214514,0.05607470366343723,0.0539537971517241,0.03289910316553524,0.028184799767009494,0.04218365986657656
1953,199043,128198,52960,0.644071883964771,0.355928116035229,0.552621725767953,292500,3195420.74700718,298674.907638712,3262878.62044169,26931,10.720891666932424,9.15372413081921,1856589.9757566743,1195777.4034357106,493988.7618056072,0.6468966263571243,0.7541143840459854,0.7554208635177111,0.18105982905982904,0.6745631075266888,0.5759562531699599,1.1712054584250355,-0.02007571646128703,0.01738143317907031,-0.00393732371317201,-0.00444268901147371,-0.0290771369157119,Fordist,profit_squeeze,16728,182315,36232,17885,1334,33939,18369,41351,21407,7243,13313,8327,0.5085158610271904,0.12387008547008548,0.4442214214892022,0.6218993787078992,0.3383472695847153,0.11825982905982906,0.02518882175226586,0.05600738318544923,0.05631468547551499,0.03562752639108879,0.05635825465446942,0.0364297800484732
1954,196164,125945,52902,0.642039314043351,0.357960685956649,0.557537020127834,301967,3289625.11445612,314665.674722667,3427964.33459605,26377,10.8205504353095,9.17937422939223,1812883.7453580904,1163942.6363100505,488903.0397877985,0.6730169791603,0.7154040602394761,0.7639544272981158,0.17519132885381516,0.6841098988166432,0.5803494760098129,1.178789551978635,-0.0329488395050197,-0.05269655719065602,0.0064545838186846,0.00759875847382807,0.005694375393124,Fordist,demand_drag,17724,178440,35178,17317,1650,32676,15528,38831,21483,7357,13347,9791,0.49860118710067675,0.11649617342292369,0.39988668847055187,0.6212819438625891,0.34245682632779406,0.12376849125897862,0.0311897470795055,0.05632644874793281,0.049356778379966215,0.029054842947646264,-0.023822651807673623,0.033217949886369266
