"year","GVAcorp","VAcorp","DEPCcorp","NOScorp","ECcorp","Pcorp","GVAcorpnipa","VAcorpnipa","NOScorpnipa","Pcorpnipa","Tcorp","CorpImpIntAdj","KGCcorp","KNCcorp","KNCcorpbea","KNRcorpbea","IGCcorpbea","DEPCcorpbea","dcorpstar","dcorp_WL","pKN","exploit_rate","profit_share","rcorp","R_obs","R_net","Py","uK"
1929,NA,NA,5228,NA,34242,10601,54806,49578,12337,10601,2999,NA,201412.942673323,89859.145519371,106016,1225386.40962,8158,5240,0.0509347988398777,0.0490104381009391,8.65163830508584,NA,NA,NA,NA,NA,8.778,NA
1930,NA,NA,5080,NA,30808,7361,48178,43098,9253,7361,3037,NA,189756.470942719,86488.3357220359,100962,1247707.39721,6759,5091,0.0513434257475233,0.048021053425898,8.09180102849124,NA,NA,0.0819170932179984,NA,NA,8.457,NA
1931,NA,NA,4752,NA,25369,2955,37846,33094,4883,2955,2842,NA,170510.472384946,78248.1936395304,90747,1244365.21725,4381,4762,0.0523349999019744,0.047166260573285,7.29263392627989,NA,NA,0.0341664569601275,NA,NA,7.587,NA
1932,NA,NA,4240,NA,19013,-156,27861,23621,1666,-156,2942,NA,159616.992878504,73157.3807962683,84747,1226580.04532,2687,4249,0.0494208749252501,0.0468224844898454,6.90921072157917,NA,NA,-0.00199365624615761,NA,NA,6.7,NA
1933,NA,NA,4008,NA,18002,-173,26876,22868,1399,-173,3467,NA,161571.462525154,74076.2983757648,85527,1206526.96556,2487,4018,0.0462112622528909,0.0474117077890663,7.08869361741147,NA,NA,-0.00236476481411736,NA,NA,6.514,NA
1934,NA,NA,4104,NA,21045,2457,33500,29396,4261,2457,4090,NA,163946.957208021,75441.9550264118,86754,1194113.15428,3085,4114,0.0469335309874965,0.0481017690320016,7.26514063504384,NA,NA,0.033168504013746,NA,NA,6.871,NA
1935,NA,NA,4184,NA,23056,3859,37147,32963,5752,3859,4155,NA,162990.041873406,75442.2991073985,86308,1186831.97651,3574,4193,0.0482855926082086,0.0483320653802706,7.27213301530664,NA,NA,0.0511519087575207,NA,NA,7.012,NA
1936,NA,NA,4248,NA,26274,6126,42724,38476,7838,6126,4364,NA,178027.716504344,83512.3997039085,94927,1191725.88288,4598,4257,0.0450299046257813,0.049323353570932,7.96550627654351,NA,NA,0.0812011308308502,NA,NA,7.097,NA
1937,NA,NA,4744,NA,30548,6780,48339,43595,8426,6780,4621,NA,182906.041433291,87213.2567020258,98381,1207004.41984,5941,4755,0.0489521507045216,0.0500911226521432,8.15084007836867,NA,NA,0.0811855487812391,NA,NA,7.402,NA
1938,NA,NA,4820,NA,27266,4707,43000,38180,6339,4707,4575,NA,180163.563290714,86509.7984694214,97249,1207720.60126,4632,4829,0.0496855012241185,0.0490846809851496,8.0522763210747,NA,NA,0.053971152758141,NA,NA,7.19,NA
1939,NA,NA,4824,NA,29816,6268,47323,42499,7932,6268,4751,NA,180812.601146281,87605.1367809931,97933,1210704.69051,5000,4832,0.0494617658848687,0.0496868862404755,8.08892546362784,NA,NA,0.0724542203414744,NA,NA,7.12,NA
1940,NA,NA,5040,NA,32856,9606,54105,49065,11073,9606,5136,NA,190950.532482268,93830.9052239454,104103,1223595.95607,6205,5050,0.0490261671003415,0.0515658664597225,8.50795554558407,NA,NA,0.109651104409715,NA,NA,7.205,NA
1941,NA,NA,5584,NA,41598,15302,69955,64371,16721,15302,6052,NA,212457.378649642,106205.009343926,116896,1244365.21725,7644,5594,0.0486667832717702,0.0537352429805097,9.39402663940862,NA,NA,0.163080596563348,NA,NA,7.692,NA
1942,NA,NA,6388,NA,52849,20411,87478,81090,21820,20411,6421,NA,225881.680543425,113400.570609646,124270,1242455.40013,6138,6401,0.051429757167952,0.0547580755543389,10.0019686812901,NA,NA,0.192184908471714,NA,NA,8.304,NA
1943,NA,NA,6552,NA,64141,24528,103482,96930,25979,24528,6810,NA,228421.426070578,114630.191827766,125280,1231951.40597,5324,6565,0.051959594752159,0.0528285185483222,10.1692322759564,NA,NA,0.216295207935344,NA,NA,8.683,NA
1944,NA,NA,6748,NA,67074,24549,107266,100518,25913,24549,7531,NA,231086.285484587,116453.536847345,126747,1232786.95096,6745,6760,0.0533707687523306,0.0539591315453384,10.2813385476947,NA,NA,0.214158238842393,NA,NA,8.89,NA
1945,NA,NA,6968,NA,64069,20110,100821,93853,21462,20110,8322,NA,250438.423357889,127907.105404116,138239,1250930.2136,9152,6982,0.0512500524678157,0.0550861164366809,11.0508962448167,NA,NA,0.172686897662555,NA,NA,9.12,NA
1946,105390,97390,8000,17762,69854,17552,105807,97807,18179,17552,9774,-417,299194.682068595,156226.644420876,167109,1287097.37531,13368,8015,0.0493494150113385,0.0579792967252367,12.9833999513635,0.254273198385203,0.180223842283602,0.137224589240335,0.352245565567364,0.674596835838568,10.296,NA
1947,126979,117183,9796,23522,82136,23178,127503,117707,24046,23178,11525,-524,350024.237219684,186971.10575091,199192,1340214.16396,17308,9816,0.0513127696005001,0.0587401037646087,14.862699213045,0.286378689003604,0.197793195258698,0.148361376421542,0.362772021185221,0.679137022215434,11.426,NA
1948,145429,133941,11488,30081,91111,30132,146063,134575,30715,30132,12749,-634,377725.325220627,205659.959629461,218012,1392137.31691,19456,11506,0.0548216171377721,0.0577633639905217,15.6602367706011,0.330157719704536,0.22496472327368,0.161158591211109,0.385012574719622,0.707133271162848,12.067,NA
1949,142222,129810,12412,27641,88798,27933,143022,130610,28441,27933,13371,-800,382688.492960271,210569.616191588,222118,1426155.93436,17762,12432,0.0573379531479729,0.0570243839788636,15.5745942395617,0.311279533322823,0.215183730067021,0.135821285049006,0.371639081436308,0.675415582609974,12.046,NA
1950,161233,147945,13288,34470,98654,34790,162114,148826,35351,34790,14821,-881,425358.653588441,236789.544013995,249086,1465068.45818,19541,13307,0.0548809655331227,0.059909597601275,17.0016628649169,0.349402963894013,0.235154956233736,0.165218518365661,0.379051886307695,0.680912667285979,12.195,NA
1951,184769,169633,15136,39227,114553,39454,185791,170655,40249,39454,15853,-1022,458074.299550595,258150.926390534,270446,1512694.52261,23560,15158,0.0578701564156298,0.0608544839934802,17.8784279282887,0.342435379256763,0.232584461749777,0.166620532863006,0.403360328621955,0.715740216715237,13.06,NA
1952,193757,177641,16116,37295,123015,37777,195027,178911,38565,37777,17331,-1270,481411.095217601,274447.638961526,286492,1562946.58558,25179,16140,0.05820816827104,0.0596791965863795,18.330248944092,0.303174409624842,0.212659239702546,0.146336875595211,0.402477221494907,0.705988948322351,13.286,NA
1953,207568,190268,17300,37815,133985,38496,209184,191884,39431,38496,18468,-1616,502507.260418012,289836.829230676,301404,1620241.09918,27907,17321,0.0595743699943508,0.0604589307903886,18.6024166497529,0.282233085793186,0.202325141379528,0.140267193209108,0.413064678562722,0.716154674169446,13.447,NA
1954,204935,186595,18340,36446,132212,37498,206865,188525,38376,37498,17937,-1930,516215.639712636,299965.449366751,310857,1668702.7086,27377,18362,0.060835720815478,0.0609215537949065,18.628662756879,0.275663328593471,0.200959296872907,0.129376242831293,0.396994945976612,0.683195349439853,13.572,NA
1955,230740,211180,19560,46737,144625,47814,233051,213491,49048,47814,19818,-2311,564390.453750952,330854.131781186,342231,1724684.22293,30232,19585,0.0591472897634431,0.0630032458654623,19.8431107242691,0.323159896283492,0.22641348612558,0.159398357713993,0.408830444360808,0.697407037832015,13.801,NA
1956,247151,225063,22088,45370,158175,46825,250053,227965,48272,46825,21518,-2902,621899.731072451,368482.06235102,380295,1795705.54708,36751,22116,0.0605496308109834,0.0646230177862321,21.1780266880836,0.286834202623676,0.208052856311344,0.141527626534125,0.397412939178787,0.670727357589964,14.271,NA
1957,257829,233265,24564,43957,166500,46048,261661,237097,47789,46048,22808,-3832,664463.722622506,396943.787638635,408618,1865771.96267,39716,24593,0.0625341792716445,0.0646682180938482,21.9007471532186,0.264006006006006,0.197406383297966,0.124966734353908,0.388025698351748,0.649535294490411,14.744,NA
1958,252410,226014,26396,38900,163977,41334,256831,230435,43321,41334,23137,-4421,680696.133773083,406527.383131776,417497,1906594.30361,35312,26425,0.0646787123819831,0.064669202042005,21.897526873415,0.237228391786653,0.182882476306777,0.104130613167901,0.370811566977613,0.620892984023615,15.08,NA
1959,282163,254543,27620,48701,180289,52796,287446,259826,53984,52796,25553,-5283,710592.296362352,424706.472617307,435207,1954936.54946,38340,27653,0.0651509505883584,0.0662352064805256,22.2619501446333,0.270127406552812,0.207414857214695,0.12987071029084,0.397081422701094,0.664371791324806,15.287,NA
1960,293425,264937,28488,46404,190689,51543,299879,271391,52858,51543,27844,-6454,727064.194383787,435542.414779246,445400,2015095.78874,41698,28521,0.0660051109006831,0.0655343319385947,22.1031676255202,0.243349118197694,0.194548137859189,0.121361465678542,0.403575093185119,0.673700172573828,15.495,NA
