"year","KNCcorpbea","KNRcorpbea","KNCcorp","KNRcorp","KGCcorp","KGRcorp","IGCcorpbea","IG_R_net","DEPCcorpbea","dcorpstar","dcorp_WL","pKN","KNHcorpbea","KNRIndxcorpbea"
1925,100112,1096115.66331,81081.4028496763,887751.674791016,205477.047111007,2249746.38194284,7515,82280.937447805,4656,NA,NA,9.13334270743713,70451,9.183
1926,103072,1130850.46218,84499.1221169456,927078.850703898,206761.699479088,2268477.99030822,7566,83010.0764208891,4916,0.0492062158241392,0.049105002397315,9.11455611923284,73603,9.474
1927,104569,1159975.17326,86602.4853696855,960674.128770931,205817.092794882,2283111.80057773,7162,79447.4671354619,5042,0.0494587801605163,0.0489172617199627,9.01476190271545,76300,9.718
1928,106916,1189099.88434,89466.0177481484,995024.424376928,206750.109469581,2299436.29819261,7333,81556.263345666,5125,0.0491383772352275,0.0490107010681942,8.99133886127176,79080,9.962
1929,106016,1225386.40962,89859.145519371,1038637.33492589,201412.942673323,2328032.39768961,8158,94294.2794453664,5240,0.0509347988398777,0.0490104381009391,8.65163830508584,82552,10.266
1930,100962,1247707.39721,86488.3357220359,1068839.13009614,189756.470942719,2345046.18038167,6759,83528.9940546185,5091,0.0513434257475233,0.048021053425898,8.09180102849124,84540,10.453
1931,90747,1244365.21725,78248.1936395304,1072975.75101848,170510.472384946,2338119.17763335,4381,60074.3166911551,4762,0.0523349999019744,0.047166260573285,7.29263392627989,84213,10.425
1932,84747,1226580.04532,73157.3807962683,1058838.46569884,159616.992878504,2310205.88762737,2687,38890.1150692631,4249,0.0494208749252501,0.0468224844898454,6.90921072157917,82390,10.276
1933,85527,1206526.96556,74076.2983757648,1044992.24220689,161571.462525154,2279284.04365365,2487,35084.0385299113,4018,0.0462112622528909,0.0474117077890663,7.08869361741147,80555,10.108
1934,86754,1194113.15428,75441.9550264118,1038410.11229037,163946.957208021,2256624.68827119,3085,42463.0458647878,4114,0.0469335309874965,0.0481017690320016,7.26514063504384,79462,10.004
1935,86308,1186831.97651,75442.2991073985,1037416.3804293,162990.041873406,2241296.21295896,3574,49146.515781234,4193,0.0482855926082086,0.0483320653802706,7.27213301530664,78891,9.943
1936,94927,1191725.88288,83512.3997039085,1048425.50874428,178027.716504344,2234983.06728591,4598,57723.8889829262,4257,0.0450299046257813,0.049323353570932,7.96550627654351,79326,9.984
1937,98381,1207004.41984,87213.2567020258,1069991.0176557,182906.041433291,2244014.60063854,5941,72888.1924179409,4755,0.0489521507045216,0.0500911226521432,8.15084007836867,80975,10.112
1938,97249,1207720.60126,86509.7984694214,1074352.08405609,180163.563290714,2237424.00418108,4632,57524.1064179202,4829,0.0496855012241185,0.0490846809851496,8.0522763210747,81246,10.118
1939,97933,1210704.69051,87605.1367809931,1083025.64011639,180812.601146281,2235310.51138142,5000,61812.9073198003,4832,0.0494617658848687,0.0496868862404755,8.08892546362784,81840,10.143
1940,104103,1223595.95607,93830.9052239454,1102860.78390063,190950.532482268,2244376.23656106,6205,72931.7397905377,5050,0.0490261671003415,0.0515658664597225,8.50795554558407,83516,10.251
1941,116896,1244365.21725,106205.009343926,1130558.95432943,212457.378649642,2261622.05840857,7644,81370.8571778247,5594,0.0486667832717702,0.0537352429805097,9.39402663940862,86385,10.425
1942,124270,1242455.40013,113400.570609646,1133782.50045689,225881.680543425,2258372.20392386,6138,61367.9186126816,6401,0.051429757167952,0.0547580755543389,10.0019686812901,87557,10.409
1943,125280,1231951.40597,114630.191827766,1127225.62251618,228421.426070578,2246201.28513187,5324,52354.0013201172,6565,0.051959594752159,0.0528285185483222,10.1692322759564,87877,10.321
