"stage_id","asset_family","derived_variable_id","variable_role","year","value","unit","support_status","source_real_investment_variable_id","provider_v1_commit","s12d_a4_commit","s12d_b_commit","s12d_c_commit","s13_commit","s29b_setup_commit","s29c_real_investment_commit","modeling_authorized","econometrics_authorized"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME","CFC_ME_GPIM_2017","consumption_of_fixed_capital_flow",1901,0,"millions_2017_dollars","partial_vintage_warmup","I_ME_REAL_2017","af67374e28232d02d65765d3836dc2ab3e3da8eb","f506afd2da9888938ad05f8578d984b8523e014d","5cbc2aae90fa1d8d5fb27057f44c879c383b1260","dd7a13fa4e715ab4645c1bd53999491550c505ea","906ed9f744da64e9931e7f8ec653d92da25384f1","bc6f2d3edb16f1c0947bf075d69fccc9d00dc0ca","b51538cfe20d76800053403bc59ebedd4d374cc3","no","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME","CFC_ME_GPIM_2017","consumption_of_fixed_capital_flow",1902,48213.2787714647,"millions_2017_dollars","partial_vintage_warmup","I_ME_REAL_2017","af67374e28232d02d65765d3836dc2ab3e3da8eb","f506afd2da9888938ad05f8578d984b8523e014d","5cbc2aae90fa1d8d5fb27057f44c879c383b1260","dd7a13fa4e715ab4645c1bd53999491550c505ea","906ed9f744da64e9931e7f8ec653d92da25384f1","bc6f2d3edb16f1c0947bf075d69fccc9d00dc0ca","b51538cfe20d76800053403bc59ebedd4d374cc3","no","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME","CFC_ME_GPIM_2017","consumption_of_fixed_capital_flow",1903,100460.144939906,"millions_2017_dollars","partial_vintage_warmup","I_ME_REAL_2017","af67374e28232d02d65765d3836dc2ab3e3da8eb","f506afd2da9888938ad05f8578d984b8523e014d","5cbc2aae90fa1d8d5fb27057f44c879c383b1260","dd7a13fa4e715ab4645c1bd53999491550c505ea","906ed9f744da64e9931e7f8ec653d92da25384f1","bc6f2d3edb16f1c0947bf075d69fccc9d00dc0ca","b51538cfe20d76800053403bc59ebedd4d374cc3","no","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME","CFC_ME_GPIM_2017","consumption_of_fixed_capital_flow",1904,156432.603932925,"millions_2017_dollars","partial_vintage_warmup","I_ME_REAL_2017","af67374e28232d02d65765d3836dc2ab3e3da8eb","f506afd2da9888938ad05f8578d984b8523e014d","5cbc2aae90fa1d8d5fb27057f44c879c383b1260","dd7a13fa4e715ab4645c1bd53999491550c505ea","906ed9f744da64e9931e7f8ec653d92da25384f1","bc6f2d3edb16f1c0947bf075d69fccc9d00dc0ca","b51538cfe20d76800053403bc59ebedd4d374cc3","no","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME","CFC_ME_GPIM_2017","consumption_of_fixed_capital_flow",1905,199127.583872323,"millions_2017_dollars","partial_vintage_warmup","I_ME_REAL_2017","af67374e28232d02d65765d3836dc2ab3e3da8eb","f506afd2da9888938ad05f8578d984b8523e014d","5cbc2aae90fa1d8d5fb27057f44c879c383b1260","dd7a13fa4e715ab4645c1bd53999491550c505ea","906ed9f744da64e9931e7f8ec653d92da25384f1","bc6f2d3edb16f1c0947bf075d69fccc9d00dc0ca","b51538cfe20d76800053403bc59ebedd4d374cc3","no","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME","CFC_ME_GPIM_2017","consumption_of_fixed_capital_flow",1906,249385.424128179,"millions_2017_dollars","partial_vintage_warmup","I_ME_REAL_2017","af67374e28232d02d65765d3836dc2ab3e3da8eb","f506afd2da9888938ad05f8578d984b8523e014d","5cbc2aae90fa1d8d5fb27057f44c879c383b1260","dd7a13fa4e715ab4645c1bd53999491550c505ea","906ed9f744da64e9931e7f8ec653d92da25384f1","bc6f2d3edb16f1c0947bf075d69fccc9d00dc0ca","b51538cfe20d76800053403bc59ebedd4d374cc3","no","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME","CFC_ME_GPIM_2017","consumption_of_fixed_capital_flow",1907,314614.527158958,"millions_2017_dollars","partial_vintage_warmup","I_ME_REAL_2017","af67374e28232d02d65765d3836dc2ab3e3da8eb","f506afd2da9888938ad05f8578d984b8523e014d","5cbc2aae90fa1d8d5fb27057f44c879c383b1260","dd7a13fa4e715ab4645c1bd53999491550c505ea","906ed9f744da64e9931e7f8ec653d92da25384f1","bc6f2d3edb16f1c0947bf075d69fccc9d00dc0ca","b51538cfe20d76800053403bc59ebedd4d374cc3","no","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME","CFC_ME_GPIM_2017","consumption_of_fixed_capital_flow",1908,386158.808206875,"millions_2017_dollars","partial_vintage_warmup","I_ME_REAL_2017","af67374e28232d02d65765d3836dc2ab3e3da8eb","f506afd2da9888938ad05f8578d984b8523e014d","5cbc2aae90fa1d8d5fb27057f44c879c383b1260","dd7a13fa4e715ab4645c1bd53999491550c505ea","906ed9f744da64e9931e7f8ec653d92da25384f1","bc6f2d3edb16f1c0947bf075d69fccc9d00dc0ca","b51538cfe20d76800053403bc59ebedd4d374cc3","no","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME","CFC_ME_GPIM_2017","consumption_of_fixed_capital_flow",1909,407438.636262496,"millions_2017_dollars","partial_vintage_warmup","I_ME_REAL_2017","af67374e28232d02d65765d3836dc2ab3e3da8eb","f506afd2da9888938ad05f8578d984b8523e014d","5cbc2aae90fa1d8d5fb27057f44c879c383b1260","dd7a13fa4e715ab4645c1bd53999491550c505ea","906ed9f744da64e9931e7f8ec653d92da25384f1","bc6f2d3edb16f1c0947bf075d69fccc9d00dc0ca","b51538cfe20d76800053403bc59ebedd4d374cc3","no","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME","CFC_ME_GPIM_2017","consumption_of_fixed_capital_flow",1910,435541.084948202,"millions_2017_dollars","partial_vintage_warmup","I_ME_REAL_2017","af67374e28232d02d65765d3836dc2ab3e3da8eb","f506afd2da9888938ad05f8578d984b8523e014d","5cbc2aae90fa1d8d5fb27057f44c879c383b1260","dd7a13fa4e715ab4645c1bd53999491550c505ea","906ed9f744da64e9931e7f8ec653d92da25384f1","bc6f2d3edb16f1c0947bf075d69fccc9d00dc0ca","b51538cfe20d76800053403bc59ebedd4d374cc3","no","no"
