"stage_id","asset_family","constructed_variable_id","locked_baseline_role","overlap_years","maximum_absolute_difference","mean_absolute_difference","maximum_relative_difference","mean_relative_difference","comparison_classification","unresolved_material_difference"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME","G_ME_GPIM_2017","S12D_B_GROSS_SURVIVAL_GPIM_STOCK_BASELINE",100,0.0000000558793544769287,0.00000000664032995700836,0.00000000000000384517291518239,0.000000000000000537670933617905,"rounding_only","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","NRC","G_NRC_GPIM_2017","S12D_B_GROSS_SURVIVAL_GPIM_STOCK_BASELINE",94,0.000000104308128356934,0.0000000295447225266315,0.00000000000000419126026942931,0.00000000000000115374458104845,"rounding_only","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME","N_ME_GPIM_2017","S12D_B_NET_VALUE_GPIM_STOCK_DIAGNOSTIC",100,0.0000000577419996261597,0.00000000491272658109665,0.00000000000000448029643379664,0.000000000000000724709372203517,"rounding_only","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","NRC","N_NRC_GPIM_2017","S12D_B_NET_VALUE_GPIM_STOCK_DIAGNOSTIC",94,0.0000000819563865661621,0.0000000271569699683088,0.00000000000000502688489983899,0.00000000000000144775391519228,"rounding_only","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME","RET_ME_GPIM_2017","retirement_flow_not_available_in_s12d_s13",0,NA,NA,NA,NA,"not_available_in_locked_baseline","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","NRC","RET_NRC_GPIM_2017","retirement_flow_not_available_in_s12d_s13",0,NA,NA,NA,NA,"not_available_in_locked_baseline","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME","CFC_ME_GPIM_2017","cfc_flow_not_available_in_s12d_s13",0,NA,NA,NA,NA,"not_available_in_locked_baseline","no"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","NRC","CFC_NRC_GPIM_2017","cfc_flow_not_available_in_s12d_s13",0,NA,NA,NA,NA,"not_available_in_locked_baseline","no"
